SNP,Chr,Pos,Effect,SE,SSH1_ORM2_noMTX_5.FC_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,-0.0299375780476354,0.0987458392983801,0.76193271583123
2,1,1035,-0.141592929267947,0.0995542687087966,0.155831234133842
3,1,1074,-0.00650236470422971,0.168720706935433,0.969279546342675
4,1,1470,-0.0869899779503411,0.168049703549713,0.605030674975578
5,1,1475,0.176587463907693,0.123729050716969,0.154403033875348
6,1,1491,0.114056264459154,0.108373213457484,0.293317776104913
7,1,21249,1.08240773285066,0.620472657671565,0.0819441952174676
8,1,27243,0.0539657692415519,0.0849608326417749,0.525719864302474
9,1,27272,0.0164831563681603,0.0837281274528311,0.84404630586816
10,1,27498,-0.326757502189721,0.764431514574393,0.669311029373182
11,1,27561,-0.342248481958636,0.577367598084953,0.553711975729725
12,1,27816,-0.101344578641409,0.0852708382582916,0.235434564732548
13,1,27822,-0.10781694485044,0.0851395091395332,0.20622058788617
14,1,27823,-0.0656815751909088,0.0870201593142374,0.450880809160332
15,1,27825,-0.107802173137051,0.0851395621280976,0.206282892843556
16,1,27843,-0.0604469899666924,0.08168824642019,0.459809009950415
17,1,27848,-0.0604469899666924,0.08168824642019,0.459809009950415
18,1,28495,-0.0783779718037251,0.081646397870245,0.337728114747571
19,1,28975,-0.0660241252455065,0.0811303597994092,0.416306448285419
20,1,29283,0.17908511307442,0.181737898989494,0.325100961066282
21,1,29752,-0.543605500952077,0.187515920198512,0.00397786953443374
22,1,29787,-0.00657045688774938,0.51340172268478,0.989796272598774
23,1,30057,0.136238386764301,0.166305279237035,0.41322126042406
24,1,30479,-0.360296054928882,0.487379937809398,0.460245945048754
25,1,30706,-0.0237343937287127,0.0838565079578133,0.777315298169327
26,1,31435,-0.0356920368073753,0.0809689931665392,0.659619540899281
27,1,35128,-0.225360895149532,0.110983960973579,0.0430476443189974
28,1,35129,-0.143006307517757,0.11165699041348,0.201117240154996
29,1,36146,-0.0931373437631832,0.0804210127223333,0.247597195633545
30,1,37255,0.0534510276517324,0.162607675864952,0.742568610114025
31,1,37409,-0.0342325585801644,0.080988808222275,0.67278422122928
32,1,37478,-0.0559666549721944,0.0810242010621452,0.490182901131883
33,1,39144,-0.0915314073228214,0.0805617888306452,0.256658661120684
34,1,41499,-0.0658428811337943,0.0804087555098994,0.413423236389146
35,1,45359,-0.198155815769987,0.135087832949059,0.143302684331403
36,1,45634,-0.0887722819293653,0.124370094318505,0.47583788731833
37,1,51248,-0.035398761564395,0.0808057069226074,0.661601639023101
38,1,51462,-0.0190969785331142,0.0809308892851063,0.81359551418412
39,1,52124,-0.0761501679031501,0.0807259854046929,0.346164109028462
40,1,52667,-0.0851197585634922,0.0805708589371451,0.291481315433179
41,1,55470,-0.00441271471332018,0.0828939322934896,0.957576163618787
42,1,59265,-0.0166227750869115,0.0806525686835499,0.836828896296498
43,1,60165,0.00294719788418091,0.0805963183938549,0.970850606202521
44,1,62308,0.0186091378665481,0.0805017395716571,0.817320998641871
45,1,62869,0.00907398976176657,0.0804962721792493,0.910312188987779
46,1,65431,0.144431765241263,0.0837196553709283,0.0853696331488891
47,1,65451,0.167825396295639,0.0823970220245974,0.0424168679954351
48,1,65719,0.115994432748041,0.0862074654527981,0.179318882677461
49,1,66841,0.143441939761929,0.0801729664488745,0.07444693867168
50,1,66948,0.10252671810045,0.0808459582944714,0.205571679258486
51,1,68621,0.244730634190635,0.0797536994032396,0.00231712011273424
52,1,69417,0.169266676811412,0.0800913618937279,0.0352660693312071
53,1,69820,-0.578792682138655,0.313868269445382,0.0660118824543421
54,1,69821,-0.36526385138213,0.194710719935399,0.061489805439468
55,1,70906,-0.110291552070526,0.129335668537234,0.394373766906438
56,1,74327,0.0711098097665331,0.0809511555290726,0.380308686606616
57,1,74572,0.0949846916538701,0.0806655648843793,0.239784384996596
58,1,75211,0.0574195550967563,0.0806185905280124,0.476788407356578
59,1,76030,0.0330361419242364,0.0806573328975842,0.682357844784904
60,1,80108,-0.0139628206700122,0.0806539974603417,0.862656321310842
61,1,81262,-0.026375897072084,0.0806147062952954,0.743722138797757
62,1,81999,-0.0115161471265744,0.0808215069936226,0.886775339098218
