SNP,Chr,Pos,Effect,SE,ERG11_ACF2_noMTX_5.FC_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.0621938725894434,0.0710057479811503,0.381680497078375
2,1,1035,0.0263720087344957,0.0718467978032988,0.713795002140869
3,1,1074,-0.0887924142726835,0.121347206752033,0.464823779197114
4,1,1470,-0.345577901036243,0.119595748005889,0.00409629895738072
5,1,1475,-0.165961021811008,0.0888742920095429,0.0626787757229289
6,1,1491,-0.101947274559265,0.0779366648771921,0.191697835171723
7,1,21249,-0.42433091645109,0.447945279620661,0.344142633441745
8,1,27243,-0.0585637075554892,0.0611071640304085,0.338528557036476
9,1,27272,-0.0908951810800824,0.0600732387459171,0.131155943817878
10,1,27498,0.0772234399168656,0.550336647451186,0.888486905310289
11,1,27561,-0.610601415791839,0.414502598303854,0.141616703025052
12,1,27816,0.0140500225122181,0.0614929322039337,0.819403919380534
13,1,27822,0.00939779742878322,0.0614172812294133,0.878473461694375
14,1,27823,0.00622828594740116,0.0626835471292779,0.920908225153731
15,1,27825,0.00679041014554227,0.0614182546613181,0.912027996680706
16,1,27843,0.0140984070004374,0.0588369863068948,0.810765402833576
17,1,27848,0.0140984070004374,0.0588369863068948,0.810765402833576
18,1,28495,0.0393827559772914,0.0588053771729158,0.503478255070572
19,1,28975,0.0295383406842698,0.0584282461326161,0.613488817365316
20,1,29283,-0.109705709458392,0.130857818287015,0.402396934158066
21,1,29752,-0.123961606389786,0.136404746940803,0.364087452128169
22,1,29787,-0.365134392069222,0.369016323149327,0.323105934555394
23,1,30057,0.141536632368641,0.119577079015812,0.237350672547619
24,1,30479,0.470692610808094,0.350174529081189,0.179757999110426
25,1,30706,0.0234416415889526,0.0603507751261559,0.697937027580856
26,1,31435,0.0417346206408545,0.0582521969577975,0.47418900093384
27,1,35128,-0.0674207373949463,0.0802671679909049,0.401502639795969
28,1,35129,0.00577232379105785,0.0805525103579544,0.942913754175083
29,1,36146,-0.00377641455804908,0.0579935942873192,0.948117078988552
30,1,37255,0.0423638129867427,0.117035202135835,0.717587327466708
31,1,37409,0.00853648544084129,0.0583057374201797,0.883682087317186
32,1,37478,-0.00937609477954904,0.0583554973626236,0.872443647191206
33,1,39144,-0.0829634267391471,0.0579232620236094,0.152943184874285
34,1,41499,-0.0651743326779522,0.0578262458577238,0.260477657969819
35,1,45359,-0.0651866264022951,0.0974653915964855,0.504048601361013
36,1,45634,0.0424917864511305,0.0895530302762503,0.635445752161923
37,1,51248,-0.0457913324515673,0.0581257014208172,0.431343322855957
