SNP,Chr,Pos,Effect,SE,ERG27_ACF2_noMTX_5.FC_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.138927472255906,0.0687322719173222,0.044004622640245
2,1,1035,0.142776493948493,0.0694707485703892,0.0405947584065575
3,1,1074,0.075563660649582,0.118032470735525,0.522461897398797
4,1,1470,-0.106426962891986,0.117539257191669,0.365839923621507
5,1,1475,-0.158459639344535,0.0864466428314197,0.0676395212327935
6,1,1491,-0.0881564804875745,0.0758327253190559,0.245812724563631
7,1,21249,0.0236481032417477,0.436183296022129,0.956793762197725
8,1,27243,-0.0822958701661471,0.0593432273734599,0.166384623830466
9,1,27272,-0.133801541760038,0.0581767743158791,0.0220360136199258
10,1,27498,-0.45849339057901,0.534666822006199,0.391733294215635
11,1,27561,0.127864245362116,0.404288230028911,0.75198449715749
12,1,27816,0.0894510435332401,0.0596171785920071,0.134398476423525
13,1,27822,0.0839544717750933,0.0595635938663606,0.1595697910529
14,1,27823,0.094405371235826,0.0607538676642868,0.121104584292527
15,1,27825,0.0881943398488698,0.0595462344920241,0.139470104695823
16,1,27843,0.08267020270121,0.0570548597755005,0.148236513517408
17,1,27848,0.08267020270121,0.0570548597755005,0.148236513517408
18,1,28495,0.0921016749129787,0.0570148533729796,0.107117932682505
19,1,28975,0.0830195001314002,0.0566706813778016,0.143825646042285
20,1,29283,-0.218399924676138,0.126855839001172,0.086011045794132
21,1,29752,-0.0208012540244447,0.13280560690555,0.875626521742945
22,1,29787,0.156058523396861,0.359273807757971,0.664283631768282
23,1,30057,0.334251991517771,0.11515444373735,0.00393279532866664
24,1,30479,0.197291863131952,0.341257514319409,0.563543677423823
25,1,30706,0.0876030007707694,0.0585188810787904,0.13528578517024
26,1,31435,0.0849958647505712,0.0565112974681946,0.133462420038189
27,1,35128,-0.00476468254136542,0.0781382706201079,0.951411573906296
28,1,35129,0.0215284825643689,0.0783304010592593,0.783598429689861
29,1,36146,0.0554103020716817,0.0563225931185316,0.325886486971444
30,1,37255,0.0644594086631649,0.113787446422542,0.571420962479487
31,1,37409,0.0439045047454271,0.0566565291097117,0.438903328813195
32,1,37478,0.0555225376676248,0.056676454629129,0.327934622666248
33,1,39144,-0.00426718203949227,0.0564940080398156,0.939833146728798
34,1,41499,0.0112076277979997,0.0563346033103306,0.84241835977741
35,1,45359,-0.0247248957756145,0.0948370838671622,0.794468826583193
36,1,45634,-0.167930388310888,0.0866593715627147,0.0534422181763779
37,1,51248,0.0138032962875434,0.0565727909565172,0.807378926246428
38,1,51462,0.0103814136183695,0.0566515862223421,0.854706926450256
39,1,52124,-0.00435701549141602,0.0565770858793024,0.938659020764544
40,1,52667,-0.0414559624339906,0.0564437770415376,0.463153154118414
41,1,55470,-0.0235396469888522,0.0580106041424796,0.685148784254189
42,1,59265,-0.0456212657684226,0.0564061517117276,0.419175269353466
43,1,60165,-0.00616417203990913,0.0564147738459398,0.913054226709469
44,1,62308,0.00592441455872139,0.056352800645638,0.916331737144542
45,1,62869,-0.017927377504751,0.0563385253735043,0.750515226886763
46,1,65431,0.01072185388247,0.0588456472930092,0.855528000261646
47,1,65451,0.0391556594547705,0.0579765476970982,0.499882452312384
48,1,65719,-0.0175338779228161,0.0604906444058746,0.772092774053914
49,1,66841,0.00869043860974386,0.0563712630008489,0.877568257113254
50,1,66948,0.0249217669520946,0.0567036168781945,0.660561480398059
