SNP,Chr,Pos,Effect,SE,HNM1_MID2_MTX_Fluconazole_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.152212578080029,0.169718681492104,0.37040899700636
2,1,1035,0.164740058815018,0.171546816095508,0.337550847830108
3,1,1074,0.152366711024607,0.290167179224995,0.599843492774947
4,1,1470,-0.0352478338278708,0.289229056478167,0.903072720434376
5,1,1475,0.197194297337167,0.213227960085358,0.355699075837775
6,1,1491,0.455621758184467,0.185164537911936,0.014347421437873
7,1,21249,0.27503904741654,1.0719998288034,0.797663043806312
8,1,27243,0.122821965279127,0.146110388651258,0.401135046496341
9,1,27272,0.100487840176289,0.143960795884244,0.485622808685018
10,1,27498,1.22137196489451,1.31391900197829,0.353232031153391
11,1,27561,0.187799611166865,0.993790912846174,0.85022260936192
12,1,27816,0.0477096586601088,0.146977699960646,0.745672509787268
13,1,27822,0.0504051053532253,0.146788289103341,0.731512192843516
14,1,27823,0.0607269861495106,0.149801965646174,0.685442484236683
15,1,27825,0.0597726466016671,0.146778329589373,0.68408536091908
16,1,27843,0.0936543577778591,0.140563242859293,0.50566788590953
17,1,27848,0.0936543577778591,0.140563242859293,0.50566788590953
18,1,28495,0.133087345340216,0.140475396378137,0.34407962386398
19,1,28975,0.115422131938003,0.139578559259873,0.408833594908757
20,1,29283,-0.121398395379481,0.313038709963777,0.698393096749337
21,1,29752,-0.0155633650001832,0.326433311232132,0.962000616788862
22,1,29787,2.04132466792372,0.876587802945228,0.0204381043429612
23,1,30057,0.120181015906885,0.286324595847509,0.674932961650466
24,1,30479,0.533875583608979,0.838692926286592,0.524826199029424
25,1,30706,0.084275667591061,0.144219713486507,0.559354020775567
26,1,31435,0.0140710619382934,0.139341506474343,0.919621635902139
27,1,35128,0.244941273703438,0.191614150560608,0.201981863274937
28,1,35129,0.0245005676195329,0.192544545135616,0.89881796847675
29,1,36146,-0.00262220026613452,0.138624934991402,0.984918969514389
30,1,37255,0.115956783326025,0.279737289657683,0.678744890659008
31,1,37409,0.100822793343252,0.13927118588738,0.469587290400674
32,1,37478,0.110004742364081,0.139371414436779,0.43047117332618
33,1,39144,0.198383295062766,0.138455759335977,0.152791978700089
34,1,41499,0.127144132251921,0.138307177767252,0.358572674278788
35,1,45359,-0.139688587410856,0.233004004626037,0.549216413986952
36,1,45634,-0.187389646994966,0.213897674095492,0.381586939808376
37,1,51248,0.0470094288382835,0.139039527104487,0.735487924592087
38,1,51462,0.04056860994777,0.139233865305986,0.770939279266858
