SNP,Chr,Pos,Effect,SE,SRO9_GIS2_MTX_Fluconazole_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.23452436891454,0.151877726087684,0.123444183543516
2,1,1035,0.174022587547247,0.153778259331868,0.258551366327173
3,1,1074,0.289954376155308,0.25988758453397,0.265313119566895
4,1,1470,0.0530097548957968,0.259392511031055,0.83818905094128
5,1,1475,0.330996087207822,0.190658225511738,0.0834239275575081
6,1,1491,0.397715956590051,0.166144586155898,0.017196535945144
7,1,21249,-1.41921289314243,0.958568182613303,0.139617159802581
8,1,27243,0.010073199807731,0.131172797118756,0.938831439031626
9,1,27272,0.0379372187101614,0.12918817964951,0.769191376395742
10,1,27498,1.05945559313412,1.17851464829596,0.369278597541946
11,1,27561,-0.376549717756466,0.891126266347678,0.672877349015917
12,1,27816,-0.0283157998924836,0.131831727458295,0.830057071238954
13,1,27822,-0.0364591509114911,0.131658477600004,0.782001953834591
14,1,27823,0.00598258252194939,0.134384575923778,0.96451637998315
15,1,27825,-0.0237938087048002,0.131666687318057,0.856696996740178
16,1,27843,0.00786928732711306,0.126146251484939,0.950293734187028
17,1,27848,0.00786928732711306,0.126146251484939,0.950293734187028
18,1,28495,0.0339857235481705,0.126136019758186,0.787750763007146
19,1,28975,0.0495812743694857,0.125277964345716,0.692513712428723
20,1,29283,-0.0872373872666188,0.280778100277808,0.756213069345123
21,1,29752,-0.25148827389638,0.292464771022884,0.390431883935168
22,1,29787,0.908539164078961,0.790728576777217,0.251338067155196
23,1,30057,0.233374020961884,0.256561026172431,0.363641580763141
24,1,30479,0.428993109024118,0.752288145053872,0.568870201718759
25,1,30706,0.0169308547316376,0.129406508249701,0.895980643939509
26,1,31435,-0.0139176502435345,0.124971565724998,0.911388990458903
27,1,35128,0.365799752442504,0.171147444264107,0.033257286294341
28,1,35129,0.118323038046023,0.17257753835838,0.493401221046132
29,1,36146,-0.0495769293968999,0.124301339148509,0.690248802266336
30,1,37255,0.0266900452567853,0.25094650037136,0.915359118128672
31,1,37409,0.028189606577501,0.12499257021887,0.82169730167073
32,1,37478,0.0351316769353146,0.125095057112455,0.778997767360173
33,1,39144,0.0458166770504815,0.124514249893404,0.713121121638894
34,1,41499,0.120356621519582,0.124027364756543,0.332509705921011
35,1,45359,-0.190839818206455,0.208835023990117,0.361429646208671
36,1,45634,0.141535017304582,0.191900177358996,0.461280953657693
37,1,51248,0.0704152371556053,0.124664984585872,0.572544263977232
38,1,51462,0.0645934841373056,0.124843101878697,0.605202899714075
39,1,52124,0.0559725939942344,0.12468572257454,0.65377246500647
40,1,52667,0.0798251983017352,0.124448921632717,0.521659979622504
41,1,55470,-0.157410543164157,0.127635494928633,0.218291212565461
42,1,59265,-0.0635053095064191,0.124412700574998,0.610061765842465
43,1,60165,-0.119823783858755,0.124200924485643,0.335326694877126
44,1,62308,-0.11446171434234,0.1240783119506,0.356900127472606
45,1,62869,-0.143012620796201,0.1239787339524,0.249475220996639
46,1,65431,-0.057321122248454,0.129691365750184,0.658773586284114
47,1,65451,0.0128677059006676,0.127885987046297,0.919910372200942
48,1,65719,-0.0855412528821194,0.133285557958334,0.521426481988216
49,1,66841,-0.0730699100948576,0.124209849961531,0.556721958271369
50,1,66948,-0.0578173264200013,0.124995510192332,0.643968197233311
51,1,68621,-0.15876596468267,0.124408010275911,0.202733885799775
52,1,69417,-0.117198581278838,0.124208020431207,0.346036333294406
53,1,69820,-0.550704628266359,0.485758776743217,0.257689836018762
54,1,69821,0.0964658691664226,0.301899035467455,0.74951348614045
55,1,70906,-0.319181770838101,0.19905351242575,0.109719232666468
56,1,74327,-0.206624513300998,0.1245637713498,0.0980473304215326
57,1,74572,-0.218989060056401,0.124169538166897,0.0786594072707363
58,1,75211,-0.236323710957643,0.123850959441137,0.0571854589309142
59,1,76030,-0.141220394189824,0.124260919073347,0.25652549406137
60,1,80108,-0.130337862731209,0.124265120814238,0.294955877178885
61,1,81262,-0.02990781758259,0.124401371278717,0.810148969755824
62,1,81999,-0.028037190968798,0.124706457825237,0.822245118349317
63,1,82431,-0.0325463317759892,0.12529378130638,0.795200222813989
64,1,83284,-0.0259618079072528,0.124386249844595,0.834787775885121
65,1,83613,0.034606004424144,0.124366578807015,0.780977175611859
66,1,84112,0.0391793454880949,0.124376444878516,0.752943104105522
67,1,84701,0.0193702113236717,0.133200302826505,0.884460950607392
68,1,84858,0.0426745429351514,0.124724322968252,0.732440928355647
69,1,85751,0.0594246988870206,0.12521779857366,0.635386436732293
70,1,87445,0.0992982167188166,0.125411209563233,0.429020088208774
71,1,87467,0.0757345897409738,0.1261152366465,0.548545780517959
72,1,89070,0.14501853739275,0.125152131686746,0.247346250333126
73,1,89616,0.114118140936825,0.124567392526017,0.360231640239168
74,1,89679,0.135530971882098,0.124522412366059,0.277158329983721
75,1,89880,0.140854141101139,0.124537337217421,0.258814749609306
76,1,91472,0.136607232529061,0.125478390511436,0.277032739709774
77,1,93789,0.137005921880575,0.124180006337562,0.270655030412426
78,1,94351,0.101079756236712,0.124605220190812,0.417797424789709
79,1,99148,0.129163927830533,0.124203812390424,0.299081716056652
80,1,101281,-1.73488226970026,1.35732545674844,0.202031998383671
81,1,106011,0.0838262220850741,0.129565010603212,0.518064103613992
82,1,106800,0.112047290673362,0.124418873697721,0.368433588975192
83,1,107970,0.0721473644507391,0.124133305375652,0.561470676266773
84,1,109000,0.139547665496967,0.124189650294314,0.261918397019807
85,1,112549,0.122449858070085,0.124099702836505,0.324462860127405
86,1,112742,0.0993347501372399,0.124642797855397,0.426012631608995
87,1,113050,0.0698252079153601,0.124489544972788,0.575226910801188
88,1,113135,0.054473729364596,0.124193945046434,0.661206498832663
89,1,114076,0.204435400147288,0.12375033759693,0.0994239989028711
90,1,114628,0.221788041001058,0.123981353129593,0.074491104696749
91,1,116283,0.260294611335992,0.124466085628134,0.0372165481155962
92,1,126880,-3.35181839301713,2.34298011236171,0.153435462397644
93,1,127853,0.118418748050345,0.124842575037582,0.34350119873671
94,1,128302,0.125291335219967,0.124342732956977,0.314322821021496
95,1,128704,0.12102092388466,0.124478832285855,0.331606369238659
96,1,128911,0.143173541044308,0.124426039542221,0.250646121368518
97,1,130267,0.201575710524111,0.124137316519832,0.105308444058002
98,1,130271,0.204586639562963,0.124271813176519,0.100595366583255
99,1,130613,0.284310842824982,0.125001117550107,0.023537456577617
100,1,132012,0.0751543712859317,0.125582775566679,0.54992690624505
101,1,133231,-0.0124690726278685,0.124753114444548,0.920440767032586
102,1,137074,-0.0367628852956585,0.124562085108802,0.768062702884289
103,1,137304,-0.0403440679272642,0.124602252667773,0.746294214002171
104,1,139686,-0.0818216419443667,0.124708508973947,0.512185199614146
105,1,149562,-0.107813186466973,0.124937490813751,0.3887579869284
