SNP,Chr,Pos,Effect,SE,HNM1_RBD2_MTX_Fluconazole_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.197162876967555,0.163229390803606,0.227898832482171
2,1,1035,0.11688805545938,0.165238692973008,0.479791429181442
3,1,1074,0.125622058251237,0.279359608173865,0.653218142246342
4,1,1470,0.326444018118561,0.277890664199891,0.24089814316296
5,1,1475,0.252406950544877,0.205073653714465,0.219212949881872
6,1,1491,0.378277722961939,0.17864052267127,0.0349131319535631
7,1,21249,0.0519344343034183,1.03205722399636,0.959894832127198
8,1,27243,0.116078763082804,0.14065880910318,0.409786682172041
9,1,27272,0.0886093513241579,0.138599799541914,0.52303070387541
10,1,27498,-0.164727713495633,1.26636590446991,0.896577951841388
11,1,27561,0.446758467592024,0.956429447278817,0.640708838029995
12,1,27816,-0.120303315791356,0.141364817464,0.395338957853009
13,1,27822,-0.143299202295,0.141123951623803,0.31060409077416
14,1,27823,-0.120032864502153,0.144099441529691,0.405415667652875
15,1,27825,-0.117964102888579,0.141190370788966,0.404003184014403
16,1,27843,-0.0864510184277094,0.135320590743869,0.523327800300148
17,1,27848,-0.0864510184277094,0.135320590743869,0.523327800300148
18,1,28495,-0.0674988999540994,0.135353320399958,0.618310714595967
19,1,28975,-0.0347651751966423,0.13448318304091,0.796164409503353
20,1,29283,-0.131499254768377,0.301330819695607,0.662816969179701
21,1,29752,0.0610060719946866,0.314226504136016,0.846172609579714
22,1,29787,0.972122498379747,0.848731990989169,0.252826802566257
23,1,30057,-0.0894658635372192,0.275659110015865,0.745711993822686
24,1,30479,0.632935469296479,0.807131469696314,0.43346102631045
25,1,30706,-0.115049811321921,0.13876574576292,0.407611629511703
26,1,31435,-0.141715372361719,0.133927334009166,0.290710055840549
27,1,35128,0.118891095224123,0.184776209763719,0.520361003886787
28,1,35129,-0.205208936429723,0.185035916668266,0.268175591684279
29,1,36146,-0.270966432178459,0.132666281712871,0.0418478429028294
30,1,37255,-0.351598831822367,0.268704835632551,0.191556892684632
31,1,37409,-0.217305726023901,0.13366997100039,0.104908345970323
32,1,37478,-0.192571230639313,0.133893031133415,0.151249980553886
33,1,39144,-0.197347281823249,0.133258661599783,0.139516164649646
34,1,41499,-0.149471876039538,0.133063596325842,0.262068566358613
35,1,45359,0.198250080236443,0.224168147477119,0.377092461821043
36,1,45634,-0.000138639655562045,0.20613313427211,0.999463744056052
37,1,51248,-0.133894202050763,0.133678776920678,0.317217344396693
38,1,51462,-0.143114943481833,0.133833531216234,0.285642465722701
39,1,52124,-0.147510552010582,0.133638170852831,0.270429372132298
40,1,52667,-0.123223033458865,0.13349304501346,0.356602749325322
