SNP,Chr,Pos,Effect,SE,ERV25_ERG5_MTX_5.FC_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.213427766119551,0.176206968200749,0.226616201355852
2,1,1035,0.20954862188854,0.178155671554325,0.240303254106969
3,1,1074,0.253163370757155,0.301358852151176,0.401436188203877
4,1,1470,-0.0151587521018843,0.30057253845778,0.959805924254313
5,1,1475,0.05177434618503,0.221837995552046,0.81559533902418
6,1,1491,0.0591422367667858,0.194040973449614,0.760703799342278
7,1,21249,-0.768878825476416,1.11337596775584,0.490281279549692
8,1,27243,-0.0766498860300602,0.151935284398838,0.614231592545258
9,1,27272,0.011241277192749,0.149706305426241,0.94018653858955
10,1,27498,-0.862705740419242,1.36632554886308,0.528183930741346
11,1,27561,1.01354308626687,1.03139153810297,0.32643071333761
12,1,27816,0.055892837285241,0.152733286291689,0.714621149063434
13,1,27822,0.0494894358360923,0.152545360214039,0.74580891240509
14,1,27823,0.0223036957972653,0.155706149144959,0.886180610833868
15,1,27825,0.0544313063984606,0.152540591550395,0.721431069161859
16,1,27843,0.0426775535748807,0.146147716876436,0.770445504277305
17,1,27848,0.0426775535748807,0.146147716876436,0.770445504277305
18,1,28495,0.0504031756791428,0.14614311437857,0.730383099667646
19,1,28975,0.0898464510222813,0.145111914408215,0.536215061337985
20,1,29283,-0.36937032299134,0.324785155045601,0.256194347545807
21,1,29752,-0.0225090571928526,0.339228996250857,0.947133892758533
22,1,29787,1.77668540886084,0.913038063683945,0.0524594478524315
23,1,30057,0.203020632324153,0.297426997107792,0.495313771799944
24,1,30479,1.09525105829365,0.87012057255963,0.208957937331502
25,1,30706,0.0367828668397555,0.149933047878462,0.806344560185801
26,1,31435,0.0536354576816122,0.144777866110226,0.711256570551133
27,1,35128,0.247827958748752,0.199149727973966,0.214166838151342
28,1,35129,0.103808539529895,0.200020892170841,0.604093980428239
29,1,36146,-0.0744492736256527,0.144004819754648,0.605485828015466
30,1,37255,0.0166640639820788,0.290772829604892,0.954331027840597
31,1,37409,0.0116506726157178,0.144836908374059,0.935932944699082
32,1,37478,0.00737337097895879,0.144962213349992,0.959462589801446
33,1,39144,-0.123865273697748,0.144150564198267,0.390770811882452
34,1,41499,-0.206512117889688,0.143480588140225,0.150950678470956
35,1,45359,-0.374213309218382,0.241441237171491,0.122058048847521
36,1,45634,0.203529578351455,0.222260486653711,0.360436054261738
