SNP,Chr,Pos,Effect,SE,GTR1_SLM4_noMTX_5.FC_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.0912162156641377,0.0660279272973762,0.168005391868539
2,1,1035,0.0632937802172474,0.0668456321401412,0.344355351692676
3,1,1074,0.0997613042271137,0.112983075791016,0.377850340117432
4,1,1470,-0.157692141866868,0.112387495380552,0.161462672689378
5,1,1475,0.00405756476838803,0.0831845731602989,0.961123918998011
6,1,1491,0.0173397821013177,0.0727596277351861,0.811774305634663
7,1,21249,0.395231039431707,0.417213640759001,0.344128392278114
8,1,27243,0.0248920782869395,0.0569734574078405,0.662446238009614
9,1,27272,0.0320561747085848,0.0561070805053992,0.568133308348591
10,1,27498,0.123556711145344,0.512552515471092,0.809647355519809
11,1,27561,0.135497073982703,0.387183008450422,0.726580311830944
12,1,27816,0.108848881997709,0.0569846573996981,0.0569248300800999
13,1,27822,0.117604384290779,0.0568621151932898,0.0393455406842063
14,1,27823,0.103497148183666,0.0581234612062135,0.0758306744130672
15,1,27825,0.120458787692294,0.0568451856785341,0.0347825754026327
16,1,27843,0.109354847350793,0.0544949461545996,0.045544121683974
17,1,27848,0.109354847350793,0.0544949461545996,0.045544121683974
18,1,28495,0.127271826062735,0.054385532327975,0.0198310666495762
19,1,28975,0.128282854476255,0.0540095614577917,0.0180736104301058
20,1,29283,0.0133813107360252,0.121999419896597,0.912722795062876
21,1,29752,-0.0683280865694638,0.127143132250016,0.591322518026473
22,1,29787,-0.351302431325436,0.34366772744711,0.307379000170418
23,1,30057,0.152922639870079,0.111296983600342,0.170311855676068
24,1,30479,0.199722882658564,0.326811328994241,0.54150952310404
25,1,30706,0.0981193979776229,0.0559793053451341,0.0805079007405492
26,1,31435,0.111058803957845,0.0539724704912173,0.0403535019760186
27,1,35128,-0.0403124915681703,0.0748042887204584,0.590291304357755
28,1,35129,-0.0912731047349951,0.0748692510631407,0.223620237691963
29,1,36146,0.0814225539808758,0.0538410983179195,0.13135860054871
30,1,37255,0.172568354614382,0.108638568058928,0.113076897587939
31,1,37409,0.119403481077969,0.0539341444178419,0.0274759991444841
32,1,37478,0.122677439974125,0.0539603514811317,0.0235977937948956
33,1,39144,0.0436064852796511,0.054056130316208,0.420388841962336
34,1,41499,0.0417726754419165,0.0539100276729949,0.438941638638396
35,1,45359,0.157581472051229,0.0904481682323676,0.082339219314343
36,1,45634,-0.0627283906248053,0.0833689487021157,0.452300487695082
37,1,51248,-0.0264835708694667,0.054167178855901,0.625199949529488
38,1,51462,-0.0174280216955439,0.054251062687786,0.748212908133201
39,1,52124,0.0404664346758752,0.0541426936367759,0.455317645758493
40,1,52667,0.0237499093449225,0.054083906316222,0.660835432576357
41,1,55470,0.0128626562085676,0.0555667105616196,0.817075006326235
42,1,59265,0.042112719654221,0.0540249078305929,0.436204214082737
43,1,60165,0.0452134203027535,0.0539769076790529,0.402797570910893
44,1,62308,-0.0101872718369723,0.0539683796504396,0.850386487720816
45,1,62869,0.00314887081539827,0.0539640645188461,0.953501859546562
46,1,65431,0.0333724355092263,0.0563323633747503,0.553948456715179
47,1,65451,0.0240324316660862,0.0555464910215798,0.665530092975054
48,1,65719,0.0570720841738775,0.057860369806606,0.324624197100296
49,1,66841,-0.0160537347000335,0.0539829958363658,0.766347501095455
50,1,66948,0.00378078462305842,0.0543207264707358,0.944550538236756
51,1,68621,0.0349655972148574,0.054141966761104,0.518819916446435
52,1,69417,0.010189495199256,0.0540278032558817,0.850516864286581
53,1,69820,-0.242005454064556,0.211030357242976,0.252249141789344
54,1,69821,-0.200343759422084,0.130745726581993,0.126340177324771
55,1,70906,-0.0099392913002383,0.08679211601829,0.908891996456152
56,1,74327,0.0179813214025935,0.0543191504690571,0.740817500577135
57,1,74572,0.00745978589870222,0.0541814888453431,0.89057068014152
58,1,75211,0.0324124094677917,0.0540566522994425,0.549157002215512
59,1,76030,0.0430115794733031,0.0540357009655507,0.426576004050794
60,1,80108,-0.0218704458539614,0.0540588539285915,0.686040606342983
61,1,81262,-0.0208143312514758,0.0540395892124891,0.700344778680027
