SNP,Chr,Pos,Effect,SE,ALO1_HYR1_MTX_Trifluoperazine_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.091597050693772,0.176567474019752,0.60424957561711
2,1,1035,0.079077382163264,0.178517527232448,0.658060898790699
3,1,1074,-0.178786507968232,0.301615816573807,0.55371972598059
4,1,1470,-0.247075425131392,0.300391474745072,0.411341124851754
5,1,1475,0.178123587537405,0.221730440875503,0.42232233332835
6,1,1491,0.199051512556967,0.193845364636232,0.305190816399568
7,1,21249,0.687761145555478,1.11391778904501,0.537352235215778
8,1,27243,-0.0726333160468071,0.151994272663365,0.633039388013463
9,1,27272,0.0435405680569074,0.149742149202239,0.771397767266078
10,1,27498,-0.745989659962425,1.36700052880115,0.585608061787456
11,1,27561,1.01908039174927,1.03173931751684,0.323961185725032
12,1,27816,0.033747328195207,0.152805351149294,0.825335557060623
13,1,27822,0.0281337380481864,0.152614338477013,0.853848423606972
14,1,27823,0.00964218713849663,0.155764516860036,0.950675642593313
15,1,27825,0.0473704904895635,0.152600857475019,0.756424125068966
16,1,27843,-0.0136054570820175,0.146214910453344,0.92591575976767
17,1,27848,-0.0136054570820175,0.146214910453344,0.92591575976767
18,1,28495,0.0376221114929667,0.146205359255204,0.7970787891652
19,1,28975,0.0298593332611603,0.145232985215894,0.837224947483419
20,1,29283,-0.459013647645891,0.324575741436138,0.158185785349411
21,1,29752,0.0627912882180208,0.339333797660125,0.853301706366664
22,1,29787,2.49746592995759,0.908572065158293,0.00628923095285424
23,1,30057,-0.0667987011543651,0.297706521957327,0.822593245306165
24,1,30479,1.35193154836728,0.869404775515909,0.120840181305221
25,1,30706,-0.0175005881064857,0.149995600167173,0.907184736678054
26,1,31435,0.029686637110049,0.144848248478539,0.837729376674767
27,1,35128,0.256758062159495,0.199187939428196,0.198233754111317
28,1,35129,-0.069394086000222,0.200133386853638,0.728993878018364
29,1,36146,-0.115634352814726,0.143978439044379,0.422436223235334
30,1,37255,-0.254767216156056,0.290560071436733,0.38118383541877
31,1,37409,-0.0111278540368481,0.144887894649711,0.938823615955968
32,1,37478,-0.00553163066568857,0.145013358805526,0.96959310736516
33,1,39144,0.00822440038558989,0.144351259726255,0.954597415319326
34,1,41499,-0.0457982544425195,0.143930883350446,0.750524307531026
35,1,45359,-0.00809612212494759,0.2423460748986,0.973368689171982
36,1,45634,-0.0319206358328747,0.222595990783917,0.886054791076089
37,1,51248,-0.127900357403261,0.144403879338768,0.376375284591008
38,1,51462,-0.122951273206134,0.144612287499623,0.395782867702535
39,1,52124,-0.140536905327098,0.144370602831869,0.330998533245467
40,1,52667,-0.170922883704536,0.144045576318454,0.236187784132331
41,1,55470,-0.218390661157307,0.147804096909093,0.140414963552876
42,1,59265,-0.0670382335518247,0.144215618764713,0.642327446639528
43,1,60165,-0.0693167731086943,0.144103519135103,0.630799808905872
44,1,62308,-0.157787146744564,0.143747090076872,0.273095941448133
45,1,62869,-0.186450669543291,0.14363170269792,0.195094839419633
46,1,65431,-0.11256923707884,0.150247207789093,0.454219481812781
47,1,65451,-0.133588200445534,0.148063926923415,0.367548170108991
48,1,65719,-0.104366810701615,0.154481322098454,0.499740133790483
49,1,66841,-0.148052667838302,0.143826266608579,0.304003373899663
50,1,66948,-0.198275621317904,0.144541238650338,0.171009941188358
51,1,68621,-0.21739991416845,0.144069447958554,0.13219484857573
52,1,69417,-0.189287384349691,0.143798244062646,0.188914007049323
53,1,69820,-0.891077357973055,0.562068827672025,0.11378159266899
54,1,69821,-0.326966308933809,0.349548304451632,0.350223375812221
55,1,70906,-0.0538934881012239,0.231543559366454,0.816084652057226
56,1,74327,-0.0154659760863011,0.144940931620851,0.91508333544533
57,1,74572,-0.0377353872943403,0.144543430769534,0.794193786518323
58,1,75211,0.00654276494010725,0.144293448505006,0.963859182530097
59,1,76030,-0.0618163663124318,0.144256353211525,0.668535780864311
60,1,80108,-0.0933258662031341,0.14417420888348,0.517849995081915
61,1,81262,-0.196851107816357,0.14382409218651,0.171965451983219
62,1,81999,-0.175323447098681,0.144255883379789,0.225039410948827
63,1,82431,-0.178645241334086,0.144930112254672,0.218534042623688
64,1,83284,-0.138044827515088,0.143997452858758,0.338385381150766
65,1,83613,-0.0991336280123007,0.144072305392154,0.491852748341912
66,1,84112,-0.116370205433578,0.144051684533337,0.41972875576267
67,1,84701,-0.113271755027303,0.154279109442387,0.463314114297312
68,1,84858,-0.00562340785909585,0.144591402972591,0.968998706292662
69,1,85751,-0.100225789151718,0.145087988578845,0.490149520472919
70,1,87445,-0.119771830227473,0.145353211456559,0.410492880390327
71,1,87467,-0.15953124812979,0.146007912184339,0.27530553251823
72,1,89070,-0.106560710201085,0.145228529729657,0.463591195567515
73,1,89616,-0.111236452108116,0.144436092143541,0.441730129026762
74,1,89679,-0.084957048630343,0.144504959370944,0.556963332487858
75,1,89880,-0.121318724388932,0.1444680895439,0.401610557636186
76,1,91472,-0.061966870320272,0.145648409379198,0.670764143120316
77,1,93789,-0.084944276487851,0.144113878228036,0.555953465059783
78,1,94351,-0.185884932093434,0.144225300450457,0.198293862017705
79,1,99148,-0.160187908669483,0.143932480020664,0.266492410359245
80,1,101281,0.670401117209311,1.57650617878871,0.670917311217057
81,1,106011,-0.113445696656276,0.150146227837312,0.450412061164473
82,1,106800,-0.138258765629992,0.144191613433814,0.338288355538292
83,1,107970,-0.157915302999525,0.143705940393523,0.272570166034532
84,1,109000,-0.121192045433476,0.144060876708965,0.400774165478051
85,1,112549,-0.194470027146508,0.143669604681959,0.176732640279861
86,1,112742,-0.176213439056684,0.14429868514181,0.222836080028608
87,1,113050,-0.166553729527144,0.144087459350677,0.248495186576253
88,1,113135,-0.237106330846327,0.143438116437266,0.0992154746449659
89,1,114076,-0.0885773658277858,0.143915004608405,0.538631813211703
90,1,114628,0.0114384030965726,0.144355195934182,0.936888295818937
91,1,116283,0.0796286906931429,0.145097491174481,0.583493491278688
92,1,126880,-1.22485178407038,2.72282481977015,0.653097613415296
93,1,127853,0.241551469016857,0.144317578753024,0.0950656519865383
