SNP,Chr,Pos,Effect,SE,ERG11_PIS1_noMTX_Metformin_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.0333235492296234,0.0663477225722658,0.615800529276852
2,1,1035,-0.0184703879819003,0.067090320815198,0.783242000010484
3,1,1074,0.00916734922082441,0.113389040710234,0.9356081467963
4,1,1470,-0.255007381398421,0.112163540626253,0.0235942560800016
5,1,1475,0.00153368047730984,0.0833924412433242,0.985337226070409
6,1,1491,-0.0115886292893757,0.0729444941258951,0.873862823555822
7,1,21249,-0.285450402464528,0.418510623577786,0.495646712714223
8,1,27243,-0.034773628934596,0.0571011155098518,0.542927177624588
9,1,27272,-0.0630962805652319,0.0561728259850382,0.262093506836312
10,1,27498,0.241514840300261,0.513713324705307,0.638548571929558
11,1,27561,-0.0333095894946469,0.38821268728539,0.931672124557809
12,1,27816,0.0376784850715045,0.0573863359505521,0.511881434250654
13,1,27822,0.0340216250339851,0.0573197904674517,0.553199512163124
14,1,27823,0.0490397324148962,0.0584714108501464,0.402207546852979
15,1,27825,0.0418470357741335,0.0573051175709333,0.465722011578597
16,1,27843,0.0429817618202772,0.0548940324617616,0.434154926372023
17,1,27848,0.0429817618202772,0.0548940324617616,0.434154926372023
18,1,28495,0.0632554709837584,0.0548393204995269,0.249498222678483
19,1,28975,0.0370163347146605,0.0545397374611725,0.497770175866796
20,1,29283,0.0452179007835216,0.122282330472347,0.711766084778649
21,1,29752,-0.311664579091274,0.126429016500918,0.0141714431975388
22,1,29787,0.148855682816985,0.344944083031223,0.666342341091088
23,1,30057,0.295887257225334,0.110758723425059,0.00790214288514417
24,1,30479,0.0730566475489969,0.327777249454192,0.823753887136633
25,1,30706,0.0634897071710347,0.056261316317051,0.259884086785788
26,1,31435,0.0548525159395222,0.0543523618546409,0.31356899019903
27,1,35128,-0.135460249730588,0.0746745943560794,0.0705255110785677
28,1,35129,-0.0870682842185215,0.0750710591947215,0.246909383847302
29,1,36146,-0.00437935948555512,0.0541495457525927,0.935586974914037
30,1,37255,0.0493134667167094,0.109266754269398,0.652041369748169
31,1,37409,0.0317132435737463,0.054416656888338,0.560409731977096
32,1,37478,0.0215644456165334,0.0544775408908772,0.692461445046429
33,1,39144,-0.0153830322130128,0.054234800446799,0.776854348932807
34,1,41499,0.0143868594502577,0.0540851074880942,0.790391359058475
35,1,45359,-0.0757285995710095,0.0909736869013267,0.405732959408245
36,1,45634,0.0192067544415671,0.0836377814691016,0.818502906205659
37,1,51248,0.0314919016135655,0.0542948961549204,0.562273936973632
38,1,51462,0.0187526860625812,0.0543852635482334,0.730441133793407
39,1,52124,0.0177658507672561,0.0543125315811755,0.743783046039312
