SNP,Chr,Pos,Effect,SE,TPO1_TPO2_noMTX_noDrug_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.112438119693071,0.0663512302917692,0.0910352036140855
2,1,1035,0.0829118039083181,0.0672046579612676,0.218127649235422
3,1,1074,0.0519590241710626,0.113782123011187,0.648200852199375
4,1,1470,-0.14969426880703,0.113125634220068,0.186606418140207
5,1,1475,-0.15386528946741,0.0833039399296707,0.0655787647743707
6,1,1491,-0.0876116513264964,0.0730722891403868,0.231342937251564
7,1,21249,0.0127600102751702,0.420357766080808,0.975800992381333
8,1,27243,0.0372004766188636,0.0573113655890708,0.516699552931631
9,1,27272,-0.0338977202646495,0.0564555355808726,0.548603528477197
10,1,27498,-0.132353928407791,0.515754964824586,0.797620300604946
11,1,27561,-0.0544405063410136,0.389663222396345,0.888967469750695
12,1,27816,0.0271345061508872,0.0576188132268561,0.637980629393843
13,1,27822,0.024520239531849,0.0575488596084781,0.670311496046699
14,1,27823,0.0190478182732015,0.0587405950558254,0.745925617405907
15,1,27825,0.0222046379049875,0.0575515225433539,0.69986098627662
16,1,27843,0.0535314721607078,0.0550742668738084,0.331722555183213
17,1,27848,0.0535314721607078,0.0550742668738084,0.331722555183213
18,1,28495,0.0868840160786718,0.0549545854911679,0.11477020224253
19,1,28975,0.0569163359868541,0.0546963460216908,0.298779196218465
20,1,29283,-0.0626985423035435,0.122719751126175,0.609734626009491
21,1,29752,-0.278504144794979,0.1271299821052,0.0291266324935686
22,1,29787,-0.0315943053486745,0.346326142960789,0.927363942563476
23,1,30057,0.283731857368291,0.11127259202727,0.011197927233416
24,1,30479,-0.343652238216659,0.328522002474705,0.296251168058273
25,1,30706,0.0501276457644943,0.0565113313067179,0.375662878525002
26,1,31435,0.0738760448678421,0.0544933577008521,0.176064821301225
27,1,35128,-0.049051186996409,0.0752581822653272,0.51497229338067
28,1,35129,-0.0371853741502521,0.07547034398885,0.622520270599937
29,1,36146,0.0667566770518866,0.0542370538294002,0.219205347637617
30,1,37255,0.17649145148574,0.109305646626765,0.107277796701074
31,1,37409,0.0848663671187884,0.0544601923466468,0.120053637971149
32,1,37478,0.0708535784699345,0.0545640043775484,0.194949271904992
33,1,39144,0.0106756509218038,0.0544416210578516,0.844649777797254
34,1,41499,0.00222468085373655,0.0542934398648903,0.967338886317647
35,1,45359,-0.0208435828532219,0.0913980252397106,0.819737171644117
36,1,45634,0.0384399558903996,0.083933073239281,0.647246139801364
37,1,51248,-0.0080105014038109,0.0545230006384248,0.883279295747394
38,1,51462,-0.00979503794938484,0.0545961144377956,0.857719447033006
39,1,52124,-0.0264815193957087,0.0545064470957408,0.627380649828286
40,1,52667,-0.0697482502949388,0.0543105568632563,0.199897233269277
41,1,55470,-0.0201736386934094,0.0559084407811715,0.718439749795054
42,1,59265,-0.0402701851267472,0.0543675889278166,0.459366511980482
43,1,60165,-0.0343568351955989,0.0543379457236665,0.527612766995874
44,1,62308,-0.0766244582834672,0.0541555665998402,0.157980695081316
45,1,62869,-0.0758300261151824,0.054151894314295,0.162295590076176
46,1,65431,-0.0639841261964635,0.0566107831345674,0.259139839433279
47,1,65451,-0.0527879009084815,0.0558383376500093,0.345116539993634
48,1,65719,-0.0640094409589433,0.0582030790537661,0.272185969275283
49,1,66841,-0.0499097998117386,0.0542626998290578,0.358315313665783
50,1,66948,-0.0563819912389588,0.0545786615335211,0.302291960577831
51,1,68621,-0.0409854622833144,0.0544693564377012,0.452281999160924
52,1,69417,-0.0798724406401712,0.0542022480366151,0.141480436670641
53,1,69820,-0.508396832768789,0.21101855347997,0.0164966316299229
54,1,69821,-0.147954072342844,0.131765796983007,0.262261581266126
55,1,70906,-0.0752618441748947,0.0872450641737455,0.388916303764642
56,1,74327,-0.123983732382549,0.0542678743785863,0.0229255242448704
57,1,74572,-0.118727903281603,0.0541546320735968,0.0290039235029438
58,1,75211,-0.0967800348446864,0.0541783678037601,0.0749052028599712
59,1,76030,-0.115755762664122,0.0540728263358674,0.0329797602505031
60,1,80108,-0.114857005181405,0.0540653055531181,0.0343302509642847
61,1,81262,-0.0988242958739969,0.0541343180481918,0.0687645387959474
62,1,81999,-0.134715257670891,0.0540485498933291,0.0131430784894601
63,1,82431,-0.12141828006245,0.0543976476124647,0.0262386325711565
64,1,83284,-0.133960075267657,0.0539121126521903,0.0134256601499565
65,1,83613,-0.126846402826435,0.0539547954082219,0.0192737061284549
66,1,84112,-0.0981375402176568,0.0541301137911324,0.0706820800990863
67,1,84701,-0.0995844993548331,0.057991472588506,0.0868148650627659
68,1,84858,-0.0767339925246285,0.0543818804845782,0.159119021601718
69,1,85751,-0.0947081128044073,0.0545266728252038,0.0832747561467778
70,1,87445,-0.0892097627635305,0.0546691292383242,0.103610749350901
71,1,87467,-0.0941326361757094,0.0549342107576677,0.087488926828837
72,1,89070,-0.113693731542008,0.0544819374338491,0.0376219084114804
73,1,89616,-0.0987138684161803,0.0542683376148888,0.0697592251332768
74,1,89679,-0.0906053781605879,0.054315320955327,0.0961753401834966
