SNP,Chr,Pos,Effect,SE,TPO1_MID2_MTX_Metformin_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.168203524530214,0.12899691055131,0.193105555327314
2,1,1035,0.0897853762488254,0.130634429752162,0.492343396222752
3,1,1074,0.272345983943364,0.220434563684678,0.217467631934147
4,1,1470,-0.257874986154649,0.21968678444999,0.241254384857855
5,1,1475,-0.0764082693155856,0.162417325034606,0.638328310707578
6,1,1491,-0.0377243522280843,0.142103983584313,0.790802339886122
7,1,21249,-0.771348407491642,0.814860979723618,0.344489533087738
8,1,27243,-0.13853679454381,0.111060364106997,0.213077463952082
9,1,27272,-0.113271041783489,0.109467433417592,0.30149566262713
10,1,27498,-0.74115587760459,1.00037058961309,0.459257946103052
11,1,27561,0.0833782996173928,0.756324790377673,0.912280581419689
12,1,27816,0.0365674557032605,0.11185343919062,0.74391993120302
13,1,27822,0.033654520985594,0.111713828153928,0.763396257496067
14,1,27823,0.0206235400443016,0.114024264493363,0.85657361252748
15,1,27825,0.033168671640449,0.111714239792824,0.76671260308416
16,1,27843,0.0536401625680912,0.107001278430908,0.616469702281531
17,1,27848,0.0536401625680912,0.107001278430908,0.616469702281531
18,1,28495,0.0807641211697998,0.106954743752791,0.450677948784497
19,1,28975,0.0654291275648717,0.106268539406861,0.538491860812904
20,1,29283,-0.382057479684713,0.237411699349726,0.108453094197596
21,1,29752,-0.446132492632914,0.247287226066174,0.0720669144107188
22,1,29787,1.25029190186459,0.668907679073538,0.0624291477963055
23,1,30057,0.169741085026912,0.217767172136762,0.436230276615638
24,1,30479,0.459550571063421,0.638163795926755,0.471931453643511
25,1,30706,0.0387605851154373,0.109788473449626,0.724263289644475
26,1,31435,0.0565400341610127,0.106001169258727,0.594098846441961
27,1,35128,0.276596903255513,0.145416944889997,0.0579724089697691
28,1,35129,0.105766797089427,0.146426367473519,0.470575562159596
29,1,36146,0.0420873975677756,0.105473285112313,0.690109642672051
30,1,37255,0.187164774495519,0.212705683119823,0.379499269121388
31,1,37409,0.0674553077644466,0.106006696891348,0.524973323981106
32,1,37478,0.0451862299325694,0.106131411694754,0.670544121412052
33,1,39144,-0.0238663674906211,0.105666593931885,0.821437265849964
