SNP,Chr,Pos,Effect,SE,ERV25_ORM2_noMTX_Trifluoperazine_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.116693864098551,0.0814301268884394,0.152727107809731
2,1,1035,0.0446043247618931,0.0825259373023231,0.589201001328407
3,1,1074,0.267232267167619,0.138793832067413,0.0549836675294283
4,1,1470,0.0486161697075325,0.138994201732936,0.726718991820554
5,1,1475,-0.0529650868792961,0.102571460514072,0.605917548709477
6,1,1491,-0.0913896734519308,0.0896257882888444,0.308578309393704
7,1,21249,0.554986998205467,0.514447826758866,0.281412893554021
8,1,27243,0.00301846247911386,0.0702967226844777,0.965774533589549
9,1,27272,-0.0925926275146922,0.0690656021762585,0.180897034949116
10,1,27498,-1.40677081419908,0.627846993102509,0.0256717128118567
11,1,27561,0.14203370606515,0.477621057482996,0.766353322386642
12,1,27816,-0.0541192570933555,0.0705953192586312,0.443824284157399
13,1,27822,-0.0410512944981404,0.0705304265693948,0.560913510468545
14,1,27823,-0.0465855549622675,0.071975037524847,0.517893419311071
15,1,27825,-0.0432323238130562,0.0705267347977512,0.540276358024423
16,1,27843,-0.00241779678293563,0.0676028121181865,0.971490166462895
17,1,27848,-0.00241779678293563,0.0676028121181865,0.971490166462895
18,1,28495,-0.00967275247419236,0.0676020688864544,0.886305735950474
19,1,28975,0.00201132245475,0.0671520496465621,0.976122447849967
20,1,29283,0.0284505525416705,0.150483687304941,0.850153888457822
21,1,29752,-0.313993957922428,0.156005155850747,0.0449035448186509
22,1,29787,-0.433406782850136,0.423920866061469,0.307302808767121
23,1,30057,0.168525978453468,0.137361144099335,0.220684423027431
24,1,30479,-0.613242548343417,0.402018738903439,0.128052815190137
25,1,30706,-0.0269610783525717,0.069336587556983,0.697626387784979
26,1,31435,0.0139329719634622,0.0669701113642187,0.835311770033279
27,1,35128,-0.236668637603859,0.0914470479787141,0.010051068585557
28,1,35129,-0.208339811477873,0.0918802148939177,0.0239627758327613
29,1,36146,0.0161333000663168,0.0666233363427232,0.808799219050023
30,1,37255,0.0168522385579255,0.134482956363492,0.900348414287806
31,1,37409,0.0449527704262829,0.0669463819279995,0.502357638555994
32,1,37478,0.0412030033000029,0.0670108342559351,0.539036208295479
33,1,39144,0.0342851301205539,0.0667158065246211,0.607644724588394
34,1,41499,0.00122520112401252,0.0665556020578255,0.985323224195046
35,1,45359,-0.1527848531932,0.111752813948089,0.172442648694133
36,1,45634,-0.047238997467423,0.102888992616337,0.64642637134926
37,1,51248,0.0296828354908686,0.0668202516754641,0.657156345404716
38,1,51462,0.0362063293276532,0.0669018114981119,0.58872068995152
39,1,52124,-0.000694243266274416,0.0668389154584647,0.991718539428043
