SNP,Chr,Pos,Effect,SE,SSH1_ERG11_noMTX_Fluconazole_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.0531263085636873,0.119924948552636,0.658039760575619
2,1,1035,0.0642424577194157,0.121222399275978,0.596476062558178
3,1,1074,0.120655162172481,0.20483815927704,0.55622004935653
4,1,1470,-0.00989919760190272,0.204200105280074,0.961362772208413
5,1,1475,0.0740767967641824,0.150670191016588,0.623273307705561
6,1,1491,-0.150212809907019,0.13160038118963,0.254464151459009
7,1,21249,-0.309144905146575,0.756726449875133,0.683132854708639
8,1,27243,-0.0643686315042689,0.103200668954571,0.533212336384838
9,1,27272,0.0112270534426367,0.101705071340585,0.912164135942928
10,1,27498,0.117354655818637,0.928743988983985,0.899520125618462
11,1,27561,0.515597719213591,0.701117678793547,0.462587898727148
12,1,27816,-0.113749149924314,0.103605394304895,0.272993154262351
13,1,27822,-0.11188753238887,0.103479015626602,0.280320400033704
14,1,27823,-0.149785596149268,0.105484369230759,0.156496319553417
15,1,27825,-0.118790359873837,0.103457217370546,0.251660382645498
16,1,27843,-0.0683928956097774,0.0992336629600835,0.491143493371993
17,1,27848,-0.0683928956097774,0.0992336629600835,0.491143493371993
18,1,28495,-0.0330620290108163,0.0992864217927264,0.739334622167648
19,1,28975,-0.0522915007443865,0.0985989642721427,0.596205969916478
20,1,29283,0.0318393686695511,0.221046747074861,0.885551809448956
21,1,29752,-0.239018181070785,0.230112147704626,0.299653822831817
22,1,29787,-0.141832811586968,0.623563213046546,0.820201334686689
23,1,30057,0.0952260167586942,0.202132837470015,0.637855956049354
24,1,30479,0.437917839300067,0.592000541466196,0.459958279902436
25,1,30706,-0.0772195544782265,0.101785795578305,0.44856959356976
26,1,31435,-0.0288048885549994,0.0983649510897047,0.769818871108189
27,1,35128,-0.0639316583781446,0.135550150331213,0.637471015100717
28,1,35129,-0.0882051021737573,0.13585899324087,0.516605407850274
29,1,36146,-0.00508274969593922,0.0978692515410313,0.958610593352608
30,1,37255,0.186115997547378,0.197294810386442,0.3461524274026
31,1,37409,0.0923780207614381,0.0982758750664634,0.347867116437747
32,1,37478,0.0582984722082659,0.0984344863582224,0.554057943885566
33,1,39144,0.10705420316493,0.0978682484611599,0.27476206115886
34,1,41499,0.156855679485049,0.0974049266866766,0.108216048304609
35,1,45359,-0.0679913680668816,0.164545386856375,0.679705570596727
36,1,45634,-0.00447970342909199,0.151176221669981,0.976377028236763
37,1,51248,0.125050239931087,0.0979523065217453,0.202567100466554
38,1,51462,0.125850683603608,0.0980828432749519,0.200296705757977
39,1,52124,0.132856664230119,0.0979231886044415,0.175729662493406
40,1,52667,0.10260616772027,0.0978685765497231,0.295168087814433
41,1,55470,0.0975246401885167,0.100554498823713,0.332776102520468
42,1,59265,0.0230268232857354,0.0979637124489044,0.814302631660327
43,1,60165,-0.0161177257009244,0.0978935861460538,0.869317356758834
44,1,62308,-0.149026632185042,0.0974674638506239,0.127162858094369
45,1,62869,-0.0927431132322363,0.0976527169838377,0.342902348076129
46,1,65431,-0.0249115637461893,0.102110140106846,0.807397658663298
47,1,65451,-0.0258021778028497,0.10066142145958,0.797848144703337
48,1,65719,-0.0535688168981486,0.104942251438799,0.610048313286036
49,1,66841,-0.0472794472228101,0.0977911067033056,0.629059041054965
50,1,66948,-0.0711128962970768,0.0983510294203977,0.470126813754057
51,1,68621,-0.215655998801386,0.0974837765534292,0.0275908674815857
52,1,69417,-0.197523970804001,0.0973312078216398,0.0431673819707317
53,1,69820,0.129281850260846,0.383013485848404,0.735911512679453
54,1,69821,0.00290284976017574,0.237683325834034,0.99026249924925
55,1,70906,-0.0725637596983781,0.157213217759164,0.644679229882827
56,1,74327,-0.134916414543826,0.0981733052580647,0.170230425052981
57,1,74572,-0.105013967226328,0.0980142719901455,0.284714812814531
58,1,75211,-0.0981256835626531,0.0978552755133882,0.316661930697901
59,1,76030,-0.0607256966359509,0.09794123281922,0.5356434816642
60,1,80108,-0.130080051855451,0.0977264381004289,0.184027297871984
61,1,81262,-0.252658036846966,0.0970066819365403,0.00958850774482457
62,1,81999,-0.204836788181352,0.0975662678247036,0.036485666739865
63,1,82431,-0.148440190449272,0.0983213165198421,0.132002861444963
64,1,83284,-0.187460156206252,0.0974108130682629,0.0551044211298263
65,1,83613,-0.142466492727162,0.0976156041230943,0.145326648009633
66,1,84112,-0.127079454776413,0.0976865832593097,0.194144794815056
67,1,84701,0.00558405836110598,0.104855390216518,0.957558976234838
68,1,84858,-0.0699172149156202,0.0981262862049,0.476611797039491
69,1,85751,-0.124391497454363,0.098377908810586,0.206911686378481
70,1,87445,-0.11727675187558,0.098611513972349,0.235128647769854
71,1,87467,-0.146808360932459,0.0990183149701801,0.13906268222367
72,1,89070,-0.171105491261303,0.0982834603199549,0.0825655762664351
73,1,89616,-0.176280061383769,0.0977241419488554,0.0721066222133649
74,1,89679,-0.176916516076004,0.0977333732165808,0.0711156862122493
75,1,89880,-0.184875044631499,0.0977166386735191,0.059315767209237
76,1,91472,-0.136315271229664,0.0986734398802447,0.168005531075994
77,1,93789,-0.0870186976376534,0.097810867558685,0.374252823443008
78,1,94351,-0.0625441691588676,0.0981217197498714,0.524268335562529
79,1,99148,-0.0518702841741507,0.0978815358921431,0.596494166122291
80,1,101281,-0.213530790525895,1.07086930535706,0.842065068875007
81,1,106011,-0.0795571725332295,0.101963605777587,0.435766200932249
82,1,106800,-0.0116281555187309,0.0980505924960631,0.905664931395225
83,1,107970,-0.0542683335341966,0.0977193721734354,0.57900788155865
84,1,109000,0.00174095054818929,0.097934296943984,0.985827019973289
85,1,112549,-0.0407307935262256,0.0977994543227731,0.677317322249708
86,1,112742,-0.00062095890040717,0.0982045934246677,0.994958489916969
