SNP,Chr,Pos,Effect,SE,ERV25_UIP4_MTX_Metformin_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.0786022916612995,0.156685198149473,0.616221247451164
2,1,1035,0.100227350989701,0.158365952112358,0.527218854962601
3,1,1074,-0.0750551227917651,0.267749304633661,0.779397249295231
4,1,1470,0.0971368326028728,0.266764697820553,0.715979493560319
5,1,1475,0.0913636177416581,0.196877480396924,0.642888425133302
6,1,1491,0.0958662494628966,0.17219440719455,0.578062879914084
7,1,21249,-0.809537997379476,0.988055865692195,0.413154332967343
8,1,27243,-0.0661782158798483,0.134873348042375,0.623965207242709
9,1,27272,0.0512288453308505,0.132865176893184,0.700047293249691
10,1,27498,-1.21799545097772,1.21181908311657,0.315538717788299
11,1,27561,0.983502896121164,0.915306963921877,0.283329830948949
12,1,27816,-0.0948213682302327,0.135510865180228,0.48455517240815
13,1,27822,-0.0935392571523612,0.135340924373129,0.489933062140006
14,1,27823,-0.095901734152898,0.138127800722288,0.487952570244422
15,1,27825,-0.0959137896124255,0.135336216189211,0.478973772355922
16,1,27843,-0.051730185088542,0.129719635821812,0.690293088665038
17,1,27848,-0.051730185088542,0.129719635821812,0.690293088665038
18,1,28495,-0.0466991034027067,0.129727144203317,0.719077790576263
19,1,28975,-0.0461153392121523,0.128860268665981,0.720653823633786
20,1,29283,-0.324987902792126,0.288316307066641,0.260426826874061
21,1,29752,-0.400976896682653,0.300373253496261,0.182759953078556
22,1,29787,1.49487038254401,0.810932038600732,0.0661090373429786
23,1,30057,-0.10656662084091,0.264134873543213,0.686857567208225
24,1,30479,1.00994987355028,0.772256170498018,0.191795160099542
25,1,30706,-0.10568521764385,0.132985800370539,0.427315869773849
26,1,31435,-0.061750234864966,0.128500144345363,0.631136850640488
27,1,35128,0.302740745616795,0.176435379686779,0.0870626441954785
28,1,35129,0.090512256750984,0.177557996158711,0.610537004806639
29,1,36146,-0.118761725521462,0.127723031258651,0.353090397547875
30,1,37255,-0.145801177824742,0.257999293440302,0.572349490888374
31,1,37409,-0.0612108616049028,0.128529492653164,0.634198163349763
32,1,37478,-0.0827297442629743,0.128605942870746,0.520459516304412
33,1,39144,-0.1246140023499,0.127922268570768,0.330654849387004
34,1,41499,-0.141207808653671,0.127517498661179,0.268892197273354
35,1,45359,-0.265234553324698,0.21458801131714,0.217273871496916
36,1,45634,0.0605015694157927,0.197505324262351,0.759534905678582
37,1,51248,-0.184730148244359,0.127905158016501,0.149548769852739
38,1,51462,-0.166800178174282,0.128149307663175,0.193899179851949
39,1,52124,-0.109495752079203,0.128150058141814,0.393444110985988
40,1,52667,-0.143431960553512,0.127849195796813,0.262674327946399
41,1,55470,-0.20978867570655,0.131087732876879,0.110411408135221
42,1,59265,-0.00886164230124026,0.12801143572517,0.94484940557985
43,1,60165,-0.00884801664856316,0.127914702987888,0.944892493752074
44,1,62308,-0.128846451189465,0.127590725348729,0.313262765655189
45,1,62869,-0.119843895100396,0.127599509069101,0.348260476046365
46,1,65431,-0.10293644662816,0.133318853023655,0.440567534401836
47,1,65451,-0.0803031765165175,0.131469976540914,0.541718452856994
48,1,65719,-0.0590925261930745,0.137135189986607,0.666798925781122
49,1,66841,-0.0533314889521568,0.127787531592749,0.676679776869368
50,1,66948,-0.095362987092172,0.128503293934843,0.458516967983047
51,1,68621,-0.166606884212479,0.127948184036868,0.193716357758757
52,1,69417,-0.137684742264148,0.12770548233449,0.28170622825229
53,1,69820,-0.859470605883921,0.49844277730336,0.0855270546344571
54,1,69821,-0.589410335718745,0.308975621717828,0.0572506503478489
55,1,70906,0.0669463456388817,0.205450526772896,0.744729848520255
56,1,74327,-0.0269121309616732,0.128610863833366,0.834371917837039
57,1,74572,0.00759404035801281,0.128275778978289,0.952825599710413
58,1,75211,0.0222895055339034,0.128037083224002,0.861897411082853
59,1,76030,-0.0308809714790684,0.12803202956508,0.809542290731136
60,1,80108,-0.125729516344919,0.127837273590218,0.326029025150115
61,1,81262,-0.100710321207526,0.127851592600552,0.431393382921182
62,1,81999,-0.161775387152505,0.127987105797375,0.207064929584805
63,1,82431,-0.203064980067235,0.128429666151154,0.114742125176859
64,1,83284,-0.165396348028458,0.127642571126255,0.195898842443134
65,1,83613,-0.126744812178973,0.127753693588346,0.321826879145735
66,1,84112,-0.102196602527328,0.127830101163752,0.424554328371895
67,1,84701,-0.0793506113806357,0.136942597400687,0.562658998928401
68,1,84858,-0.0160691913189476,0.128304027617848,0.900402409070469
69,1,85751,-0.0878931969940604,0.128749292372196,0.495263542319081
70,1,87445,-0.0951487396654213,0.129007237677633,0.461280502426729
71,1,87467,-0.145561317928162,0.129551027809362,0.261953547072167
72,1,89070,-0.136335449318516,0.128765911006759,0.290421542556761
73,1,89616,-0.0866026326701984,0.128193573700248,0.499761442130465
74,1,89679,-0.106662265101124,0.128166990802728,0.405851237643721
75,1,89880,-0.109249486163712,0.128193357037032,0.394667459997935
76,1,91472,-0.078172773481976,0.129210723593791,0.545566240033606
77,1,93789,-0.0429476153674464,0.127925354689067,0.737278431265679
78,1,94351,-0.113813686144814,0.128139400094668,0.375036844420733
79,1,99148,-0.087356589073717,0.127861266702231,0.494919883003589
80,1,101281,1.4206744877882,1.3972638392086,0.30996652363685
81,1,106011,0.0195558712112242,0.133339439354424,0.883482284936579
82,1,106800,0.00453268284275081,0.128118132829404,0.971797580293861
83,1,107970,0.0356571397121222,0.127724691906573,0.780276425353296
84,1,109000,0.0267540564215671,0.127955986636241,0.834500177168658
85,1,112549,-0.0733138113297717,0.127759477933072,0.566439856749876
86,1,112742,-0.058687664846316,0.128279012229417,0.647593056838687
87,1,113050,-0.0355395189166193,0.128087204676737,0.781586680213857
88,1,113135,-0.0773842784258972,0.127708490639897,0.544940920265662
89,1,114076,-0.0225896534263434,0.127769233745233,0.859766557459828
90,1,114628,0.00880999806249793,0.128097280396985,0.945206990562435
91,1,116283,0.0259847004173374,0.128803182449047,0.840236520443545
92,1,126880,-1.88149119452686,2.41477992906403,0.436409621466501
93,1,127853,0.139327700401683,0.128356739085955,0.278453194184521
94,1,128302,0.199509785125061,0.127635954584436,0.11892135891934
95,1,128704,0.151361612984485,0.127951038786564,0.237619090075427
96,1,128911,0.216065211483036,0.127701835458586,0.0915378377624167
97,1,130267,0.169233174789301,0.127840892667398,0.186432843735052
98,1,130271,0.166722018529241,0.128002711535405,0.193598673719517
99,1,130613,0.184300740126127,0.129136948684803,0.154414039562707
100,1,132012,-0.0287239620232624,0.129225036389955,0.824225545010898
101,1,133231,-0.099666390812159,0.128207340368918,0.437452651341897
102,1,137074,-0.150102556577829,0.127885240685463,0.24129506941999
103,1,137304,-0.172511992855838,0.127849794232711,0.178094699742242
104,1,139686,-0.105756987080851,0.128224037741098,0.41005186578889
105,1,149562,-0.121163103141959,0.128478587355765,0.346294843769056
106,1,150447,-0.0958009253993106,0.129967259840168,0.461541547499795
