SNP,Chr,Pos,Effect,SE,RET2_EMP70_noMTX_5.FC_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.0993959977020284,0.0855597137187455,0.246136162438115
2,1,1035,0.100900278881966,0.0864943550828234,0.24417828224037
3,1,1074,0.233056084214065,0.145924582304754,0.111138273982804
4,1,1470,-0.265059234989959,0.145239901223814,0.0688497300017996
5,1,1475,0.0113699453500375,0.107705239355284,0.915987148267088
6,1,1491,-0.00879637191999683,0.0942148735650101,0.92566656052522
7,1,21249,-0.12427722030338,0.540849936980117,0.818394777921935
8,1,27243,-0.00144410872215572,0.073788581408193,0.984396737453933
9,1,27272,-0.0610363307414479,0.0726078445101187,0.401124292987275
10,1,27498,-0.469559298229132,0.663231922029523,0.479420792770891
11,1,27561,-0.298648425121225,0.501155731353358,0.551610967730796
12,1,27816,0.0379865331250456,0.0741359515890019,0.608698408241535
13,1,27822,0.0398396180514425,0.0740388984706153,0.590853760386428
14,1,27823,0.0430938634809678,0.0755601194949009,0.568819768635873
15,1,27825,0.0441770860252217,0.0740319264651249,0.551070034397823
16,1,27843,0.081090179669122,0.0708294618214516,0.253040675968686
17,1,27848,0.081090179669122,0.0708294618214516,0.253040675968686
18,1,28495,0.0991950972574583,0.0707653102071189,0.161869310430399
19,1,28975,0.0669009208738577,0.0703976501978163,0.34259535038576
20,1,29283,0.105772513047176,0.157866005024212,0.503286596586975
21,1,29752,-0.276575134060502,0.164031814981188,0.0926588462288206
22,1,29787,-0.0471563179437746,0.445628671857173,0.915785467128755
23,1,30057,0.360672163878295,0.143210207051541,0.012227697080797
24,1,30479,-0.49856640623338,0.422543500160172,0.238827620443382
25,1,30706,0.109016856878256,0.0725645737062409,0.133902642418175
26,1,31435,0.0794256900284164,0.0701736727674872,0.258468072768148
27,1,35128,-0.103378283816674,0.0967393493071248,0.285967974737681
28,1,35129,-0.0271273642427046,0.0971331023716518,0.780193260041564
29,1,36146,0.0615354554920647,0.069861659432794,0.379015260771694
30,1,37255,0.342871146646036,0.139981445279254,0.014794650963882
31,1,37409,0.156893739345986,0.0698189278129578,0.0252475546854532
32,1,37478,0.146989793086771,0.0699407826632705,0.0362938027257441
33,1,39144,0.0535280026894915,0.0699978806568039,0.444955803571592
34,1,41499,0.133442969706347,0.0694995443474555,0.0556564852305639
35,1,45359,-0.174660494147305,0.117245872995954,0.137197573710165
36,1,45634,-0.27488165439375,0.107036561320497,0.010636251249338
37,1,51248,0.0693023361812524,0.070061848987563,0.32326268331334
38,1,51462,0.0664239788699775,0.0701650035027052,0.344448180966744
39,1,52124,0.0763189597104421,0.070041188964161,0.276619571617634
40,1,52667,0.0624373062341456,0.0699675650532194,0.372799867786272
41,1,55470,0.0383841192930864,0.0719236875132279,0.593899926049212
42,1,59265,0.0601198555405121,0.0699379407672641,0.390583494213154
43,1,60165,0.0897829462143969,0.0697947986632512,0.199151949492128
44,1,62308,0.0554105863887631,0.0698189991907808,0.427942888124232
45,1,62869,0.0409807287716612,0.0698384300668113,0.557717555315782
46,1,65431,0.0297746884528838,0.0729576365759752,0.68344087274471
47,1,65451,0.0539287583606376,0.0718828385709789,0.453615132967615
48,1,65719,0.061186554294425,0.0749494976411872,0.41483885780684
49,1,66841,0.0465149070193826,0.069861559645774,0.505963897478719
