SNP,Chr,Pos,Effect,SE,SNA4_VAC8_MTX_Metformin_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.277103432447947,0.109218374207183,0.0116057233281126
2,1,1035,0.165773690545874,0.111065470157777,0.136441306264461
3,1,1074,0.229270175472903,0.187888307046456,0.223185733460208
4,1,1470,-0.220434547757728,0.187238895759859,0.239872793850087
5,1,1475,0.120601483259848,0.138324295228019,0.383869227271764
6,1,1491,0.0806064291580864,0.121052605583774,0.505923116114181
7,1,21249,-0.583868036496304,0.694699621221279,0.40121878621005
8,1,27243,0.0483558420758026,0.0948312339399429,0.610429866686677
9,1,27272,0.0643233110520749,0.0933787394846095,0.491374422186234
10,1,27498,-0.0166672221684907,0.853287139376061,0.984426980828249
11,1,27561,0.63409191712205,0.64374952971512,0.32529975295247
12,1,27816,-0.0527506618993187,0.0953067889159165,0.58028328591237
13,1,27822,-0.056556515401488,0.095179361677458,0.552752375703992
14,1,27823,-0.0578318429706222,0.0971396655029406,0.551992777615221
15,1,27825,-0.0472064689823383,0.095193798638889,0.620274573077668
16,1,27843,-0.0485896310582423,0.0911939567641429,0.594495965436925
17,1,27848,-0.0485896310582423,0.0911939567641429,0.594495965436925
18,1,28495,-0.000581064652482921,0.0912320918110976,0.994921840145879
19,1,28975,-0.0755416709496031,0.0905330251928538,0.404614235226252
20,1,29283,-0.14986007141068,0.202932347990478,0.460717717804687
21,1,29752,-0.0718869227950858,0.211700018951247,0.734382500351134
22,1,29787,0.75715975938205,0.57151137315671,0.186081989306531
23,1,30057,-0.0356356686510306,0.185754915514173,0.847975963265464
24,1,30479,0.11798036135833,0.544275948680105,0.828516157842314
25,1,30706,-0.0720758673730467,0.0935115783323002,0.44135916883661
26,1,31435,-0.0663045525124974,0.0903132381744722,0.463337338046493
27,1,35128,-0.0349621066094761,0.124559810471295,0.779116224369093
28,1,35129,-0.101421529073309,0.124776007329525,0.416864088008437
29,1,36146,-0.0855182606686626,0.0898008327998117,0.341591224313203
30,1,37255,-0.0187569337406828,0.18148695470626,0.917742759658675
31,1,37409,-0.0256112556201089,0.0903919986948716,0.777085812899804
32,1,37478,-0.046811698618644,0.0904456789235975,0.605084591813326
33,1,39144,-0.0552453438476289,0.0900190962360956,0.539804266888585
34,1,41499,-0.0950965168353048,0.0896745523762147,0.289659185239206
35,1,45359,0.057191847863578,0.151179287702683,0.705431589626605
36,1,45634,-0.00636546875477295,0.138890433118757,0.963470973329985
37,1,51248,-0.135130833068877,0.0899123798552275,0.133754538676712
38,1,51462,-0.143314855834431,0.0899992241056424,0.112189657618112
39,1,52124,-0.140082423286572,0.0898909093775076,0.120043919582284
40,1,52667,-0.168297419860389,0.0896084258347311,0.0611857368619989
41,1,55470,-0.150484410883966,0.0921584046479836,0.103384037336093
42,1,59265,-0.0263136459795636,0.0899987002226828,0.770169345790159
43,1,60165,-0.0558586915062762,0.0898924282842578,0.53474092852788
44,1,62308,-0.11886448634767,0.0896196370423235,0.18559056694441
45,1,62869,-0.103668494210805,0.0896617618847707,0.248374124647882
46,1,65431,-0.154580703520216,0.0934584747516626,0.0990155768949922
47,1,65451,-0.129550538831362,0.092232249585098,0.161015935996678
48,1,65719,-0.0858036101187793,0.0963413689593105,0.373739332343456
49,1,66841,-0.103044704414178,0.08970621464937,0.251461260774497
50,1,66948,-0.110333926096602,0.0902343922877457,0.222240598687029
51,1,68621,-0.180797348899253,0.0896654338839762,0.0445198441147536
52,1,69417,-0.156313524006586,0.0895559592671118,0.0817803971023509
53,1,69820,-0.265672197826152,0.351659961626173,0.450464598342431
54,1,69821,-0.179227457276899,0.218159242240534,0.411890875526215
55,1,70906,-0.129725030393671,0.144315567953854,0.369319528977679
56,1,74327,-0.0553537780773973,0.0903880692045671,0.540666510532878
57,1,74572,-0.0455518876598548,0.0901627106410235,0.613720515602097
58,1,75211,-0.0648758218154118,0.0899646426298885,0.471309455753878
59,1,76030,-0.0520998969523256,0.0899881689894093,0.562982804925402
60,1,80108,-0.123509881448961,0.0897692214283361,0.169737275511251
61,1,81262,-0.140067701503719,0.0896661877072745,0.119160064670319
62,1,81999,-0.179013399761567,0.0896906417049168,0.0467129274861458
63,1,82431,-0.155192766059039,0.0902450309864473,0.0863667601008036
64,1,83284,-0.159510387538484,0.0895613232162539,0.0757692092932793
65,1,83613,-0.132648836146597,0.0896754086750043,0.139975783995809
66,1,84112,-0.133466324696793,0.0896819168390961,0.137585933797674
67,1,84701,-0.120022464771443,0.0961225172145991,0.212624062532714
68,1,84858,-0.0465739120926031,0.090182658719504,0.605870655989326
69,1,85751,-0.154784365950921,0.0902121461937574,0.0870793900098845
70,1,87445,-0.15738422688742,0.0903917203537249,0.0825310637699429
71,1,87467,-0.170920052537351,0.0907996825912226,0.0606059318884211
72,1,89070,-0.18892562666566,0.0901239000329539,0.0367681378921577
73,1,89616,-0.127750616771692,0.0899386434567414,0.156368176577359
74,1,89679,-0.165058983615661,0.0897779104036703,0.066824949664793
75,1,89880,-0.135379473987374,0.0899414117581453,0.133167864160464
76,1,91472,-0.117894355823978,0.0906824947277779,0.194422317710023
77,1,93789,-0.131927539158323,0.089688366602351,0.142194153441333
78,1,94351,-0.132706531238338,0.0899226082847251,0.140892751119842
79,1,99148,-0.135831667640355,0.0896718558202653,0.130727137269231
80,1,101281,0.365825348700846,0.983706333402431,0.71020182075472
81,1,106011,-0.19493955955593,0.0931822674143219,0.0371503386397627
82,1,106800,-0.122116183248822,0.0898493886854547,0.174975949903265
83,1,107970,-0.127761713029078,0.0895594938695464,0.154591486634036
84,1,109000,-0.122439092565548,0.0897392592481488,0.173314919233075
85,1,112549,-0.124340264612957,0.0896297239233624,0.166235895891865
86,1,112742,-0.0805223966997888,0.0901220162742533,0.372207848684619
87,1,113050,-0.118148505559392,0.0898523000879597,0.189390662213397
88,1,113135,-0.139882657773851,0.0895336424727835,0.119102182438231
89,1,114076,-0.032909787713946,0.0898255867494845,0.714305272494906
90,1,114628,-0.0670897757035181,0.0899991388954854,0.456496341149917
91,1,116283,-0.0753707898328405,0.0904820249592377,0.405412553954613
92,1,126880,0.883869838577481,1.69871808276976,0.603169662436041
93,1,127853,0.00487572803212721,0.0904019040725651,0.95701833082522
94,1,128302,0.0293858879641653,0.0900414445699067,0.744345717887163
95,1,128704,0.016017643895881,0.0901406392931018,0.85906353728962
96,1,128911,0.0325849512417716,0.0901379643485215,0.71794134066922
97,1,130267,-0.0265929175599063,0.0901007962846232,0.768055628729067
98,1,130271,-0.0204852958671273,0.0902122752306609,0.820493912914953
99,1,130613,-0.0180344461742808,0.0910568952826955,0.843114553887114
100,1,132012,-0.0586955407610032,0.0908149484680418,0.518491940989781
101,1,133231,-0.0618432625940052,0.0901638017842499,0.493227017779832
102,1,137074,-0.0499973465431,0.0900562393620829,0.579123760785957
103,1,137304,-0.0514623663379091,0.0900852317452981,0.568184849088236
104,1,139686,-0.0249219921235977,0.0902355547748764,0.782565173114924
105,1,149562,-0.0616928408734111,0.0903915636131789,0.495366278289942
106,1,150447,-0.0473519794651,0.0914197582062092,0.604809105892433
107,1,151446,-0.0671643987886785,0.183693643926405,0.714858187219088
108,1,154084,-0.0482298979197329,0.0917011158705542,0.599255503123806
109,1,156633,-0.0181969104008344,0.0929896964403403,0.844967453676651
110,1,157269,-0.0791019561427347,0.0899736316158719,0.379908148425287
