SNP,Chr,Pos,Effect,SE,HUG1_ALO1_noMTX_5.FC_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.182725725596113,0.0914268996634167,0.0464182465405086
2,1,1035,0.0915402677096116,0.0928207806522328,0.324708266495277
3,1,1074,0.0525570744668276,0.157051620278305,0.738089075492384
4,1,1470,-0.396316692488483,0.155082898428141,0.011021563298014
5,1,1475,-0.192562434246549,0.115066026852724,0.0951157125969686
6,1,1491,-0.103108228878204,0.100902715796574,0.307547980768682
7,1,21249,-0.382734519939435,0.579776704763493,0.509593693203678
8,1,27243,-0.116983045520528,0.0788970204562378,0.139038133208922
9,1,27272,-0.125938972831529,0.0776650626966795,0.105789259239044
10,1,27498,0.230271394722849,0.711751798209196,0.746487243552194
11,1,27561,0.181637222902,0.537700286357629,0.735711807990902
12,1,27816,0.0326339843569122,0.0795254537385404,0.681791581606577
13,1,27822,0.0310678399041405,0.0794261108012699,0.695919402310534
14,1,27823,0.0264987460849302,0.0810674153310848,0.743957705243826
15,1,27825,0.0363815796018525,0.0794197189307406,0.647167831542812
16,1,27843,0.0375397310775018,0.0760831416578814,0.62203393218873
17,1,27848,0.0375397310775018,0.0760831416578814,0.62203393218873
18,1,28495,0.0760950306494111,0.0760027673078911,0.317409199534931
19,1,28975,0.0498008892633528,0.0755553686677813,0.510241354126986
20,1,29283,-0.0814922914257323,0.1693720111579,0.63071240393061
21,1,29752,-0.1761171702471,0.176391218036676,0.318746880150322
22,1,29787,-0.0242185898788927,0.477966923546027,0.959617131476033
23,1,30057,0.283785779949937,0.1542367594235,0.0666170376137095
24,1,30479,-0.146149420169775,0.454027158436366,0.747722194092111
25,1,30706,0.0457790990550574,0.0780398578172759,0.557839416208828
26,1,31435,0.073645077680169,0.075299591831063,0.32873046256683
27,1,35128,-0.152209649649374,0.103609688425904,0.142705011498666
28,1,35129,-0.114502559912617,0.104013677656522,0.271715787035328
29,1,36146,0.0870467128948191,0.0748695297057697,0.245758799701156
30,1,37255,0.074438696855136,0.151356389948329,0.623158831309944
31,1,37409,0.042548144217858,0.0753843174196406,0.572829237528876
32,1,37478,0.0532817855215878,0.0754298664827966,0.480420811289517
33,1,39144,-0.0577735630277299,0.0750757623571815,0.442089317296954
34,1,41499,-0.0589381774294816,0.0748645974093978,0.431655787958968
35,1,45359,-0.178129476555874,0.125790479776953,0.157633617124719
36,1,45634,-0.111049076412331,0.115719188618986,0.337891888181906
37,1,51248,0.00691864769213862,0.0752483278703484,0.926794524441085
38,1,51462,0.00468561975627775,0.0753508547565077,0.950451474464896
39,1,52124,0.0180974786647296,0.0752430636981411,0.810066608875024
40,1,52667,-0.086635853409174,0.0749869889986107,0.2487305437176
41,1,55470,0.00285826858734298,0.0771730459602279,0.97047633152902
42,1,59265,0.00713086019929085,0.0750897720141514,0.924396933334026
43,1,60165,-0.0517972917308771,0.074983323720349,0.490155170793589
44,1,62308,0.0495608143617003,0.0749050335433669,0.508628077013926
45,1,62869,0.00710545095466018,0.0749410986418001,0.924516515689609
46,1,65431,0.0857304662751984,0.0781363868877972,0.273306203106438
47,1,65451,0.108010148944762,0.0769452540711604,0.161279186560106
48,1,65719,-0.0180065612669927,0.0804575699878659,0.823040877281708
49,1,66841,0.038790496834586,0.0749489409693649,0.605090187884854
50,1,66948,0.0433982913871047,0.0754021457654235,0.565280835646548
51,1,68621,0.0413127905686355,0.0752010152615097,0.583102483559106
52,1,69417,-0.0270194694933567,0.0750202049626092,0.718940961687438
53,1,69820,-0.123508278601215,0.293536678579915,0.674186916144605
54,1,69821,0.131925320738912,0.182038430129955,0.469109194583187
55,1,70906,-0.166865593198144,0.120205685816472,0.165961568685089
56,1,74327,-0.0204856357892148,0.0754386396799911,0.786124003966512
57,1,74572,-0.0215315385792055,0.0752369286337451,0.774905751426092
58,1,75211,-0.0400990774325991,0.0750781606633822,0.593610083272883
59,1,76030,0.0178200015583376,0.0751025011972985,0.812580526088604
60,1,80108,-0.0419055832112475,0.0750575991144702,0.576985067287646
61,1,81262,-0.0225568625935736,0.0750527413554656,0.763937017741756
62,1,81999,-0.0266838510633081,0.0752322516534356,0.723036393731438
63,1,82431,-0.0103174047083429,0.0755998547598642,0.891524478438472
64,1,83284,-0.0236901600432463,0.0750411135449353,0.752420021744621
65,1,83613,-0.0150239172608306,0.075039175383967,0.841428264275905
66,1,84112,0.0390268847765104,0.0750229555954173,0.603250796960964
67,1,84701,0.054089983198931,0.0803157637079364,0.501091194062408
68,1,84858,0.102490540452705,0.0750655776978479,0.173013539862782
69,1,85751,0.0364826102832067,0.07554792770166,0.629461239350957
70,1,87445,0.0380769148187574,0.0757055121377577,0.615305399798902
71,1,87467,-0.00224695454051657,0.0761290034891191,0.976470462063619
72,1,89070,0.0574868223509427,0.0755907299428425,0.447462858479383
73,1,89616,0.0502930660932439,0.0751980275496818,0.504054891329608
74,1,89679,0.0672715543271512,0.0751699595045938,0.37143642135126
75,1,89880,0.0623675000934477,0.075201024653862,0.407470373810122
76,1,91472,0.103058234048526,0.0756343547184665,0.173882014716727
77,1,93789,0.0350118680878513,0.0750285677721029,0.64104020203869
78,1,94351,0.0171972776744769,0.0752436618022372,0.819347534729852
