SNP,Chr,Pos,Effect,SE,ERV25_RBD2_MTX_Metformin_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.158840137152768,0.148393404507968,0.285171123186939
2,1,1035,0.0772785794441359,0.150203772732024,0.607230289302006
3,1,1074,0.0904156086083594,0.253883350099487,0.721955570505825
4,1,1470,-0.0428750039665826,0.253004228901111,0.865529081928165
5,1,1475,0.351058563912781,0.185814375320438,0.0596713710657856
6,1,1491,0.234246449285886,0.16288332563796,0.15128475632272
7,1,21249,-0.670921734160387,0.937161727033766,0.474521352783265
8,1,27243,-0.0947341494083603,0.127841601133831,0.459169384637822
9,1,27272,-0.0243808970791232,0.126012931905245,0.846694874950872
10,1,27498,-1.31574280204523,1.14865138033973,0.2527915325606
11,1,27561,1.62190208263024,0.865087036508292,0.0616398603316714
12,1,27816,0.0338674446724007,0.128578385635506,0.792396584774776
13,1,27822,0.0198293851371453,0.12842324940075,0.877377465532931
14,1,27823,0.0475800781590111,0.131048451178098,0.716768097740541
15,1,27825,0.0180161051503847,0.128424006284827,0.888513944816402
16,1,27843,-0.0101476093433151,0.123036758856517,0.934314757291869
17,1,27848,-0.0101476093433151,0.123036758856517,0.934314757291869
18,1,28495,0.00443469740621348,0.123039710123794,0.971268593180841
19,1,28975,0.00811706046977546,0.122216721385488,0.947084786460982
20,1,29283,-0.394118883283597,0.273091062377565,0.149857260378136
21,1,29752,-0.0542491436311741,0.285540722828092,0.84942819552028
22,1,29787,1.09350026126234,0.770486124308381,0.156713141765254
23,1,30057,-0.0429206367039332,0.250520539814547,0.864065745794043
24,1,30479,1.0452286150995,0.731974191554542,0.154187958484504
25,1,30706,-0.0088904719685567,0.126219344232141,0.943885980821529
26,1,31435,0.00629660633260316,0.121893212099999,0.958831423613152
27,1,35128,0.188625059269009,0.167705785502185,0.261464297703866
28,1,35129,-0.00512262746900038,0.168436030949633,0.975754947568641
29,1,36146,-0.042466405711341,0.12124407141238,0.726355839775534
30,1,37255,-0.0957896392684368,0.244712520513603,0.695710107640118
31,1,37409,-0.000589978721456191,0.121920797157724,0.996141759078115
32,1,37478,-0.00849042462407724,0.122024772439825,0.944567739524735
33,1,39144,0.00493572495115134,0.121468491208339,0.967610819117677
34,1,41499,-0.0488935891308701,0.12110389086027,0.686653821661163
35,1,45359,0.0455582136326733,0.203914472837553,0.823339240547965
36,1,45634,-0.398568641751985,0.186109672176271,0.0329114256883212
37,1,51248,-0.179702749121873,0.121270846267455,0.139277697048407
38,1,51462,-0.154925777147001,0.121532981262303,0.203231494480986
39,1,52124,-0.136293159945384,0.121430956625274,0.262458551496096
