SNP,Chr,Pos,Effect,SE,TPO1_MID2_MTX_Trifluoperazine_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.248190587464021,0.188539229028723,0.188898269328442
2,1,1035,0.1341481946057,0.190935639150005,0.482778505298894
3,1,1074,0.46999611983531,0.321922853639669,0.145189044357011
4,1,1470,-0.141149131792634,0.321642805069689,0.66104729027608
5,1,1475,0.132051573560926,0.23736711314759,0.578346025381026
6,1,1491,0.11442933259121,0.20763723858306,0.581912271819518
7,1,21249,-1.03449811897079,1.19127774512443,0.385768824561793
8,1,27243,-0.00898850896460557,0.162687685268689,0.955970482009103
9,1,27272,0.00498191501257561,0.160244958839785,0.975215836136984
10,1,27498,-1.02997870755002,1.46229747999913,0.481675207007506
11,1,27561,0.556203958221659,1.10510217296067,0.615063433651816
12,1,27816,0.0466306005824053,0.163496115116054,0.775651116825506
13,1,27822,0.0489610100774371,0.163286337370122,0.764469919458343
14,1,27823,0.027360305848548,0.166664543646897,0.869696054143209
15,1,27825,0.0663106725288567,0.163268988060952,0.684883103119152
16,1,27843,0.0284577132842577,0.156446388197661,0.855765034342957
17,1,27848,0.0284577132842577,0.156446388197661,0.855765034342957
18,1,28495,0.0306739530113732,0.156447735109211,0.844671970152792
19,1,28975,0.0238913777955665,0.155405230511772,0.877905750966876
20,1,29283,-0.344391303260402,0.347799892003921,0.322754824402452
21,1,29752,-0.180788937353254,0.362981539978525,0.618747337924512
22,1,29787,1.9984894291539,0.976758358888264,0.04149270756544
23,1,30057,-0.080001315118869,0.318543997037512,0.801846720394143
24,1,30479,0.251061162492525,0.933359195559966,0.788097101306757
25,1,30706,-0.0664379625487671,0.160461323050789,0.679093731269045
26,1,31435,-0.00328631152717074,0.154998578181076,0.983096335116552
27,1,35128,0.226261391096162,0.21329494078123,0.289510051919354
28,1,35129,-0.110007665080349,0.214101670980444,0.607706022703109
29,1,36146,-0.0779715024450562,0.154143583306144,0.613286920882677
30,1,37255,0.172284560703261,0.311106213662221,0.580079664939714
31,1,37409,0.0285634197682851,0.15502571883489,0.853923484087439
32,1,37478,0.0256723938369459,0.155160429342719,0.86867893274865
33,1,39144,0.0442170432492574,0.154440451434722,0.77481263077564
34,1,41499,0.00682288606035175,0.154029520447497,0.96469353505245
35,1,45359,-0.0820367970252951,0.259277008184619,0.751881392248024
36,1,45634,-0.121704727665693,0.238099360711423,0.609564871066014
37,1,51248,-0.0591106703514861,0.15465357352687,0.70253307542569
38,1,51462,-0.042692606459295,0.154878658281075,0.782976683771826
39,1,52124,-0.0597986623568992,0.154652824261389,0.699238029898891
40,1,52667,-0.17430403901075,0.154158766511311,0.258957952329047
41,1,55470,-0.125634530134174,0.158499570084847,0.428514725003794
42,1,59265,-0.124381670341744,0.154217728766326,0.420478686782798
