SNP,Chr,Pos,Effect,SE,ADE17_PGM2_noMTX_Metformin_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.138104169229534,0.0903151765953905,0.127126354607776
2,1,1035,0.0467563674189347,0.0915713029141927,0.609949867550731
3,1,1074,-0.208112520865078,0.154409401574634,0.178588018699733
4,1,1470,-0.0981967814254254,0.154160140623086,0.524551352191819
5,1,1475,-0.0202629406167045,0.113846748946451,0.858837352186802
6,1,1491,-0.0559785863134109,0.0995466914640453,0.574244724066628
7,1,21249,0.0816273137589114,0.571732862658527,0.886551888555491
8,1,27243,-0.0618329866392864,0.0779289631733981,0.428046821776681
9,1,27272,-0.0411887669293152,0.0767957808354278,0.592060350962447
10,1,27498,-0.112437829609915,0.701542805733082,0.872758307104556
11,1,27561,0.187677470335033,0.529920026139564,0.723429028452431
12,1,27816,-0.127870716249996,0.0780987212677362,0.10245975813045
13,1,27822,-0.14606205625501,0.0779081605449891,0.0616460383243733
14,1,27823,-0.12383715276448,0.0796354797758727,0.12083022492686
15,1,27825,-0.155172007694662,0.0778582523780998,0.0470301859481677
16,1,27843,-0.0946017057919827,0.0748401219712574,0.207045885908149
17,1,27848,-0.0946017057919827,0.0748401219712574,0.207045885908149
18,1,28495,-0.0933108487183559,0.0748459299078925,0.21333203188426
19,1,28975,-0.124627201104439,0.0742132694629234,0.0939761709512437
20,1,29283,0.249867241165617,0.166448233601429,0.134205290956629
21,1,29752,-0.1158692211301,0.173977736582194,0.505845903851444
22,1,29787,-0.0744547092494348,0.471043569680853,0.874497285463234
23,1,30057,-0.06053833093394,0.152700630923073,0.692011831378549
24,1,30479,-0.658886637801782,0.446154307834802,0.140617212474771
25,1,30706,-0.0958284626986279,0.0767801485306756,0.21282566449372
26,1,31435,-0.0744366905144164,0.0742060246035532,0.316495645536046
27,1,35128,-0.0903091275599552,0.102310963992809,0.378003097013549
28,1,35129,0.0159648030619219,0.102682586369794,0.876533978203593
29,1,36146,-0.127062597094158,0.0736185515377863,0.0852298322312376
30,1,37255,-0.0871386885303496,0.149147731248062,0.559429239326774
31,1,37409,-0.0739458037978263,0.0742239768201438,0.319810011854347
32,1,37478,-0.104292727917544,0.0741847584346833,0.16064790020528
33,1,39144,-0.1587778272579,0.0735688872520378,0.0315845412519346
34,1,41499,-0.0769074408492865,0.0737337342388857,0.297642252367687
35,1,45359,-0.291791878659494,0.123350117836564,0.0185428050725511
36,1,45634,0.0335669893519552,0.114181306660249,0.768946173633516
37,1,51248,-0.122515114210481,0.0738743629291118,0.098119905629419
38,1,51462,-0.119231769527149,0.0739905135485744,0.107976111384709
39,1,52124,-0.0958919064156509,0.0739857670324336,0.195792648703387
40,1,52667,-0.074078178626662,0.0739376926726849,0.317078147727511
41,1,55470,-0.0761190616197111,0.0759497755743113,0.316919550898072
42,1,59265,-0.0318040582785884,0.0739860289663895,0.667555600685079
43,1,60165,0.000428495185669505,0.0739494641337159,0.99538001073673
44,1,62308,-0.0612770474375242,0.0737961040205889,0.406898686342725
45,1,62869,-0.0503039826236679,0.0738103172591988,0.495982746528301
46,1,65431,-0.0516563072488703,0.077089208585272,0.503241837204397
