SNP,Chr,Pos,Effect,SE,ERG11_ERV25_MTX_Fluconazole_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.139926297353239,0.156851368658572,0.37294979409424
2,1,1035,0.198074665100521,0.158395499600123,0.211942708291025
3,1,1074,0.030904118222745,0.268264442748471,0.908351938712666
4,1,1470,-0.202785864264564,0.267085415142635,0.448206893486589
5,1,1475,0.138896949683554,0.197159624687578,0.481592293006361
6,1,1491,0.281863952543035,0.171932194518446,0.102022871487863
7,1,21249,-0.884215766667433,0.989687713524197,0.372236130982863
8,1,27243,-0.00758693677211841,0.135165807466378,0.955269530045296
9,1,27272,-0.0146425919254831,0.133134236797061,0.912484825038251
10,1,27498,0.115010081662406,1.21575880028345,0.924686681808464
11,1,27561,-0.673005517066837,0.917782771415587,0.463865217140961
12,1,27816,-0.135678659619133,0.135661075844993,0.317932858152025
13,1,27822,-0.141985653323788,0.13546985777033,0.29531064438348
14,1,27823,-0.203210273210662,0.138052168413542,0.141916761602051
15,1,27825,-0.144900272979586,0.135461114824818,0.285493492591215
16,1,27843,-0.161860536610297,0.129700663913779,0.212874851741077
17,1,27848,-0.161860536610297,0.129700663913779,0.212874851741077
18,1,28495,-0.107949806803796,0.129861523422463,0.406383828832028
19,1,28975,-0.130430232766637,0.128932910329924,0.312415924614528
20,1,29283,0.00366320763556871,0.289363588249353,0.989906576183229
21,1,29752,-0.286670102155343,0.301295847320587,0.342023331368728
22,1,29787,1.00056906788171,0.814579074951769,0.220142745543023
23,1,30057,-0.0113783094390314,0.264678892466397,0.965734522343021
24,1,30479,0.934341372150698,0.773946329123284,0.228146833776325
25,1,30706,-0.0531885988360775,0.133318412200564,0.690164548646155
26,1,31435,-0.158083812137388,0.128502401019652,0.219440943540644
27,1,35128,0.212227369115678,0.177134292329389,0.231675791995805
28,1,35129,-0.0605241663290013,0.177919457513973,0.733925321883355
29,1,36146,-0.131629024969602,0.127921832354462,0.304193534199866
30,1,37255,-0.253289493933476,0.258237006225212,0.327342803745307
31,1,37409,-0.0693199104397707,0.128753374808353,0.590645105252276
32,1,37478,-0.0475359106426865,0.128892124400378,0.712495035357468
33,1,39144,0.0671855998576349,0.128278841173206,0.600783493023871
34,1,41499,0.0319858930280289,0.127961393569102,0.802759679061574
35,1,45359,-0.0913766420111211,0.215390786231719,0.671651734695765
36,1,45634,0.0427872442720805,0.197880207598619,0.828934914511145
37,1,51248,0.0187379623600855,0.128513559457955,0.884158288288466
38,1,51462,0.002223196822407,0.128691645495991,0.986226688029804
39,1,52124,0.0977778251179661,0.128412016711038,0.446903712784987
40,1,52667,0.0569033384841862,0.128275713566858,0.657602268112967
41,1,55470,0.0502963764623411,0.131776165230097,0.7029281038841
42,1,59265,0.0683538706008352,0.128195119094046,0.594229413636771
43,1,60165,0.0769774558330021,0.128084309429484,0.54823200004183
44,1,62308,0.0244740057846603,0.128002255840185,0.848478983090728
45,1,62869,0.0401826129368937,0.127974936607377,0.753715515022321
46,1,65431,0.0993910976312967,0.133571017609134,0.457306914119575
47,1,65451,0.12525304367408,0.131611588401225,0.34190687970333
48,1,65719,0.0621165597668853,0.137382677488575,0.651443970551356
49,1,66841,0.0895583540976164,0.127964378182019,0.484469817366012
50,1,66948,0.0882540457368951,0.128753348566982,0.49350957388775
51,1,68621,0.048272295685159,0.128464287390315,0.707317823829283
52,1,69417,0.0268401883149822,0.128141857880948,0.83421245285266
53,1,69820,-1.01806053290924,0.49851795590305,0.0418769745076031
54,1,69821,0.453474782830387,0.310195286546544,0.144657994917685
55,1,70906,-0.335357245913659,0.20508243340807,0.102891881917252
56,1,74327,-0.0807598842543577,0.128782664005683,0.530997665657334
57,1,74572,-0.053888998242722,0.128479315649865,0.675151813345363
58,1,75211,-0.111391795072591,0.128139979215943,0.38527497011397
59,1,76030,-0.0302449623691392,0.128266961480129,0.813726954570639
60,1,80108,-0.0315919110925161,0.12823570901272,0.805548197936622
61,1,81262,-0.088135151908803,0.128112395792795,0.491934941854828
62,1,81999,-0.118072551272453,0.128357578539835,0.358267777931733
63,1,82431,0.0501820925221773,0.129092038092011,0.697709419582797
64,1,83284,-0.0381364829056351,0.128164009481598,0.766214044599265
