SNP,Chr,Pos,Effect,SE,ERG11_ORM2_noMTX_Fluconazole_avg_logratio_Fitness_minus_ref.GLM
1,1,1025,0.0690459610644083,0.116683621081268,0.554405798699731
2,1,1035,0.117737938136251,0.117852131587599,0.318463972749228
3,1,1074,0.0977202299410763,0.199375330321146,0.624344978669677
4,1,1470,-0.414939839669928,0.197493929750991,0.0363473497155157
5,1,1475,-0.0884696176158781,0.146604412586126,0.546591545916365
6,1,1491,-0.0873836651339505,0.128223189749299,0.496004178520779
7,1,21249,-0.436695847056705,0.736241345928509,0.553465778007629
8,1,27243,-0.0529910649760833,0.10044897805763,0.598148599181925
9,1,27272,-0.0795773913368612,0.0988887936469766,0.42152524588999
10,1,27498,0.398813440981144,0.903609945393903,0.659225688451611
11,1,27561,-0.631745580216136,0.682010597366284,0.354923580268704
12,1,27816,-0.0367042641405037,0.100980218865389,0.716464120223406
13,1,27822,-0.0377382320008839,0.100850747682414,0.708481061943328
14,1,27823,-0.0459640414229508,0.102919396200522,0.655436070606272
15,1,27825,-0.0417798425796585,0.100846233841829,0.678911502219049
16,1,27843,-0.0542849042535985,0.0965943650215555,0.574480636915356
17,1,27848,-0.0542849042535985,0.0965943650215555,0.574480636915356
18,1,28495,-0.0364869809136293,0.0966196171261396,0.705928468589078
19,1,28975,-0.0153117003084455,0.0959896950798994,0.873355157657052
20,1,29283,0.385169465288763,0.214146447634797,0.0729319311775197
21,1,29752,-0.203461993831215,0.224021836427779,0.364379540277028
22,1,29787,0.467995746472103,0.606374815818519,0.440753483603852
23,1,30057,0.310446692511627,0.196079298403181,0.114255150936735
24,1,30479,-0.107764131301062,0.576543284013591,0.851835277547812
25,1,30706,-0.0361048372859488,0.0991184009607827,0.715882196367704
26,1,31435,-0.02926101425121,0.0957261548977458,0.760032909784845
27,1,35128,0.131364006466256,0.131771432889091,0.319491991820646
28,1,35129,0.0405559221791615,0.132277102034543,0.7593299845869
29,1,36146,-0.0222239834719871,0.0952378080452018,0.815622928283396
30,1,37255,0.165264601037888,0.192044677249439,0.390068443239106
31,1,37409,0.0744343584079081,0.095678143813052,0.43711006726995
