SNP,P,locus_id,name,description,Yeast_Gene_stable_ID,Yeast_Gene_name,Human_Gene_stable_ID,Human_Gene_name
10426,3.766e-103,YOR058C,ASE1,"""Mitotic spindle midzone-localized microtubule bundling protein; microtubule-associated protein (MAP) family member; required for spindle elongation and stabilization; undergoes cell cycle-regulated degradation by anaphase promoting complex; potential Cdc28p substrate; relative distribution to microtubules decreases upon DNA replication stress""",YOR058C,ASE1,ENSG00000198901,PRC1
11542,1.0899999999999999e-68,YPL085W,SEC16,"""COPII vesicle coat protein required for ER transport vesicle budding; essential factor in endoplasmic reticulum exit site (ERES) formation ; as well as in COPII-mediated ER-to-Golgi traffic; bound to periphery of ER membranes and may act to stabilize initial COPII complexes; interacts with Sec23p ; Sec24p and Sec31p""",YPL085W,SEC16,ENSG00000148396,SEC16A
11542,1.0899999999999999e-68,YPL085W,SEC16,"""COPII vesicle coat protein required for ER transport vesicle budding; essential factor in endoplasmic reticulum exit site (ERES) formation ; as well as in COPII-mediated ER-to-Golgi traffic; bound to periphery of ER membranes and may act to stabilize initial COPII complexes; interacts with Sec23p ; Sec24p and Sec31p""",YPL085W,SEC16,ENSG00000120341,SEC16B
5780,7.589e-49,YIL048W,NEO1,"""Phospholipid translocase (flippase) ; role in phospholipid asymmetry of plasma membrane; involved in endocytosis ; vacuolar biogenesis and Golgi to ER vesicle-mediated transport; localizes to endosomes and the Golgi apparatus""",YIL048W,NEO1,ENSG00000054793,ATP9A
5780,7.589e-49,YIL048W,NEO1,"""Phospholipid translocase (flippase) ; role in phospholipid asymmetry of plasma membrane; involved in endocytosis ; vacuolar biogenesis and Golgi to ER vesicle-mediated transport; localizes to endosomes and the Golgi apparatus""",YIL048W,NEO1,ENSG00000132932,ATP8A2
5780,7.589e-49,YIL048W,NEO1,"""Phospholipid translocase (flippase) ; role in phospholipid asymmetry of plasma membrane; involved in endocytosis ; vacuolar biogenesis and Golgi to ER vesicle-mediated transport; localizes to endosomes and the Golgi apparatus""",YIL048W,NEO1,ENSG00000068650,ATP11A
5780,7.589e-49,YIL048W,NEO1,"""Phospholipid translocase (flippase) ; role in phospholipid asymmetry of plasma membrane; involved in endocytosis ; vacuolar biogenesis and Golgi to ER vesicle-mediated transport; localizes to endosomes and the Golgi apparatus""",YIL048W,NEO1,ENSG00000081923,ATP8B1
5780,7.589e-49,YIL048W,NEO1,"""Phospholipid translocase (flippase) ; role in phospholipid asymmetry of plasma membrane; involved in endocytosis ; vacuolar biogenesis and Golgi to ER vesicle-mediated transport; localizes to endosomes and the Golgi apparatus""",YIL048W,NEO1,ENSG00000166377,ATP9B
5780,7.589e-49,YIL048W,NEO1,"""Phospholipid translocase (flippase) ; role in phospholipid asymmetry of plasma membrane; involved in endocytosis ; vacuolar biogenesis and Golgi to ER vesicle-mediated transport; localizes to endosomes and the Golgi apparatus""",YIL048W,NEO1,ENSG00000104043,ATP8B4
5780,7.589e-49,YIL048W,NEO1,"""Phospholipid translocase (flippase) ; role in phospholipid asymmetry of plasma membrane; involved in endocytosis ; vacuolar biogenesis and Golgi to ER vesicle-mediated transport; localizes to endosomes and the Golgi apparatus""",YIL048W,NEO1,ENSG00000118322,ATP10B
5780,7.589e-49,YIL048W,NEO1,"""Phospholipid translocase (flippase) ; role in phospholipid asymmetry of plasma membrane; involved in endocytosis ; vacuolar biogenesis and Golgi to ER vesicle-mediated transport; localizes to endosomes and the Golgi apparatus""",YIL048W,NEO1,ENSG00000145246,ATP10D
5780,7.589e-49,YIL048W,NEO1,"""Phospholipid translocase (flippase) ; role in phospholipid asymmetry of plasma membrane; involved in endocytosis ; vacuolar biogenesis and Golgi to ER vesicle-mediated transport; localizes to endosomes and the Golgi apparatus""",YIL048W,NEO1,ENSG00000101974,ATP11C
5780,7.589e-49,YIL048W,NEO1,"""Phospholipid translocase (flippase) ; role in phospholipid asymmetry of plasma membrane; involved in endocytosis ; vacuolar biogenesis and Golgi to ER vesicle-mediated transport; localizes to endosomes and the Golgi apparatus""",YIL048W,NEO1,ENSG00000058063,ATP11B
5780,7.589e-49,YIL048W,NEO1,"""Phospholipid translocase (flippase) ; role in phospholipid asymmetry of plasma membrane; involved in endocytosis ; vacuolar biogenesis and Golgi to ER vesicle-mediated transport; localizes to endosomes and the Golgi apparatus""",YIL048W,NEO1,ENSG00000206190,ATP10A
5780,7.589e-49,YIL048W,NEO1,"""Phospholipid translocase (flippase) ; role in phospholipid asymmetry of plasma membrane; involved in endocytosis ; vacuolar biogenesis and Golgi to ER vesicle-mediated transport; localizes to endosomes and the Golgi apparatus""",YIL048W,NEO1,ENSG00000130270,ATP8B3
5780,7.589e-49,YIL048W,NEO1,"""Phospholipid translocase (flippase) ; role in phospholipid asymmetry of plasma membrane; involved in endocytosis ; vacuolar biogenesis and Golgi to ER vesicle-mediated transport; localizes to endosomes and the Golgi apparatus""",YIL048W,NEO1,ENSG00000124406,ATP8A1
5780,7.589e-49,YIL048W,NEO1,"""Phospholipid translocase (flippase) ; role in phospholipid asymmetry of plasma membrane; involved in endocytosis ; vacuolar biogenesis and Golgi to ER vesicle-mediated transport; localizes to endosomes and the Golgi apparatus""",YIL048W,NEO1,ENSG00000143515,ATP8B2
9450,1.016e-29,YNL197C,WHI3,"""RNA binding protein that modulates mRNA stability; regulates genes involved in the cell cycle ; sister chromatid cohesion ; and the stress response; modulates the stability and translational efficiency of the CLN3 mRNA; colocalizes with P-bodies/stress granules where it may sequester specific mRNAs; regulates cell fate and the critical cell size required for passage through Start; Tpk1p-mediated phosphorylation inhibits Whi3p function ; decreasing its interaction with CLN3 mRNA; regulates ploidy""",YNL197C,WHI3,ENSG00000101489,CELF4
9450,1.016e-29,YNL197C,WHI3,"""RNA binding protein that modulates mRNA stability; regulates genes involved in the cell cycle ; sister chromatid cohesion ; and the stress response; modulates the stability and translational efficiency of the CLN3 mRNA; colocalizes with P-bodies/stress granules where it may sequester specific mRNAs; regulates cell fate and the critical cell size required for passage through Start; Tpk1p-mediated phosphorylation inhibits Whi3p function ; decreasing its interaction with CLN3 mRNA; regulates ploidy""",YNL197C,WHI3,ENSG00000161082,CELF5
9450,1.016e-29,YNL197C,WHI3,"""RNA binding protein that modulates mRNA stability; regulates genes involved in the cell cycle ; sister chromatid cohesion ; and the stress response; modulates the stability and translational efficiency of the CLN3 mRNA; colocalizes with P-bodies/stress granules where it may sequester specific mRNAs; regulates cell fate and the critical cell size required for passage through Start; Tpk1p-mediated phosphorylation inhibits Whi3p function ; decreasing its interaction with CLN3 mRNA; regulates ploidy""",YNL197C,WHI3,ENSG00000140488,CELF6
