locus_id,Gene,Gene Name,Gene Description,p-value_eQTL,p-value_rMVP,-log_pval,FDR,Condition
YCL014W,BUD3,BUD site selection,"Guanine nucleotide exchange factor (GEF) for Cdc42p; activates Cdc42p in early G1, accounting for the first stage of biphasic activation, with Cdc24p accounting for the second stage in late G1; involved in the Cdc42p-mediated assembly of the axial landmark that dictates the site for the next round of budding, resulting in the axial budding pattern in haploids; localizes with septins to the bud neck contractile ring in mitosis",9.496012519677652e-09,9.58821651797803e-09,8.018262167431315,8.93131885798647e-06,SRO9_SGN1_MTX_Metformin
YMR119W,ASI1,Amino acid Sensor-Independent,"Subunit of the inner nuclear membrane Asi ubiquitin ligase complex; the Asi complex targets both misfolded proteins of the inner nuclear membrane-associated degradation (INMAD) pathway and regulators of sterol biosynthesis for ubiquitin-mediated degradation; acts with Asi2p and Asi3p to ensure the fidelity of SPS-sensor signaling by targeting latent unprocessed forms of Stp1p and Stp2p, maintaining the repressed state of gene expression in the absence of inducing amino acids",2.0207467537632e-07,2.12009320155247e-07,6.673645046604161,0.0001621605331183,ERV25_ORM2_MTX_Metformin
YCL024W,KCC4,,"Protein kinase of the bud neck involved in the septin checkpoint; associates with septin proteins, negatively regulates Swe1p by phosphorylation, shows structural homology to bud neck kinases Gin4p and Hsl1p; KCC4 has a paralog, GIN4, that arose from the whole genome duplication",4.73526498806195e-07,4.11130670195353e-07,6.386020123804037,0.0003593512203795,SRO9_SGN1_MTX_Metformin
YOL078W,AVO1,Adheres VOraciously (to TOR2),"Subunit of TORC2, a regulator of plasma membrane (PM) homeostasis; C-terminal PH domain binds to phosphoinositide-(4,5)-bisphosphate (PI(4,5)P2); binds directly to Ypk2p a Tor2p substrate and downstream TORC2 effector through a conserved central CRIM domain; acts with Tsc11p as a scaffold important for the integrity of the TORC2 complex; dispensable for PM localization of TORC2; role in regulating actin organization and growth control; orthologous to human MAPKAP1/SIN1",3.52935172340617e-07,4.33723369991711e-07,6.362787176456266,0.0002729360463352,SRO9_GIS2_MTX_Metformin
YCL016C,DCC1,Defective in sister Chromatid Cohesion,Subunit of a complex with Ctf8p and Ctf18p; shares some components with Replication Factor C; required for sister chromatid cohesion and telomere length maintenance,8.60801956656568e-07,1.14408205212559e-06,5.941542827372103,0.0006276279226374,ERG11_ERG5_MTX_Metformin
YMR109W,MYO5,MYOsin,"One of two type I myosin motors; contains proline-rich tail homology 2 (TH2) and SH3 domains; MYO5 deletion has little effect on growth, but myo3 myo5 double deletion causes severe defects in growth and actin cytoskeleton organization; MYO5 has a paralog, MYO3, that arose from the whole genome duplication",1.9580193696797e-06,2.51744640664342e-06,5.599039766274554,0.0013522981793654,ERV25_ORM2_MTX_Metformin
YMR121C,RPL15B,Ribosomal Protein of the Large subunit,"Ribosomal 60S subunit protein L15B; binds to 5.8 S rRNA; homologous to mammalian ribosomal protein L15, no bacterial homolog; RPL15B has a paralog, RPL15A, that arose from the whole genome duplication; relocalizes from nucleus to nucleolus upon DNA replication stress",5.83044058108924e-06,6.11839254302881e-06,5.213362663048887,0.0036774142184115,ERV25_ORM2_MTX_Metformin
YMR107W,SPG4,Stationary Phase Gene,Protein required for high temperature survival during stationary phase; not required for growth on nonfermentable carbon sources,6.25100018789373e-06,6.71498974192267e-06,5.17295464643976,0.003919188329213,ERV25_ORM2_MTX_Metformin
YGR131W,FHN1,Functional Homolog of Nce102,"Protein of unknown function; induced by ketoconazole; promoter region contains sterol regulatory element motif, which has been identified as a Upc2p-binding site; overexpression complements function of Nce102p in NCE102 deletion strain; FHN1 has a paralog, NCE102, that arose from the whole genome duplication",8.9899861144177e-06,9.11704550399095e-06,5.040145877592316,0.0054738863798581,MID2_TPO2_MTX_Metformin
YMR111C,EUC1,Enriches Ubiquitin on Chromatin,Sequence-specific DNA binding protein; binds to a sequence motif associated with distinct genomic hotspots of non-H2B protein ubiquitylation (ub-hotspots); interacts with Slx5p to recruit the Slx5-Slx8  SUMO-targeted Ub ligase (STUbL) complex to ub-hotspots; deletion prevents ub-hotspot formation and exacerbates heat sensitivity of cells deficient in Rpd3L histone deacetylase complex members; forms nuclear foci upon DNA replication stress,1.49773748698003e-05,1.6049342266119e-05,4.794542761143736,0.008727727995474,ERV25_ORM2_MTX_Metformin
