SNP,P,locus_id,name,description
10426,3.766e-103,YOR058C,ASE1,"""Mitotic spindle midzone-localized microtubule bundling protein; microtubule-associated protein (MAP) family member; required for spindle elongation and stabilization; undergoes cell cycle-regulated degradation by anaphase promoting complex; potential Cdc28p substrate; relative distribution to microtubules decreases upon DNA replication stress"""
11542,1.0899999999999999e-68,YPL085W,SEC16,"""COPII vesicle coat protein required for ER transport vesicle budding; essential factor in endoplasmic reticulum exit site (ERES) formation ; as well as in COPII-mediated ER-to-Golgi traffic; bound to periphery of ER membranes and may act to stabilize initial COPII complexes; interacts with Sec23p ; Sec24p and Sec31p"""
5780,7.589e-49,YIL048W,NEO1,"""Phospholipid translocase (flippase) ; role in phospholipid asymmetry of plasma membrane; involved in endocytosis ; vacuolar biogenesis and Golgi to ER vesicle-mediated transport; localizes to endosomes and the Golgi apparatus"""
9450,1.016e-29,YNL197C,WHI3,"""RNA binding protein that modulates mRNA stability; regulates genes involved in the cell cycle ; sister chromatid cohesion ; and the stress response; modulates the stability and translational efficiency of the CLN3 mRNA; colocalizes with P-bodies/stress granules where it may sequester specific mRNAs; regulates cell fate and the critical cell size required for passage through Start; Tpk1p-mediated phosphorylation inhibits Whi3p function ; decreasing its interaction with CLN3 mRNA; regulates ploidy"""
10194,2.282e-25,YOL081W,IRA2,"""GTPase-activating protein; negatively regulates RAS by converting it from the GTP- to the GDP-bound inactive form ; required for reducing cAMP levels under nutrient limiting conditions; IRA2 has a paralog ; IRA1 ; that arose from the whole genome duplication; defects in human homolog NF1 are associated with neurofibromatosis"""
9101,4.633e-25,YMR243C,ZRC1,"""Vacuolar membrane zinc transporter; transports zinc from cytosol to vacuole for storage; also has role in resistance to zinc shock resulting from sudden influx of zinc into cytoplasm; human ortholog SLC30A10 functions as a Mn transporter and mutations in SLC30A10 cause neurotoxic accumulation of Mn in liver and brain; ZRC1 has a paralog ; COT1 ; that arose from the whole genome duplication"""
4600,1.517e-23,YGR170W,PSD2,"""Phosphatidylserine decarboxylase of the Golgi and vacuolar membranes; converts phosphatidylserine to phosphatidylethanolamine; controls vacuolar membrane phospholipid content by regulating phospholipids in compartments that will eventually give rise to the vacuole; loss of Psd2p causes a specific reduction in vacuolar membrane PE levels while total PE levels are not significantly affected"""
6130,3.6929999999999996e-23,YJL093C,TOK1,"""Outward-rectifier potassium channel of the plasma membrane; has two pore domains in tandem ; each of which forms a functional channel permeable to potassium; carboxy tail functions to prevent inner gate closures; target of K1 toxin"""
9270,1.1e-22,YNL329C,PEX6,"""AAA-peroxin; heterodimerizes with AAA-peroxin Pex1p and participates in the recycling of peroxisomal signal receptor Pex5p from the peroxisomal membrane to the cystosol; mutations in human PEX6 can lead to severe peroxisomal disorders and early death"""
5153,7.725e-21,YHR094C,HXT1,"""Low-affinity glucose transporter of the major facilitator superfamily; expression is induced by Hxk2p in the presence of glucose and repressed by Rgt1p when glucose is limiting; HXT1 has a paralog ; HXT6 ; what arose from the whole genome duplication"""
2425,3.465e-18,YDR343C,HXT6,"""High-affinity glucose transporter; member of the major facilitator superfamily ; nearly identical to Hxt7p ; expressed at high basal levels relative to other HXTs ; repression of expression by high glucose requires SNF3; HXT6 has a paralog ; HXT1 ; that arose from the whole genome duplication"""
6996,4.22e-18,YKL127W,PGM1,"""Phosphoglucomutase ; minor isoform; catalyzes the conversion from glucose-1-phosphate to glucose-6-phosphate ; which is a key step in hexose metabolism; PGM1 has a paralog ; PGM2 ; that arose from the whole genome duplication"""
8788,4.69e-18,YMR105C,PGM2,"""Phosphoglucomutase; catalyzes the conversion from glucose-1-phosphate to glucose-6-phosphate ; which is a key step in hexose metabolism; functions as the acceptor for a Glc-phosphotransferase; protein abundance increases in response to DNA replication stress; PGM2 has a paralog ; PGM1 ; that arose from the whole genome duplication"""
2417,3.06e-17,YDR342C,HXT7,"""High-affinity glucose transporter; member of the major facilitator superfamily ; nearly identical to Hxt6p ; expressed at high basal levels relative to other HXTs ; expression repressed by high glucose levels; HXT7 has a paralog ; HXT4 ; that arose from the whole genome duplication"""
9994,5.448e-17,YNR072W,HXT17,"""Putative transmembrane polyol transporter; supports growth on and uptake of mannitol and sorbitol with moderate affinity when overexpressed in a strain deleted for hexose family members; minor hexose transport activity when overexpressed in a similar strain; induced by raffinose and galactose at pH 7.7 versus pH 4.7 ; repressed by high levels of glucose; HXT17 has a paralog ; HXT13 ; that arose from a segmental duplication"""
11366,5.558e-15,YPL176C,TRE1,"""Transferrin receptor-like protein; plasma membrane protein that binds Bsd2p and regulates ubiquitination and vacuolar degradation of the metal transporter Smf1p; functionally redundant with Tre2p; TRE1 has a paralog ; TRE2 ; that arose from the whole genome duplication"""
8306,8.057e-15,YLR422W,DCK1,"""Dock family protein (Dedicator Of CytoKinesis) ; homolog of human DOCK1; upstream component for regulation through the small GTPase Rho5p; may form a complex with Lmo1p that acts as a GEF for Rho5p; interacts with Ino4p; cytoplasmic protein that relocates to mitochondria under oxidative stress; implicated in mitophagy; not an essential protein; DOCK proteins act as guanine nucleotide exchange factors"""
772,3.766e-13,YBR241C,VVS1,"""Putative transporter ; member of the sugar porter family; localizes to the vacuolar membrane; non-essential gene; upregulated by and required for tolerance to 4-Methylcyclohexane methanol; YBR241C has a paralog ; VPS73 ; that arose from the whole genome duplication"""
5986,3.647e-12,YJL214W,HXT8,"""Protein of unknown function with similarity to hexose transporters; expression is induced by low levels of glucose and repressed by high levels of glucose"""
461,4.223e-12,YBR041W,FAT1,"""Very long chain fatty acyl-CoA synthetase and fatty acid transporter; activates imported fatty acids with a preference for very long lengths (C20-C26); has a separate function in the transport of long chain fatty acids"""
1473,7.831e-12,YDL141W,BPL1,"""Biotin:apoprotein ligase; covalently modifies proteins with the addition of biotin ; required for acetyl-CoA carboxylase (Acc1p) holoenzyme formation; comparative analysis suggests that a mitochondrially targeted form may result from translation starting at a non-canonical codon upstream of the annotated start codon; human homolog HLCS can complement yeast BPL1 mutant"""
10129,1.349e-11,YOL100W,PKH2,"""Serine/threonine protein kinase; involved in sphingolipid-mediated signaling pathway that controls endocytosis; activates Ypk1p and Ykr2p ; components of signaling cascade required for maintenance of cell wall integrity; contains a PH-like domain; redundant with Pkh1p; PKH2 has a paralog ; PKH1 ; that arose from the whole genome duplication"""
5148,1.774e-11,YHR090C,YNG2,"""Subunit of NuA4 ; an essential histone acetyltransferase complex; positions Piccolo NuA4 for efficient acetylation of histone H4 or histone H2A; relocalizes to the cytosol in response to hypoxia; similar to human tumor suppressor ING1 and its isoforms ING4 and ING5"""
4196,2.425e-11,YGL055W,OLE1,"""Delta(9) fatty acid desaturase; required for monounsaturated fatty acid synthesis and for normal distribution of mitochondria"""
8695,3.997e-10,YMR049C,ERB1,"""Constituent of 66S pre-ribosomal particles; forms a complex with Nop7p and Ytm1p that is required for maturation of the large ribosomal subunit; required for maturation of the 25S and 5.8S ribosomal RNAs; binds RNA via its C-terminal domain; homologous to mammalian Bop1"""
3305,4.437e-10,YER171W,RAD3,"""5' to 3' DNA helicase; involved in nucleotide excision repair and transcription; subunit of RNA polII initiation factor TFIIH and of Nucleotide Excision Repair Factor 3 (NEF3); homolog of human XPD protein; mutant has aneuploidy tolerance; protein abundance increases in response to DNA replication stress"""
10885,1.607e-09,YOR316C,COT1,"""Vacuolar transporter that mediates zinc transport into the vacuole; overexpression confers resistance to cobalt and rhodium; protein abundance increases in response to DNA replication stress; COT1 has a paralog ; ZRC1 ; that arose from the whole genome duplication"""
886,2.195e-09,YBR298C,MAL31,"""Maltose permease; high-affinity maltose transporter (alpha-glucoside transporter); encoded in the MAL3 complex locus; member of the 12 transmembrane domain superfamily of sugar transporters; functional in genomic reference strain S288C"""
295,2.571e-09,YBL047C,EDE1,"""Scaffold protein involved in the formation of early endocytic sites; putative regulator of cytokinesis; homo-oligomerization is required for localization to and organization of endocytic sites; has a network of interactions with other endocytic proteins; binds membranes in a ubiquitin-dependent manner; may also bind ubiquitinated membrane-associated proteins; interacts with Cmk2 and functions upstream of CMK2 in regulating non-apoptotic cell death; homolog of mammalian Eps15"""
6105,3.686e-09,YJL110C,GZF3,"""GATA zinc finger protein; negatively regulates nitrogen catabolic gene expression by competing with Gat1p for GATA site binding; function requires a repressive carbon source; dimerizes with Dal80p and binds to Tor1p; GZF3 has a paralog ; DAL80 ; that arose from the whole genome duplication"""
4079,4.519e-09,YGL130W,CEG1,"""Guanylyltransferase involved in mRNA 5' capping; subunit of mRNA capping enzyme ; which is a heterotetramer composed of two molecules of Ceg1p and a homodimer of Cet1p ; the mRNA 5'-triphosphatase subunit; nuclear import of Ceg1p requires interaction with Cet1p; mammalian capping enzyme is a single bifunctional polypeptide; human homolog RNGTT can complement yeast ceg1 null mutant"""
1485,4.621e-09,YDL138W,RGT2,"""Plasma membrane high glucose sensor that regulates glucose transport; low affinity sesnor that contains 12 predicted transmembrane segments and a long C-terminal tail required for hexose transporter induction; phosphorylation of the tail by Yck1p/Yck2p facilitates binding to the HXT co-repressors ; Mth1p and Std1p; RGT2 has a paralog ; SNF3 ; that arose from the whole genome duplication"""
10370,1.636e-08,YOR014W,RTS1,"""B-type regulatory subunit of protein phosphatase 2A (PP2A); Rts1p and Cdc55p are alternative regulatory subunits for PP2A catalytic subunits ; Pph21p and Pph22p; PP2A-Rts1p protects cohesin when recruited by Sgo1p to the pericentromere; highly enriched at centromeres in the absence of Cdc55p; required for maintenance of septin ring organization during cytokinesis ; for ring disassembly in G1 and for dephosphorylation of septin ; Shs1p; homolog of the mammalian B' subunit of PP2A"""
5172,2.451e-08,YHR108W,GGA2,"""Protein that regulates Arf1p ; Arf2p to facilitate Golgi trafficking; binds phosphatidylinositol 4-phosphate ; which plays a role in TGN localization; has homology to gamma-adaptin; GGA2 has a paralog ; GGA1 ; that arose from the whole genome duplication"""
6326,1.102e-07,YJR031C,GEA1,"""Guanine nucleotide exchange factor for ADP ribosylation factors (ARFs); involved in vesicular transport between the Golgi and ER ; Golgi organization ; and actin cytoskeleton organization; GEA1 has a paralog ; GEA2 ; that arose from the whole genome duplication"""
