SNP,Chromosome,Position,p-value_rMVP,-log_pval,Condition,Gene
9101,13,755881,0.0007109497025268,3.14816112316298,SNA4_GTR2_MTX_Metformin,ZRC1
4532,7,753356,4.71300736200702E-05,4.32670188184517,MID2_TPO2_MTX_Metformin,YGR130C
5783,9,266879,0.0002250929731067,3.64763806247891,ALO1_ADE17_MTX_Metformin,SYG1
11392,16,242191,0.0008755791940608,3.05770456689847,ADE17_PGM2_MTX_Metformin,SVS1
572,2,453525,0.0006333311388835,3.19836915856542,GTR1_SLM4_MTX_Metformin,SND3
10077,15,63056,0.0009862370480821,3.00601868718775,ERG11_ERV25_MTX_Metformin,RTC1
9436,14,241034,0.0003304063791349,3.48095157637483,HNM1_RBD2_MTX_Metformin,PPN2
4422,7,639021,0.0004004154250435,3.39748920071759,ERG11_MID2_MTX_Metformin,PEX8
4535,7,757758,1.89566387101667E-05,4.72223866694732,MID2_TPO2_MTX_Metformin,PEX4
675,2,573554,0.0003816160522565,3.41837336546743,SRO9_GIS2_MTX_Metformin,PEX32
10699,15,711322,0.0006831914079967,3.16545760409172,MID2_PIN2_MTX_Metformin,PEX27
5780,9,264604,0.0001511234396179,3.82066817029219,ALO1_ADE17_MTX_Metformin,NEO1
10225,15,214295,0.0008556535170839,3.06770206018353,ERG11_HYR1_MTX_Metformin,MAM3
7292,11,532258,0.0005802046464596,3.23641879755389,SSH1_ERV25_MTX_Metformin,HFL1
10744,15,763531,0.0006207860532737,3.20705804860282,MID2_TPO2_MTX_Metformin,HER1
7454,12,37552,0.0005606104915855,3.25133877886426,GTR1_SLM4_MTX_Metformin,FRE6
8827,13,517233,0.0008852703623335,3.05292407513481,ERV25_ORM2_MTX_Metformin,EPO1
10885,15,907053,0.0006342332573768,3.19775098855218,ERG11_ERV25_MTX_Metformin,COT1
2320,4,1006085,0.0007786446240346,3.1086607105374,HNM1_MAM33_MTX_Metformin,CCC2
5668,9,198256,0.0009127611044825,3.03964287479989,ERG11_ORM2_MTX_Metformin,AVT7
10224,15,211986,0.0007143305005391,3.1461008059401,ERG11_HYR1_MTX_Metformin,APM4
