Chromosome_Name,strand,feature_type,gene_class,husinga_classification,systematic_id,common_name,Experiment_ID,Experiment_Start,Experiment_End,Experiment_Length
CHR4,+,01_RP,01_RP,RP,YDR382W,RPP2B,ST0707,1239404.0,1239981.0,577.0
CHR4,+,01_RP,01_RP,RP,YDR418W,RPL12B,ST0730,1301564.0,1302229.0,665.0
CHR8,+,01_RP,01_RP,RP,YHL015W,RPS20,ST1402,75372.0,76069.0,697.0
CHR12,+,01_RP,01_RP,RP,YLR167W,RPS31,ST2253,498862.0,499559.0,697.0
CHR10,+,01_RP,01_RP,RP,YJL189W,RPL39,ST1711,75897.0,76610.0,713.0
CHR7,+,01_RP,01_RP,RP,YGL030W,RPL30,ST1184,438997.0,439718.0,721.0
CHR15,+,01_RP,01_RP,RP,YOL039W,RPP2A,ST3052,254098.0,254867.0,769.0
CHR16,+,01_RP,01_RP,RP,YPL220W,RPL1A,ST3363,135753.0,136546.0,793.0
CHR10,+,01_RP,01_RP,RP,YJR094W-A,RPL43B,ST1870,608195.0,608996.0,801.0
CHR12,+,01_RP,01_RP,RP,YLR185W,RPL37A,ST2262,522590.0,523399.0,809.0
CHR4,+,01_RP,01_RP,RP,YDL130W,RPP1B,ST0417,229808.0,230625.0,817.0
CHR11,+,01_RP,01_RP,RP,YKL156W,RPS27A,ST1954,158565.0,159383.0,818.0
CHR4,+,01_RP,01_RP,RP,YDL075W,RPL31A,ST0446,322192.0,323041.0,849.0
CHR12,+,01_RP,01_RP,RP,YLR075W,RPL10,ST2195,282879.0,283728.0,849.0
CHR5,+,01_RP,01_RP,RP,YER131W,RPS26B,ST0937,423516.0,424381.0,865.0
CHR13,+,01_RP,01_RP,RP,YMR230W,RPS10B,ST2659,732369.0,733234.0,865.0
CHR7,+,01_RP,01_RP,RP,YGL135W,RPL1B,ST1113,254533.0,255406.0,873.0
CHR14,+,01_RP,01_RP,RP,YNL178W,RPS3,ST2800,302648.0,303529.0,881.0
CHR10,+,01_RP,01_RP,RP,YJR123W,RPS5,ST1891,651853.0,652742.0,889.0
CHR16,+,01_RP,01_RP,RP,YPR043W,RPL43A,ST3534,654101.0,654990.0,889.0
CHR11,+,01_RP,01_RP,RP,YKR057W,RPS21A,ST2086,551609.0,552506.0,897.0
CHR13,+,01_RP,01_RP,RP,YMR194W,RPL36A,ST2632,651113.0,652010.0,897.0
CHR14,+,01_RP,01_RP,RP,YNL067W,RPL9B,ST2870,499633.0,500554.0,921.0
CHR12,+,01_RP,01_RP,RP,YLR061W,RPL22A,ST2185,263135.0,264064.0,929.0
CHR12,+,01_RP,01_RP,RP,YLR367W,RPS22B,ST2361,856439.0,857368.0,929.0
CHR13,+,01_RP,01_RP,RP,YML063W,RPS1B,ST2462,146432.0,147361.0,929.0
CHR2,+,01_RP,01_RP,RP,YBL092W,RPL32,ST0053,45547.0,46484.0,937.0
CHR12,+,01_RP,01_RP,RP,YLR388W,RPS29A,ST2372,897982.0,898919.0,937.0
CHR4,+,01_RP,01_RP,RP,YDR025W,RPS11A,imputed,491445.0,492394.0,949.0
CHR15,+,01_RP,01_RP,RP,YOL127W,RPL25,ST2996,80321.0,81274.0,953.0
CHR15,+,01_RP,01_RP,RP,YOR293W,RPS10A,ST3261,867043.0,867996.0,953.0
CHR14,+,01_RP,01_RP,RP,YNL162W,RPL42A,ST2805,331288.0,332249.0,961.0
