Chromosome_Name,strand,feature_type,gene_class,husinga_classification,systematic_id,common_name,NFR/NDR_Start,NFR/NDR_End,NFR/NDR_Length,nucleosome_stability,TATA_type
CHR4,+,01_RP,01_RP_NFR/NDR,RP,YDR382W_NFR/NDR,RPP2B,1238654.0,1239404.0,750.0,fragile,TATA_like
CHR4,+,01_RP,01_RP_NFR/NDR,RP,YDR418W_NFR/NDR,RPL12B,1301255.0,1301670.0,415.0,fragile,TATA_like
CHR8,+,01_RP,01_RP_NFR/NDR,RP,YHL015W_NFR/NDR,RPS20,74997.0,75429.0,432.0,fragile,TATA_like
CHR12,+,01_RP,01_RP_NFR/NDR,RP,YLR167W_NFR/NDR,RPS31,498112.0,498862.0,750.0,fragile,TATA_like
CHR10,+,01_RP,01_RP_NFR/NDR,RP,YJL189W_NFR/NDR,RPL39,75147.0,75897.0,750.0,fragile,TATA_like
CHR7,+,01_RP,01_RP_NFR/NDR,RP,YGL030W_NFR/NDR,RPL30,438320.0,439070.0,750.0,fragile,TATA_like
CHR15,+,01_RP,01_RP_NFR/NDR,RP,YOL039W_NFR/NDR,RPP2A,253348.0,254098.0,750.0,fragile,TATA_like
CHR16,+,01_RP,01_RP_NFR/NDR,RP,YPL220W_NFR/NDR,RPL1A,135456.0,135816.0,360.0,stable,TATA_like
CHR10,+,01_RP,01_RP_NFR/NDR,RP,YJR094W-A_NFR/NDR,RPL43B,607907.0,608317.0,410.0,fragile,TATA_like
CHR12,+,01_RP,01_RP_NFR/NDR,RP,YLR185W_NFR/NDR,RPL37A,522407.0,522711.0,304.0,fragile,TATA_like
CHR4,+,01_RP,01_RP_NFR/NDR,RP,YDL130W_NFR/NDR,RPP1B,229058.0,229808.0,750.0,stable,TATA_like
CHR11,+,01_RP,01_RP_NFR/NDR,RP,YKL156W_NFR/NDR,RPS27A,158265.0,158636.0,371.0,fragile,TATA_like
CHR4,+,01_RP,01_RP_NFR/NDR,RP,YDL075W_NFR/NDR,RPL31A,321958.0,322248.0,290.0,fragile,TATA_like
