seq_id,source,type,start,end,score,strand,phase,attributes,locus_id
chrI,Xu_2009_CUTs,transcript,10732,11140,.,-,.,ID=ST3636;Name=CUT436;end_confidence=bothEndsMapped;source=Automatic;shares_5NFR_in_divergent_configuration_with=NA;shares_5NFR_in_tandem_with=NA;initiates_from_3NFR_of_and_opposite_strand_to=NA;initiates_from_3NFR_of_and_same_strand_to=NA,CUT436
chrI,Xu_2009_CUTs,transcript,30072,30904,.,+,.,ID=ST0002;Name=CUT001;end_confidence=bothEndsMapped;source=Automatic;shares_5NFR_in_divergent_configuration_with=NA;shares_5NFR_in_tandem_with=NA;initiates_from_3NFR_of_and_opposite_strand_to=NA;initiates_from_3NFR_of_and_same_strand_to=NA,CUT001
chrI,Xu_2009_CUTs,transcript,30532,30892,.,-,.,ID=ST3638;Name=CUT437;end_confidence=bothEndsMapped;source=Automatic;shares_5NFR_in_divergent_configuration_with=NA;shares_5NFR_in_tandem_with=NA;initiates_from_3NFR_of_and_opposite_strand_to=NA;initiates_from_3NFR_of_and_same_strand_to=NA,CUT437
chrI,Xu_2009_CUTs,transcript,34380,34748,.,-,.,ID=ST3641;Name=CUT438;end_confidence=mapped5;source=Automatic;shares_5NFR_in_divergent_configuration_with=NA;shares_5NFR_in_tandem_with=NA;initiates_from_3NFR_of_and_opposite_strand_to=NA;initiates_from_3NFR_of_and_same_strand_to=NA,CUT438
chrI,Xu_2009_CUTs,transcript,35796,36348,.,-,.,ID=ST3642;Name=CUT439;end_confidence=bothEndsMapped;source=Automatic;shares_5NFR_in_divergent_configuration_with=ST0006;shares_5NFR_in_tandem_with=NA;initiates_from_3NFR_of_and_opposite_strand_to=ST0005;initiates_from_3NFR_of_and_same_strand_to=NA,CUT439
chrI,Xu_2009_CUTs,transcript,67850,67962,.,-,.,ID=ST3652;Name=CUT440;end_confidence=mapped5;source=Automatic;shares_5NFR_in_divergent_configuration_with=NA;shares_5NFR_in_tandem_with=ST3651;initiates_from_3NFR_of_and_opposite_strand_to=NA;initiates_from_3NFR_of_and_same_strand_to=NA,CUT440
chrI,Xu_2009_CUTs,transcript,138605,138829,.,+,.,ID=ST0033;Name=CUT002;end_confidence=bothEndsMapped;source=Automatic;shares_5NFR_in_divergent_configuration_with=ST3669;shares_5NFR_in_tandem_with=NA;initiates_from_3NFR_of_and_opposite_strand_to=NA;initiates_from_3NFR_of_and_same_strand_to=NA,CUT002
chrI,Xu_2009_CUTs,transcript,143437,143597,.,+,.,ID=ST0035;Name=CUT003;end_confidence=mappedNone;source=Automatic;shares_5NFR_in_divergent_configuration_with=NA;shares_5NFR_in_tandem_with=NA;initiates_from_3NFR_of_and_opposite_strand_to=NA;initiates_from_3NFR_of_and_same_strand_to=NA,CUT003
chrI,Xu_2009_CUTs,transcript,151617,152033,.,-,.,ID=ST3672;Name=CUT441;end_confidence=bothEndsMapped;source=Automatic;shares_5NFR_in_divergent_configuration_with=ST0037;shares_5NFR_in_tandem_with=NA;initiates_from_3NFR_of_and_opposite_strand_to=NA;initiates_from_3NFR_of_and_same_strand_to=NA,CUT441
chrI,Xu_2009_CUTs,transcript,170500,172449,.,+,.,ID=ST0041;Name=CUT004;end_confidence=bothEndsMapped;source=Automatic;shares_5NFR_in_divergent_configuration_with=NA;shares_5NFR_in_tandem_with=NA;initiates_from_3NFR_of_and_opposite_strand_to=NA;initiates_from_3NFR_of_and_same_strand_to=NA,CUT004
