seq_id,source,type,start,end,score,strand,phase,attributes,locus_id
chrIV,rossi_2021_promoters,promoter,1238654.0,1239404.0,1,+,.,Name=RPP2B;Desc=fragile,YDR382W_NFR/NDR
chrIV,rossi_2021_promoters,promoter,1301255.0,1301670.0,1,+,.,Name=RPL12B;Desc=fragile,YDR418W_NFR/NDR
chrVIII,rossi_2021_promoters,promoter,74997.0,75429.0,1,+,.,Name=RPS20;Desc=fragile,YHL015W_NFR/NDR
chrXII,rossi_2021_promoters,promoter,498112.0,498862.0,1,+,.,Name=RPS31;Desc=fragile,YLR167W_NFR/NDR
chrX,rossi_2021_promoters,promoter,75147.0,75897.0,1,+,.,Name=RPL39;Desc=fragile,YJL189W_NFR/NDR
chrVII,rossi_2021_promoters,promoter,438320.0,439070.0,1,+,.,Name=RPL30;Desc=fragile,YGL030W_NFR/NDR
chrXV,rossi_2021_promoters,promoter,253348.0,254098.0,1,+,.,Name=RPP2A;Desc=fragile,YOL039W_NFR/NDR
chrXVI,rossi_2021_promoters,promoter,135456.0,135816.0,1,+,.,Name=RPL1A;Desc=stable,YPL220W_NFR/NDR
chrX,rossi_2021_promoters,promoter,607907.0,608317.0,1,+,.,Name=RPL43B;Desc=fragile,YJR094W-A_NFR/NDR
chrXII,rossi_2021_promoters,promoter,522407.0,522711.0,1,+,.,Name=RPL37A;Desc=fragile,YLR185W_NFR/NDR
chrIV,rossi_2021_promoters,promoter,229058.0,229808.0,1,+,.,Name=RPP1B;Desc=stable,YDL130W_NFR/NDR
chrXI,rossi_2021_promoters,promoter,158265.0,158636.0,1,+,.,Name=RPS27A;Desc=fragile,YKL156W_NFR/NDR
chrIV,rossi_2021_promoters,promoter,321958.0,322248.0,1,+,.,Name=RPL31A;Desc=fragile,YDL075W_NFR/NDR
chrXII,rossi_2021_promoters,promoter,282457.0,282974.0,1,+,.,Name=RPL10;Desc=fragile,YLR075W_NFR/NDR
chrV,rossi_2021_promoters,promoter,423106.0,423584.0,1,+,.,Name=RPS26B;Desc=fragile,YER131W_NFR/NDR
chrXIII,rossi_2021_promoters,promoter,732036.0,732433.0,1,+,.,Name=RPS10B;Desc=fragile,YMR230W_NFR/NDR
chrVII,rossi_2021_promoters,promoter,254234.0,254618.0,1,+,.,Name=RPL1B;Desc=fragile,YGL135W_NFR/NDR
chrXIV,rossi_2021_promoters,promoter,301898.0,302648.0,1,+,.,Name=RPS3;Desc=fragile,YNL178W_NFR/NDR
chrX,rossi_2021_promoters,promoter,651182.0,651932.0,1,+,.,Name=RPS5;Desc=fragile,YJR123W_NFR/NDR
chrXVI,rossi_2021_promoters,promoter,653757.0,654190.0,1,+,.,Name=RPL43A;Desc=fragile,YPR043W_NFR/NDR
chrXI,rossi_2021_promoters,promoter,551297.0,551684.0,1,+,.,Name=RPS21A;Desc=fragile,YKR057W_NFR/NDR
chrXIII,rossi_2021_promoters,promoter,650857.0,651190.0,1,+,.,Name=RPL36A;Desc=stable,YMR194W_NFR/NDR
chrXIV,rossi_2021_promoters,promoter,499347.0,499718.0,1,+,.,Name=RPL9B;Desc=fragile,YNL067W_NFR/NDR
chrXII,rossi_2021_promoters,promoter,262656.0,263223.0,1,+,.,Name=RPL22A;Desc=fragile,YLR061W_NFR/NDR
chrXII,rossi_2021_promoters,promoter,855554.0,856491.0,1,+,.,Name=RPS22B;Desc=fragile,YLR367W_NFR/NDR
chrXIII,rossi_2021_promoters,promoter,145892.0,146501.0,1,+,.,Name=RPS1B;Desc=fragile,YML063W_NFR/NDR
chrII,rossi_2021_promoters,promoter,44989.0,45666.0,1,+,.,Name=RPL32;Desc=fragile,YBL092W_NFR/NDR
chrXII,rossi_2021_promoters,promoter,897232.0,897982.0,1,+,.,Name=RPS29A;Desc=fragile,YLR388W_NFR/NDR
chrIV,rossi_2021_promoters,promoter,490981.0,491530.0,1,+,.,Name=RPS11A;Desc=fragile,YDR025W_NFR/NDR
chrXV,rossi_2021_promoters,promoter,79599.0,80366.0,1,+,.,Name=RPL25;Desc=fragile,YOL127W_NFR/NDR
chrXV,rossi_2021_promoters,promoter,866558.0,867118.0,1,+,.,Name=RPS10A;Desc=fragile,YOR293W_NFR/NDR
chrXIV,rossi_2021_promoters,promoter,330817.0,331327.0,1,+,.,Name=RPL42A;Desc=fragile,YNL162W_NFR/NDR
chrIV,rossi_2021_promoters,promoter,216851.0,217601.0,1,+,.,Name=RPL35B;Desc=fragile,YDL136W_NFR/NDR
chrXIII,rossi_2021_promoters,promoter,225346.0,225906.0,1,+,.,Name=RPS17A;Desc=fragile,YML024W_NFR/NDR
chrIV,rossi_2021_promoters,promoter,1401241.0,1401817.0,1,+,.,Name=RPL27B;Desc=fragile,YDR471W_NFR/NDR
chrVII,rossi_2021_promoters,promoter,276734.0,277484.0,1,+,.,Name=RPS2;Desc=fragile,YGL123W_NFR/NDR
chrX,rossi_2021_promoters,promoter,73392.0,73814.0,1,+,.,Name=RPS14B;Desc=fragile,YJL191W_NFR/NDR
chrVIII,rossi_2021_promoters,promoter,103893.0,104323.0,1,+,.,Name=RPL14B;Desc=fragile,YHL001W_NFR/NDR
