PPI,DRUG,SNP,Chr,Pos,p-value_eQTL,p-value_rMVP,FDR,-log_pval,name,sgd_id,locus_id,snps_class_up,snps_class_down,description
ERV25:ORM2,Trifluoperazine,4725,7,945074,7.08080538868731e-05,6.73986241532916e-05,0.0341056054757971,4.171348968876137,,,YGR225W_NFR/NDR,Promoter,Promoter,
ERG11:ORM2,Trifluoperazine,8800,13,495523,7.12414744959981e-05,7.35159465999976e-05,0.0342635777602389,4.133618446368725,FOL3,SGDID:S000004719,YMR113W,ORF,Verified ORF,"""Dihydrofolate synthetase ; involved in folic acid biosynthesis; catalyzes conversion of dihydropteroate to dihydrofolate in folate coenzyme biosynthesis; FOL3 has a paralog ; RMA1 ; that arose from the whole genome duplication"""
ERG11:ERV25,Trifluoperazine,4816,7,1045046,0.0001058771128138,0.0001106675747576,0.0476381989808502,3.955979607365656,RNH70,SGDID:S000003508,YGR276C,ORF,Verified ORF,"""3'-5' exoribonuclease; required for maturation of 3' ends of 5S rRNA and tRNA-Arg3 from dicistronic transcripts"""
ADE17:PGM2,Trifluoperazine,10865,15,887134,0.0001103183601918,0.0001154367295106,0.0492098638251709,3.937655985930672,ISW2,SGDID:S000005831,YOR304W,ORF,Verified ORF,"""ATP-dependent DNA translocase involved in chromatin remodeling; ATPase component that ; with Itc1p ; forms a complex required for repression of a-specific genes ; INO1 ; and early meiotic genes during mitotic growth; exhibits basal levels of chromatin binding throughout the genome as well as interacts with sequence-specific factors to accurately position nucleosomes in chromatin; targeted by Ume6p- and Sua7p-dependent DNA looping to many loci genome-wide"""
ERG11:ORM2,Trifluoperazine,8797,13,491360,0.0001180443323315,0.0001224599787606,0.051933946947259,3.912005820224106,HFD1,SGDID:S000004716,YMR110C,ORF,Verified ORF,"""Dehydrogenase involved in ubiquinone and sphingolipid metabolism; converts 4-hydroxybenzaldehyde into 4-hydroxybenzoate for ubiquinone anabolism ; hexadecenal to hexadecenoic acid in sphingosine 1-phosphate catabolism; human homolog ALDH3A2 ; mutated in Sjogren-Larsson syndrome ; can rescue yeast hfd1 mutant; human ALDH3A1 ; but not ALDH3A2 ; rescues pABA- respiratory growth phenotype of hfd1 null; data suggest that dual functions of Hfd1p have diverged in human ALDH3A1 ; ALDH3A2"""
ADE17:PGM2,Trifluoperazine,10853,15,867290,0.0001226157621284,0.0001273623453256,0.0535949494649476,3.8949589521771655,YOR292C,SGDID:S000005818,YOR292C,Close to 3'-UTR,Close to 3'-UTR,"""Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the vacuole; YOR292C is not an essential gene"""
ERG11:ORM2,Trifluoperazine,8805,13,501075,0.0001410693017116,0.0001465573074739,0.0599260276789714,3.8339925223878044,,,YMR116C_NFR/NDR,Promoter,Promoter,fragile
ERV25:ORM2,Trifluoperazine,4720,7,942440,0.000144680437233,0.0001534492119885,0.0611610585470142,3.8140353374695315,,,YGR223C_NFR/NDR,Promoter,Promoter,stable
ADE17:PGM2,Trifluoperazine,10855,15,870871,0.0001613696187876,0.000169640492235,0.0666685659947412,3.7704704760458925,YOR296W,SGDID:S000005822,YOR296W,ORF,Uncharacterized ORF,"""Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; expressed during copper starvation; YOR296W is not an essential gene"""
HNM1:MAM33,Trifluoperazine,2314,4,980779,0.0001810223831705,0.0001885531782799,0.0729111916021075,3.7245661426654726,YDR261W-A,SGDID:S000007396,YDR261W-A,Close to 3'-UTR,Close to 3'-UTR,"""Retrotransposon TYA Gag gene co-transcribed with TYB Pol; translated as TYA or TYA-TYB polyprotein; Gag is a nucleocapsid protein that is the structural constituent of virus-like particles (VLPs); similar to retroviral Gag"""
HNM1:MAM33,Trifluoperazine,2315,4,980835,0.0001811764911521,0.0001884997127144,0.0729693297637412,3.724689307350209,,,YDRWdelta19_NFR/NDR,Promoter,Promoter,
ERG11:ORM2,Trifluoperazine,8804,13,500701,0.0001822332298624,0.0001866843091364,0.0733040744234128,3.728892183078496,,,CUT300_NFR/NDR,Promoter,Promoter,
ERV25:ORM2,Trifluoperazine,4718,7,942359,0.0001946839394619,0.0002062970100692,0.0772751044586876,3.6855070663548055,,,YGR223C_NFR/NDR,Promoter,Promoter,stable
ERV25:ORM2,Trifluoperazine,4722,7,943294,0.0002029527495126,0.0002230882578265,0.0797163669747228,3.6515232880548494,AZR1,SGDID:S000003456,YGR224W,ORF,Verified ORF,"""Plasma membrane transporter of the major facilitator superfamily; involved in resistance to azole drugs such as ketoconazole and fluconazole"""
ADE17:PGM2,Trifluoperazine,10850,15,864445,0.0002282750430889,0.0002372726081932,0.0874159135593374,3.6247523957783887,YPK9,SGDID:S000005817,YOR291W,ORF,Verified ORF,"""Vacuolar protein with a possible role in sequestering heavy metals; has similarity to the type V P-type ATPase Spf1p; homolog of human ATP13A2 (PARK9) ; mutations in which are associated with Parkinson disease and Kufor-Rakeb syndrome"""
HNM1:MAM33,Trifluoperazine,2313,4,980596,0.0002290199453478,0.0002378726157451,0.0876588670596261,3.6236555517219946,YDR261W-A,SGDID:S000007396,YDR261W-A,Close to 3'-UTR,Close to 3'-UTR,"""Retrotransposon TYA Gag gene co-transcribed with TYB Pol; translated as TYA or TYA-TYB polyprotein; Gag is a nucleocapsid protein that is the structural constituent of virus-like particles (VLPs); similar to retroviral Gag"""
ERV25:ORM2,Trifluoperazine,4719,7,942366,0.0002338365530325,0.0002432877454072,0.0890018235190851,3.6138797662688034,,,YGR223C_NFR/NDR,Promoter,Promoter,stable
ADE17:PGM2,Trifluoperazine,82,1,106800,0.0002396504418454,0.0002489722617854,0.0905975408024182,3.6038490353322645,PMT2,SGDID:S000000021,YAL023C,ORF,Verified ORF,"""Protein O-mannosyltransferase of the ER membrane; transfers mannose residues from dolichyl phosphate-D-mannose to protein serine/threonine residues; involved in ER quality control; functions as a heterodimer with Pmt2p but can also pair with Pmt5p; antifungal drug target; PMT2 has a paralog ; PMT3 ; that arose from the whole genome duplication"""
ADE17:PGM2,Trifluoperazine,10866,15,887279,0.0002443507339755,0.0002450918403493,0.0919604352579051,3.610671147133321,ISW2,SGDID:S000005831,YOR304W,ORF,Verified ORF,"""ATP-dependent DNA translocase involved in chromatin remodeling; ATPase component that ; with Itc1p ; forms a complex required for repression of a-specific genes ; INO1 ; and early meiotic genes during mitotic growth; exhibits basal levels of chromatin binding throughout the genome as well as interacts with sequence-specific factors to accurately position nucleosomes in chromatin; targeted by Ume6p- and Sua7p-dependent DNA looping to many loci genome-wide"""
ERV25:ORM2,Trifluoperazine,4726,7,945155,0.0002492605264829,0.0001207746975025,0.0933662569897622,3.918024041592712,AMA1,SGDID:S000003457,YGR225W,ORF,Verified ORF,"""Activator of meiotic anaphase promoting complex (APC/C); Cdc20p family member; required for initiation of spore wall assembly; required for Clb1p degradation during meiosis; prevents premature assembly of the meiosis I spindle ; required for DSB induced prophase I arrest"""
HNM1:MAM33,Trifluoperazine,2311,4,977428,0.0002609233985157,0.0002676425343348,0.0967264781914375,3.5724448663938326,,,YDR260C_NFR/NDR,Promoter,Promoter,fragile
noPPI:reference,Trifluoperazine,51,1,68621,0.0002630142332039,0.0002672129746892,0.0973277684474668,3.5731424582506826,,,SUT003_NFR/NDR,Promoter,Promoter,
ERG11:ERV25,Trifluoperazine,4817,7,1045136,0.0002708166444519,0.0002711328700356,0.0994859799439098,3.566817828750261,RNH70,SGDID:S000003508,YGR276C,ORF,Verified ORF,"""3'-5' exoribonuclease; required for maturation of 3' ends of 5S rRNA and tRNA-Arg3 from dicistronic transcripts"""
SSH1:ERG11,Trifluoperazine,9439,14,244751,0.0002711945357992,0.0002797086513862,0.099564907563693,3.553294100696113,IES2,SGDID:S000005159,YNL215W,ORF,Verified ORF,"""Protein that associates with the INO80 chromatin remodeling complex; associates with the INO80 complex under low-salt conditions; essential for growth under anaerobic conditions; protein abundance increases in response to DNA replication stress"""
ADE17:PGM2,Trifluoperazine,10847,15,863324,0.000282850354293,0.0002889662051748,0.10265024356831,3.5391529453552364,YPK9,SGDID:S000005817,YOR291W,ORF,Verified ORF,"""Vacuolar protein with a possible role in sequestering heavy metals; has similarity to the type V P-type ATPase Spf1p; homolog of human ATP13A2 (PARK9) ; mutations in which are associated with Parkinson disease and Kufor-Rakeb syndrome"""
ALO1:ADE17,Trifluoperazine,5722,9,244901,0.0002842248795596,0.0002944123139862,0.103053995385783,3.531044029305953,SNP1,SGDID:S000001323,YIL061C,ORF,Verified ORF,"""Component of U1 snRNP required for mRNA splicing via spliceosome; substrate of the arginine methyltransferase Hmt1p; may interact with poly(A) polymerase to regulate polyadenylation; homolog of human U1 70K protein; protein abundance increases in response to DNA replication stress"""
ADE17:PGM2,Trifluoperazine,10864,15,885299,0.0002929566597302,0.0003023925569017,0.105467784448222,3.5194289027750045,ISW2,SGDID:S000005831,YOR304W,ORF,Verified ORF,"""ATP-dependent DNA translocase involved in chromatin remodeling; ATPase component that ; with Itc1p ; forms a complex required for repression of a-specific genes ; INO1 ; and early meiotic genes during mitotic growth; exhibits basal levels of chromatin binding throughout the genome as well as interacts with sequence-specific factors to accurately position nucleosomes in chromatin; targeted by Ume6p- and Sua7p-dependent DNA looping to many loci genome-wide"""
ALO1:ADE17,Trifluoperazine,5723,9,244951,0.0002929988263666,0.0003035163894818,0.105472803278954,3.517817852630483,SNP1,SGDID:S000001323,YIL061C,ORF,Verified ORF,"""Component of U1 snRNP required for mRNA splicing via spliceosome; substrate of the arginine methyltransferase Hmt1p; may interact with poly(A) polymerase to regulate polyadenylation; homolog of human U1 70K protein; protein abundance increases in response to DNA replication stress"""
HNM1:MAM33,Trifluoperazine,2288,4,974632,0.0003043387932934,0.0003222781162946,0.10841133865122,3.4917691834580857,,,CUT075,Unstable transcript,CUT,ncRNA_STM
ADE17:PGM2,Trifluoperazine,10852,15,866920,0.0003206906645206,0.0003327608774757,0.112620425143651,3.477867739157684,,,YOR293W_NFR/NDR,Promoter,Promoter,fragile
ERV25:ORM2,Trifluoperazine,4721,7,943177,0.0003234306950339,0.0003732911861184,0.1132474152325,3.4279522641999547,AZR1,SGDID:S000003456,YGR224W,ORF,Verified ORF,"""Plasma membrane transporter of the major facilitator superfamily; involved in resistance to azole drugs such as ketoconazole and fluconazole"""
ADE17:PGM2,Trifluoperazine,10851,15,866884,0.0003243871547863,0.0003367541285215,0.113475983596372,3.4726870712304705,,,YOR293W_NFR/NDR,Promoter,Promoter,fragile
HNM1:MAM33,Trifluoperazine,2309,4,976707,0.0003269637980362,0.00034116159103,0.114142255481484,3.467039868895717,YAP6,SGDID:S000002667,YDR259C,Close to 3'-UTR,Close to 3'-UTR,"""Basic leucine zipper (bZIP) transcription factor; physically interacts with the Tup1-Cyc8 complex and recruits Tup1p to its targets; overexpression increases sodium and lithium tolerance; computational analysis suggests a role in regulation of expression of genes involved in carbohydrate metabolism; YAP6 has a paralog ; CIN5 ; that arose from the whole genome duplication"""
HNM1:TPO2,Trifluoperazine,8079,12,704451,0.0003320641949882,0.0003736538517088,0.115480461608223,3.4275305365785442,YLR279W,SGDID:S000004269,YLR279W,ORF,Dubious ORF,"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data"""
ALO1:ADE17,Trifluoperazine,5724,9,245431,0.0003411057957114,0.0003530937640359,0.117752681930334,3.4521099524134335,SNP1,SGDID:S000001323,YIL061C,ORF,Verified ORF,"""Component of U1 snRNP required for mRNA splicing via spliceosome; substrate of the arginine methyltransferase Hmt1p; may interact with poly(A) polymerase to regulate polyadenylation; homolog of human U1 70K protein; protein abundance increases in response to DNA replication stress"""
ALO1:ADE17,Trifluoperazine,5707,9,243307,0.0003423730054388,0.0003565975865645,0.118125562471126,3.447821600435109,YRB2,SGDID:S000001325,YIL063C,ORF,Verified ORF,"""Protein of unknown function; involved in nuclear processes of the Ran-GTPase cycle; involved in nuclear protein export; contains Ran Binding Domain and FxFG repeats; interacts with Srm1p ; GTP-Gsp1p ; Rna1p and Crm1p; relocalizes to the cytosol in response to hypoxia; not essential for viability"""
ALO1:ADE17,Trifluoperazine,5719,9,244304,0.0003476248863779,0.0003600091263084,0.11949623457282,3.443686489635102,ARC15,SGDID:S000001324,YIL062C,ORF,Verified ORF,"""Subunit of the ARP2/3 complex; ARP2/3 is required for the motility and integrity of cortical actin patches; has mRNA binding activity"""
