PPI,DRUG,SNP,Chr,Pos,p-value_eQTL,p-value_rMVP,FDR,-log_pval,name,sgd_id,locus_id,snps_class_up,snps_class_down,description
SSH1:PIS1,5.FC,2835,5,25397,9.54057046773357e-06,0.0002985963568634,0.0057822773967397,3.5249154953510278,,,XUT_5F-7,Unstable transcript,XUT,ncRNA_UNB
ADE17:GIS2,5.FC,10214,15,202330,2.78309092574805e-05,2.84742046168958e-05,0.0151886770642322,4.545548398427708,RTG1,SGDID:S000005428,YOL067C,ORF,Verified ORF,"""Transcription factor (bHLH) involved in interorganelle communication; contributes to communication between mitochondria ; peroxisomes ; and nucleus; target of Hog1p; activated in stochastic pulses of nuclear localization"""
ADE17:GIS2,5.FC,10223,15,207086,6.74054498051982e-05,7.12981474025676e-05,0.0326879567672255,4.146921754626324,MET22,SGDID:S000005425,YOL064C,ORF,Verified ORF,"""Bisphosphate-3'-nucleotidase; involved in salt tolerance and methionine biogenesis; dephosphorylates 3'-phosphoadenosine-5'-phosphate and 3'-phosphoadenosine-5'-phosphosulfate ; intermediates of the sulfate assimilation pathway; human homolog BPNT1 complements yeast null mutant"""
MID2:TPO4,5.FC,9439,14,244751,7.65988357012066e-05,7.97426183021912e-05,0.0364067582444832,4.098309508634433,IES2,SGDID:S000005159,YNL215W,ORF,Verified ORF,"""Protein that associates with the INO80 chromatin remodeling complex; associates with the INO80 complex under low-salt conditions; essential for growth under anaerobic conditions; protein abundance increases in response to DNA replication stress"""
HNM1:RBD2,5.FC,9439,14,244751,8.0580460390064e-05,8.38166540934434e-05,0.0380067187829558,4.076669679910641,IES2,SGDID:S000005159,YNL215W,ORF,Verified ORF,"""Protein that associates with the INO80 chromatin remodeling complex; associates with the INO80 complex under low-salt conditions; essential for growth under anaerobic conditions; protein abundance increases in response to DNA replication stress"""
HNM1:RBD2,5.FC,9438,14,241965,8.99210758091712e-05,9.31128098447921e-05,0.0416293973634594,4.03099056754484,RAP1,SGDID:S000005160,YNL216W,ORF,Verified ORF,"""Essential DNA-binding transcription regulator that binds many loci; involved in transcription activation ; repression ; chromatin silencing ; telomere length maintenance; relocalizes to cytosol under hypoxia; conserved protein with N-terminal BRCT domain ; central region with homology to Myb DNA binding domain ; and C-terminal Rap1-specific protein-interaction domain (RCT domain); recruits Sir complex to telomeric DNA; present in quiescent cell telomere hyperclusters"""
HNM1:RBD2,5.FC,9436,14,241034,9.36320406044483e-05,9.73554328930267e-05,0.0430725829629775,4.011639807784154,PPN2,SGDID:S000005161,YNL217W,ORF,Verified ORF,"""Zn2+-dependent endopolyphosphatase; required with PPN1 to mobilize polyphosphate stores in response to phosphate starvation; member of the PPP-superfamily of metalloproteases; localizes to the vacuolar lumen via the MVB pathway; null mutant is highly sensitive to azaserine and resistant to sodium-O-vandate"""
SNA4:GTR2,5.FC,1917,4,600513,9.67297645937443e-05,8.16102038266191e-05,0.0442114488397242,4.088255537464919,,,YDR077W_NFR/NDR,Promoter,Promoter,fragile
ALO1:ADE17,5.FC,5722,9,244901,9.68353543072042e-05,0.0001012717406051,0.0442438762430644,3.994511725532658,SNP1,SGDID:S000001323,YIL061C,ORF,Verified ORF,"""Component of U1 snRNP required for mRNA splicing via spliceosome; substrate of the arginine methyltransferase Hmt1p; may interact with poly(A) polymerase to regulate polyadenylation; homolog of human U1 70K protein; protein abundance increases in response to DNA replication stress"""
HNM1:RBD2,5.FC,9437,14,241114,0.0001128253701708,0.000120975029047,0.0501038770850565,3.917304264942006,PPN2,SGDID:S000005161,YNL217W,ORF,Verified ORF,"""Zn2+-dependent endopolyphosphatase; required with PPN1 to mobilize polyphosphate stores in response to phosphate starvation; member of the PPP-superfamily of metalloproteases; localizes to the vacuolar lumen via the MVB pathway; null mutant is highly sensitive to azaserine and resistant to sodium-O-vandate"""
