PPI,DRUG,SNP,Chr,Pos,p-value_eQTL,p-value_rMVP,FDR,-log_pval,name,sgd_id,locus_id,snps_class_up,snps_class_down,description
SRO9:SGN1,Metformin,1009,3,100583,9.496012519677651e-09,9.58821651797803e-09,8.93131885798647e-06,8.018262167431315,BUD3,SGDID:S000000520,YCL014W,ORF,Verified ORF,"""Guanine nucleotide exchange factor (GEF) for Cdc42p; activates Cdc42p in early G1 ; accounting for the first stage of biphasic activation ; with Cdc24p accounting for the second stage in late G1; involved in the Cdc42p-mediated assembly of the axial landmark that dictates the site for the next round of budding ; resulting in the axial budding pattern observed in haploids; localizes with septins to the bud neck contractile ring in mitosis"""
SRO9:SGN1,Metformin,1010,3,101685,1.16960223573675e-08,1.09617357455275e-08,1.08922104881419e-05,7.960120671671091,BUD3,SGDID:S000000520,YCL014W,Close to 3'-UTR,Close to 3'-UTR,"""Guanine nucleotide exchange factor (GEF) for Cdc42p; activates Cdc42p in early G1 ; accounting for the first stage of biphasic activation ; with Cdc24p accounting for the second stage in late G1; involved in the Cdc42p-mediated assembly of the axial landmark that dictates the site for the next round of budding ; resulting in the axial budding pattern observed in haploids; localizes with septins to the bud neck contractile ring in mitosis"""
SRO9:SGN1,Metformin,1008,3,98535,1.90767306015354e-08,2.07500897109854e-08,1.73844122199686e-05,7.6829800213180715,BUD3,SGDID:S000000520,YCL014W,ORF,Verified ORF,"""Guanine nucleotide exchange factor (GEF) for Cdc42p; activates Cdc42p in early G1 ; accounting for the first stage of biphasic activation ; with Cdc24p accounting for the second stage in late G1; involved in the Cdc42p-mediated assembly of the axial landmark that dictates the site for the next round of budding ; resulting in the axial budding pattern observed in haploids; localizes with septins to the bud neck contractile ring in mitosis"""
SRO9:SGN1,Metformin,1011,3,101814,4.62788894712719e-08,3.44349163393581e-08,4.0324630393583e-05,7.463000967808595,,,YCL012C_NFR/NDR,Promoter,Promoter,stable
SRO9:SGN1,Metformin,1007,3,96560,6.64156802464454e-08,6.544123356063e-08,5.67069870910779e-05,7.184148522852542,BUD3,SGDID:S000000520,YCL014W,ORF,Verified ORF,"""Guanine nucleotide exchange factor (GEF) for Cdc42p; activates Cdc42p in early G1 ; accounting for the first stage of biphasic activation ; with Cdc24p accounting for the second stage in late G1; involved in the Cdc42p-mediated assembly of the axial landmark that dictates the site for the next round of budding ; resulting in the axial budding pattern observed in haploids; localizes with septins to the bud neck contractile ring in mitosis"""
ERV25:ORM2,Metformin,8816,13,509524,6.78646464968871e-08,7.63970253699124e-08,5.78806076172153e-05,7.116923550986912,,,YMR120C_NFR/NDR,Promoter,Promoter,stable
SRO9:SGN1,Metformin,1002,3,92556,8.32046991717367e-08,2.11907767220184e-07,6.9978466707854e-05,6.673853124464083,,,YCLWdelta2b_NFR/NDR,Promoter,Promoter,
HNM1:MID2,Metformin,1003,3,92671,9.49325511249429e-08,2.43020293227701e-07,7.94219771836157e-05,6.6143574594517744,LEU2,SGDID:S000000523,YCL018W,Close to 3'-UTR,Close to 3'-UTR,"""Beta-isopropylmalate dehydrogenase (IMDH); catalyzes the third step in the leucine biosynthesis pathway; can additionally catalyze the conversion of beta-ethylmalate into alpha-ketovalerate"""
HNM1:MID2,Metformin,1002,3,92556,1.11722391478972e-07,1.61162914106785e-07,9.25876090341834e-05,6.792734888410401,,,YCLWdelta2b_NFR/NDR,Promoter,Promoter,
SRO9:SGN1,Metformin,1003,3,92671,1.38654935662176e-07,6.68151754591484e-07,0.0001136596345917,6.175124886781016,LEU2,SGDID:S000000523,YCL018W,Close to 3'-UTR,Close to 3'-UTR,"""Beta-isopropylmalate dehydrogenase (IMDH); catalyzes the third step in the leucine biosynthesis pathway; can additionally catalyze the conversion of beta-ethylmalate into alpha-ketovalerate"""
HNM1:MID2,Metformin,1004,3,92716,1.62382462601985e-07,7.89936618649702e-07,0.0001319103116313,6.1024077533614,LEU2,SGDID:S000000523,YCL018W,Close to 3'-UTR,Close to 3'-UTR,"""Beta-isopropylmalate dehydrogenase (IMDH); catalyzes the third step in the leucine biosynthesis pathway; can additionally catalyze the conversion of beta-ethylmalate into alpha-ketovalerate"""
ERV25:ORM2,Metformin,8813,13,506223,2.0207467537632e-07,2.12009320155247e-07,0.0001621605331183,6.673645046604161,ASI1,SGDID:S000004725,YMR119W,ORF,Verified ORF,"""Subunit of the inner nuclear membrane Asi ubiquitin ligase complex; the Asi complex targets both misfolded proteins of the inner nuclear membrane-associated degradation (INMAD) pathway and regulators of sterol biosynthesis for ubiquitin-mediated degradation; acts with Asi2p and Asi3p to ensure the fidelity of SPS-sensor signaling by targeting latent unprocessed forms of Stp1p and Stp2p ; maintaining the repressed state of gene expression in the absence of inducing amino acids"""
ERV25:ORM2,Metformin,8814,13,506332,3.25437137761542e-07,3.61553571673178e-07,0.000253111451797,6.4418273438513305,ASI1,SGDID:S000004725,YMR119W,ORF,Verified ORF,"""Subunit of the inner nuclear membrane Asi ubiquitin ligase complex; the Asi complex targets both misfolded proteins of the inner nuclear membrane-associated degradation (INMAD) pathway and regulators of sterol biosynthesis for ubiquitin-mediated degradation; acts with Asi2p and Asi3p to ensure the fidelity of SPS-sensor signaling by targeting latent unprocessed forms of Stp1p and Stp2p ; maintaining the repressed state of gene expression in the absence of inducing amino acids"""
