PPI,DRUG,SNP,Chr,Pos,p-value_eQTL,p-value_rMVP,FDR,-log_pval,name,sgd_id,locus_id,snps_class_up,snps_class_down,description
ERG11:MID2,Fluconazole,4285,7,467332,6.52136092284059e-13,7.63049260635284e-13,9.07583993102993e-10,12.117447424127029,PUF4,SGDID:S000002982,YGL014W,ORF,Verified ORF,"""Member of the PUF protein family; PUF family is defined by the presence of Pumilio homology domains that confer RNA binding activity; preferentially binds mRNAs encoding nucleolar ribosomal RNA-processing factors"""
ERG11:MID2,Fluconazole,4286,7,467497,1.00888382001346e-12,1.0320640424672998e-12,1.3791609751589801e-09,11.986293352682459,PUF4,SGDID:S000002982,YGL014W,ORF,Verified ORF,"""Member of the PUF protein family; PUF family is defined by the presence of Pumilio homology domains that confer RNA binding activity; preferentially binds mRNAs encoding nucleolar ribosomal RNA-processing factors"""
ERG11:PIS1,Fluconazole,4975,8,122207,8.081820038554129e-12,9.1820340427561e-12,1.01222256446679e-08,11.037061101402964,,,SUT153,Unstable transcript,SUT,ncRNA_UNB
ERG11:PIS1,Fluconazole,4976,8,122347,8.53341249114242e-12,9.25599140633257e-12,1.06628135068221e-08,11.033577057274119,,,SUT153,Unstable transcript,SUT,ncRNA_UNB
ERG11:PIS1,Fluconazole,4974,8,122014,1.00844016021763e-11,1.36824004466078e-11,1.2540028899473e-08,10.863837703108437,,,SUT153,Unstable transcript,SUT,ncRNA_UNB
ERG11:MID2,Fluconazole,4290,7,469647,1.46698803695518e-11,2.01336025524403e-11,1.7975907123174e-08,10.696078508834084,PDR1,SGDID:S000002981,YGL013C,ORF,Verified ORF,"""Transcription factor that regulates the pleiotropic drug response; zinc cluster protein that is a master regulator involved in recruiting other zinc cluster proteins to pleiotropic drug response elements (PDREs) to fine tune the regulation of multidrug resistance genes; relocalizes to the cytosol in response to hypoxia; PDR1 has a paralog ; PDR3 ; that arose from the whole genome duplication"""
ERG11:PIS1,Fluconazole,4977,8,122370,1.4779486582628e-11,1.6738596457573298e-11,1.81042775586853e-08,10.776280960696758,,,SUT153,Unstable transcript,SUT,ncRNA_UNB
ERG11:MID2,Fluconazole,4291,7,469734,1.9008644734498298e-11,2.47866161140892e-11,2.30730430811074e-08,10.605782759367294,PDR1,SGDID:S000002981,YGL013C,ORF,Verified ORF,"""Transcription factor that regulates the pleiotropic drug response; zinc cluster protein that is a master regulator involved in recruiting other zinc cluster proteins to pleiotropic drug response elements (PDREs) to fine tune the regulation of multidrug resistance genes; relocalizes to the cytosol in response to hypoxia; PDR1 has a paralog ; PDR3 ; that arose from the whole genome duplication"""
ERG11:MID2,Fluconazole,4973,8,121738,2.16535491452715e-11,2.6897428383201297e-11,2.61306905322467e-08,10.57028924016016,,,SUT153_NFR/NDR,Promoter,Promoter,
ERG11:PIS1,Fluconazole,4973,8,121738,3.2476459359696696e-11,7.97307577054154e-11,3.86607469728426e-08,10.098374108655706,,,SUT153_NFR/NDR,Promoter,Promoter,
ERG11:MID2,Fluconazole,4974,8,122014,3.4430899137498e-11,4.2579740143644297e-11,4.08831642971256e-08,10.370796993309291,,,SUT153,Unstable transcript,SUT,ncRNA_UNB
ERG11:MID2,Fluconazole,4975,8,122207,4.3449000659377293e-11,4.9003713809924193e-11,5.10879857532793e-08,10.309771005154385,,,SUT153,Unstable transcript,SUT,ncRNA_UNB
ERG11:MID2,Fluconazole,4976,8,122347,6.42571195801566e-11,7.756816534498629e-11,7.43036203063451e-08,10.110316480438906,,,SUT153,Unstable transcript,SUT,ncRNA_UNB
ERG11:MID2,Fluconazole,4283,7,465310,7.55085923244846e-11,6.94186257012596e-11,8.69509945400907e-08,10.158523988421267,BIL2,SGDID:S000002983,YGL015C,ORF,Verified ORF,"""Formin inhibitor; negatively regulates Bnr1-mediated actin filament nucleation but not filament elongation; performs distinct but overlapping roles with Hof1p to control actin cable assembly and polarized secretion; bnr1 bil2 double mutants are inviable; localizes to the cytosol ; secretory vesicles and sites of polarized growth"""
ERG11:MID2,Fluconazole,4977,8,122370,9.69410197067835e-11,1.08871222895532e-10,1.10389573664216e-07,9.963086898841528,,,SUT153,Unstable transcript,SUT,ncRNA_UNB
ERG11:MID2,Fluconazole,4284,7,465688,2.80356684785507e-10,5.1319992419198e-10,3.0791888429008e-07,9.2897134164495,,,YGL014W_NFR/NDR,Promoter,Promoter,stable
ERG11:PIS1,Fluconazole,4290,7,469647,3.02583940141128e-10,3.97647947911084e-10,3.31363406287684e-07,9.400501254411257,PDR1,SGDID:S000002981,YGL013C,ORF,Verified ORF,"""Transcription factor that regulates the pleiotropic drug response; zinc cluster protein that is a master regulator involved in recruiting other zinc cluster proteins to pleiotropic drug response elements (PDREs) to fine tune the regulation of multidrug resistance genes; relocalizes to the cytosol in response to hypoxia; PDR1 has a paralog ; PDR3 ; that arose from the whole genome duplication"""
