seq_id,source,type,start,end,score,strand,phase,attributes,locus_id
I,van_Dijk_2011,ncRNA,11270,11785,3.589428057,+,.,ID=1F-1;Name=XUT_1F-1;xrn1_to_WT_log2_ratio=3.58942805720168;desc=Xrn1-sensitive_unstable_transcript,XUT_1F-1
I,van_Dijk_2011,ncRNA,13123,13701,3.13221902,+,.,ID=1F-3;Name=XUT_1F-3;xrn1_to_WT_log2_ratio=3.13221901957648;desc=Xrn1-sensitive_unstable_transcript,XUT_1F-3
I,van_Dijk_2011,ncRNA,13727,16710,3.319269729,+,.,ID=1F-4;Name=XUT_1F-4;xrn1_to_WT_log2_ratio=3.31926972872235;desc=Xrn1-sensitive_unstable_transcript,XUT_1F-4
I,van_Dijk_2011,ncRNA,24352,24705,2.244774517,+,.,ID=1F-11;Name=XUT_1F-11;xrn1_to_WT_log2_ratio=2.24477451737697;desc=Xrn1-sensitive_unstable_transcript,XUT_1F-11
I,van_Dijk_2011,ncRNA,24814,25521,2.216275735,+,.,ID=1F-12;Name=XUT_1F-12;xrn1_to_WT_log2_ratio=2.21627573539902;desc=Xrn1-sensitive_unstable_transcript,XUT_1F-12
I,van_Dijk_2011,ncRNA,27075,28174,2.627468686,+,.,ID=1F-14;Name=XUT_1F-14;xrn1_to_WT_log2_ratio=2.62746868632535;desc=Xrn1-sensitive_unstable_transcript,XUT_1F-14
I,van_Dijk_2011,ncRNA,30017,30860,4.403242819,+,.,ID=1F-15;Name=XUT_1F-15;xrn1_to_WT_log2_ratio=4.40324281859337;desc=Xrn1-sensitive_unstable_transcript,XUT_1F-15
I,van_Dijk_2011,ncRNA,43128,44991,2.83734922,+,.,ID=1F-23;Name=XUT_1F-23;xrn1_to_WT_log2_ratio=2.83734922005354;desc=Xrn1-sensitive_unstable_transcript,XUT_1F-23
I,van_Dijk_2011,ncRNA,44998,45496,2.219461847,+,.,ID=1F-25;Name=XUT_1F-25;xrn1_to_WT_log2_ratio=2.2194618465269;desc=Xrn1-sensitive_unstable_transcript,XUT_1F-25
I,van_Dijk_2011,ncRNA,68697,69663,2.909745974,+,.,ID=1F-32;Name=XUT_1F-32;xrn1_to_WT_log2_ratio=2.90974597367878;desc=Xrn1-sensitive_unstable_transcript,XUT_1F-32
I,van_Dijk_2011,ncRNA,137744,138816,3.3259706,+,.,ID=1F-60;Name=XUT_1F-60;xrn1_to_WT_log2_ratio=3.32597060022495;desc=Xrn1-sensitive_unstable_transcript,XUT_1F-60
I,van_Dijk_2011,ncRNA,172061,172437,3.395511533,+,.,ID=1F-72;Name=XUT_1F-72;xrn1_to_WT_log2_ratio=3.39551153347803;desc=Xrn1-sensitive_unstable_transcript,XUT_1F-72
I,van_Dijk_2011,ncRNA,180400,180734,2.955726593,+,.,ID=1F-75;Name=XUT_1F-75;xrn1_to_WT_log2_ratio=2.95572659295482;desc=Xrn1-sensitive_unstable_transcript,XUT_1F-75
I,van_Dijk_2011,ncRNA,196667,197198,1.861674274,+,.,ID=1F-89;Name=XUT_1F-89;xrn1_to_WT_log2_ratio=1.86167427368012;desc=Xrn1-sensitive_unstable_transcript,XUT_1F-89
I,van_Dijk_2011,ncRNA,197279,200030,2.941487549,+,.,ID=1F-90;Name=XUT_1F-90;xrn1_to_WT_log2_ratio=2.94148754857481;desc=Xrn1-sensitive_unstable_transcript,XUT_1F-90
I,van_Dijk_2011,ncRNA,200618,202695,3.202238543,+,.,ID=1F-93;Name=XUT_1F-93;xrn1_to_WT_log2_ratio=3.20223854287595;desc=Xrn1-sensitive_unstable_transcript,XUT_1F-93
I,van_Dijk_2011,ncRNA,5236,5887,4.215655088,-,.,ID=1R-2;Name=XUT_1R-2;xrn1_to_WT_log2_ratio=4.21565508792079;desc=Xrn1-sensitive_unstable_transcript,XUT_1R-2
I,van_Dijk_2011,ncRNA,17191,17980,4.877069649,-,.,ID=1R-5;Name=XUT_1R-5;xrn1_to_WT_log2_ratio=4.87706964907982;desc=Xrn1-sensitive_unstable_transcript,XUT_1R-5
I,van_Dijk_2011,ncRNA,28986,29746,3.722838455,-,.,ID=1R-16;Name=XUT_1R-16;xrn1_to_WT_log2_ratio=3.72283845474266;desc=Xrn1-sensitive_unstable_transcript,XUT_1R-16
I,van_Dijk_2011,ncRNA,31637,34448,3.105528486,-,.,ID=1R-18;Name=XUT_1R-18;xrn1_to_WT_log2_ratio=3.10552848586486;desc=Xrn1-sensitive_unstable_transcript,XUT_1R-18
I,van_Dijk_2011,ncRNA,35025,35381,2.606422059,-,.,ID=1R-20;Name=XUT_1R-20;xrn1_to_WT_log2_ratio=2.60642205913615;desc=Xrn1-sensitive_unstable_transcript,XUT_1R-20
I,van_Dijk_2011,ncRNA,65391,65728,2.298105889,-,.,ID=1R-35;Name=XUT_1R-35;xrn1_to_WT_log2_ratio=2.29810588898011;desc=Xrn1-sensitive_unstable_transcript,XUT_1R-35
I,van_Dijk_2011,ncRNA,71123,71515,4.047547301,-,.,ID=1R-39;Name=XUT_1R-39;xrn1_to_WT_log2_ratio=4.04754730137773;desc=Xrn1-sensitive_unstable_transcript,XUT_1R-39
I,van_Dijk_2011,ncRNA,73798,74694,2.87217085,-,.,ID=1R-40;Name=XUT_1R-40;xrn1_to_WT_log2_ratio=2.87217084966698;desc=Xrn1-sensitive_unstable_transcript,XUT_1R-40
