seq_id,source,type,start,end,score,strand,phase,attributes,locus_id
I,LD information,LD block,27498,27561,1,+,.,Name=CHR_1_10-11,
I,LD information,LD block,27822,28975,1,+,.,Name=CHR_1_13-19,
I,LD information,LD block,37409,37478,1,+,.,Name=CHR_1_31-32,
I,LD information,LD block,51462,52667,1,+,.,Name=CHR_1_38-40,
I,LD information,LD block,59265,60165,1,+,.,Name=CHR_1_42-43,
I,LD information,LD block,62308,62869,1,+,.,Name=CHR_1_44-45,
I,LD information,LD block,65431,65451,1,+,.,Name=CHR_1_46-47,
I,LD information,LD block,66841,66948,1,+,.,Name=CHR_1_49-50,
I,LD information,LD block,68621,69417,1,+,.,Name=CHR_1_51-52,
I,LD information,LD block,74572,75211,1,+,.,Name=CHR_1_57-58,
I,LD information,LD block,81999,82431,1,+,.,Name=CHR_1_62-63,
I,LD information,LD block,83613,84112,1,+,.,Name=CHR_1_65-66,
I,LD information,LD block,85751,91472,1,+,.,Name=CHR_1_69-76,
I,LD information,LD block,94351,99148,1,+,.,Name=CHR_1_78-79,
I,LD information,LD block,107970,109000,1,+,.,Name=CHR_1_83-84,
I,LD information,LD block,112742,113135,1,+,.,Name=CHR_1_86-88,
I,LD information,LD block,114076,114628,1,+,.,Name=CHR_1_89-90,
I,LD information,LD block,128302,128911,1,+,.,Name=CHR_1_94-96,
I,LD information,LD block,130271,130613,1,+,.,Name=CHR_1_98-99,
I,LD information,LD block,137074,150447,1,+,.,Name=CHR_1_102-106,
I,LD information,LD block,156633,167326,1,+,.,Name=CHR_1_109-114,
I,LD information,LD block,171431,178960,1,+,.,Name=CHR_1_117-136,
I,LD information,LD block,183954,186896,1,+,.,Name=CHR_1_141-157,
I,LD information,LD block,189392,189416,1,+,.,Name=CHR_1_159-160,
I,LD information,LD block,190148,190169,1,+,.,Name=CHR_1_162-164,
I,LD information,LD block,194020,194187,1,+,.,Name=CHR_1_172-173,
I,LD information,LD block,197325,197392,1,+,.,Name=CHR_1_175-176,
II,LD information,LD block,8250,8253,1,+,.,Name=CHR_2_185-186,
II,LD information,LD block,8302,8651,1,+,.,Name=CHR_2_188-195,
II,LD information,LD block,9932,26815,1,+,.,Name=CHR_2_198-216,
II,LD information,LD block,35849,35850,1,+,.,Name=CHR_2_219-220,
II,LD information,LD block,41245,43214,1,+,.,Name=CHR_2_221-222,
II,LD information,LD block,55834,59477,1,+,.,Name=CHR_2_225-231,
II,LD information,LD block,60478,61675,1,+,.,Name=CHR_2_234-238,
II,LD information,LD block,62939,65527,1,+,.,Name=CHR_2_240-243,
II,LD information,LD block,67023,67024,1,+,.,Name=CHR_2_245-246,
II,LD information,LD block,74564,74739,1,+,.,Name=CHR_2_253-254,
II,LD information,LD block,80873,83845,1,+,.,Name=CHR_2_257-260,
II,LD information,LD block,87562,87878,1,+,.,Name=CHR_2_265-267,
II,LD information,LD block,93952,95085,1,+,.,Name=CHR_2_273-274,
II,LD information,LD block,111916,116024,1,+,.,Name=CHR_2_278-282,
