SNP,Chr,Pos,locus_id,name,p-value_eQTL,p-value_rMVP,FDR,-log_pval,Effect,snps_class_up,snps_class_down,description
10448,15,461014,YOR071C,NRT1,6.80725020745779e-72,4.57038529948862e-72,5.08738482804317e-65,71.34004718584083,-2.41694626483771,ORF,Verified ORF,"""High-affinity nicotinamide riboside transporter; also transports thiamine with low affinity; major transporter for 5-aminoimidazole-4-carboxamide-1-beta-D-ribofuranoside (acadesine) uptake; shares sequence similarity with Thi7p and Thi72p; proposed to be involved in 5-fluorocytosine sensitivity"""
10446,15,460514,YOR071C,NRT1,2.54921544955145e-68,1.6498387900993102e-68,6.35050355930458e-62,67.78255848971988,-2.38084587117318,ORF,Verified ORF,"""High-affinity nicotinamide riboside transporter; also transports thiamine with low affinity; major transporter for 5-aminoimidazole-4-carboxamide-1-beta-D-ribofuranoside (acadesine) uptake; shares sequence similarity with Thi7p and Thi72p; proposed to be involved in 5-fluorocytosine sensitivity"""
10447,15,460515,YOR071C,NRT1,2.54921544955145e-68,1.6498387900993102e-68,6.35050355930458e-62,67.78255848971988,-2.38084587117318,ORF,Verified ORF,"""High-affinity nicotinamide riboside transporter; also transports thiamine with low affinity; major transporter for 5-aminoimidazole-4-carboxamide-1-beta-D-ribofuranoside (acadesine) uptake; shares sequence similarity with Thi7p and Thi72p; proposed to be involved in 5-fluorocytosine sensitivity"""
10445,15,459550,XUT_15F-217,,5.1188877807665e-64,4.5656687373699e-64,6.37598424196714e-58,63.34049560198974,-2.33206003119966,Unstable transcript,XUT,ncRNA_UNB
10450,15,461411,YOR071C,NRT1,4.4381866233724206e-58,3.8792305265844e-58,3.3168698966041303e-52,57.411254411312875,-2.33516898438164,Close to 3'-UTR,Close to 3'-UTR,"""High-affinity nicotinamide riboside transporter; also transports thiamine with low affinity; major transporter for 5-aminoimidazole-4-carboxamide-1-beta-D-ribofuranoside (acadesine) uptake; shares sequence similarity with Thi7p and Thi72p; proposed to be involved in 5-fluorocytosine sensitivity"""
10451,15,461760,YOR072W,YOR072W,4.0479311699970605e-58,3.34162235985543e-58,3.3168698966041303e-52,57.47604263173104,-2.25938041825246,ORF,Uncharacterized ORF,"""Putative protein of unknown function; conserved across S. cerevisiae strains; partially overlaps the dubious gene YOR072W-A; diploid deletion strains are methotrexate ; paraquat and wortmannin sensitive"""
10453,15,461814,YOR072W,YOR072W,1.40494560898807e-57,1.12856824257586e-57,9.545302645327451e-52,56.947472174753656,-2.24659268754799,ORF,Uncharacterized ORF,"""Putative protein of unknown function; conserved across S. cerevisiae strains; partially overlaps the dubious gene YOR072W-A; diploid deletion strains are methotrexate ; paraquat and wortmannin sensitive"""
10452,15,461793,YOR072W,YOR072W,1.81234355811569e-57,1.7730198003814198e-57,1.12870944455887e-51,56.751286414343596,-2.25869353342355,ORF,Uncharacterized ORF,"""Putative protein of unknown function; conserved across S. cerevisiae strains; partially overlaps the dubious gene YOR072W-A; diploid deletion strains are methotrexate ; paraquat and wortmannin sensitive"""
10449,15,461395,YOR071C,NRT1,7.32754079195731e-57,1.63253314371639e-57,4.21247919675978e-51,56.78713799290923,-2.34015318673527,Close to 3'-UTR,Close to 3'-UTR,"""High-affinity nicotinamide riboside transporter; also transports thiamine with low affinity; major transporter for 5-aminoimidazole-4-carboxamide-1-beta-D-ribofuranoside (acadesine) uptake; shares sequence similarity with Thi7p and Thi72p; proposed to be involved in 5-fluorocytosine sensitivity"""
10459,15,465855,YOR073W,SGO1,3.24071219354388e-55,3.1957316100521496e-55,1.7299569831576e-49,54.49542970156324,-2.21901492102912,ORF,Verified ORF,"""Component of the spindle checkpoint; involved in sensing lack of tension on mitotic chromosomes; protects centromeric Rec8p at meiosis I; required for accurate chromosomal segregation at meiosis II and for mitotic chromosome stability; recruits condensin to the pericentric region of chromosomes during meiosis; dissociates from pericentromeres when sister kinetochores are under tension"""
