SNP,Chr,Pos,Effect,SE,ERG11_PIS1_MTX_Trifluoperazine_avg_logratio_Fitness_minus_ref.GLM,locus_id,name,sgd_id,snps_class_up,snps_class_down,description,genome_annotations
1,1,1025,0.333862256989321,0.161953000393905,0.0399894082717877,X1L_NFR/NDR,,,Promoter,Promoter,,Promoter
2,1,1035,0.248247982284028,0.164176497912952,0.131408241073267,X1L_NFR/NDR,,,Promoter,Promoter,,Promoter
3,1,1074,0.11496705529402,0.278276518322673,0.679755164606184,YAL069W,YAL069W,SGDID:S000002143,Close to 3'-UTR,Close to 3'-UTR,"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data""",Dubious ORF
4,1,1470,-0.123421003415375,0.277263623944076,0.656491749142858,YAL069W,YAL069W,SGDID:S000002143,Close to 3'-UTR,Close to 3'-UTR,"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data""",Dubious ORF
5,1,1475,0.0159672659786905,0.204705533677955,0.937871336452935,YAL069W,YAL069W,SGDID:S000002143,Close to 3'-UTR,Close to 3'-UTR,"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data""",Dubious ORF
6,1,1491,-0.0714019688801764,0.179026220296637,0.690255747563545,YAL069W,YAL069W,SGDID:S000002143,Close to 3'-UTR,Close to 3'-UTR,"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data""",Dubious ORF
7,1,21249,-0.798199563315631,1.02713547258991,0.437612993247935,YAL064W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
8,1,27243,-0.0121998784374264,0.140240800364199,0.930726907982959,YAL063C,FLO9,SGDID:S000000059,ORF,Verified ORF,"""Lectin-like protein with similarity to Flo1p; thought to be expressed and involved in flocculation""",Verified ORF
9,1,27272,-0.0094131890265785,0.138135273832,0.945709016865365,YAL063C,FLO9,SGDID:S000000059,ORF,Verified ORF,"""Lectin-like protein with similarity to Flo1p; thought to be expressed and involved in flocculation""",Verified ORF
10,1,27498,-1.08873476448023,1.26009838075312,0.388170333614715,YAL063C,FLO9,SGDID:S000000059,ORF,Verified ORF,"""Lectin-like protein with similarity to Flo1p; thought to be expressed and involved in flocculation""",Verified ORF
11,1,27561,0.939184626001835,0.951661245647226,0.324372692435325,YAL063C,FLO9,SGDID:S000000059,ORF,Verified ORF,"""Lectin-like protein with similarity to Flo1p; thought to be expressed and involved in flocculation""",Verified ORF
12,1,27816,0.0652356288086056,0.140912054833003,0.64368347510258,YAL063C,FLO9,SGDID:S000000059,ORF,Verified ORF,"""Lectin-like protein with similarity to Flo1p; thought to be expressed and involved in flocculation""",Verified ORF
13,1,27822,0.0734028002874105,0.140721455549317,0.602263657547612,YAL063C,FLO9,SGDID:S000000059,ORF,Verified ORF,"""Lectin-like protein with similarity to Flo1p; thought to be expressed and involved in flocculation""",Verified ORF
14,1,27823,0.0419872305728247,0.143657972422773,0.770250221159113,YAL063C,FLO9,SGDID:S000000059,ORF,Verified ORF,"""Lectin-like protein with similarity to Flo1p; thought to be expressed and involved in flocculation""",Verified ORF
15,1,27825,0.086395220571179,0.140700556396188,0.539586985534098,YAL063C,FLO9,SGDID:S000000059,ORF,Verified ORF,"""Lectin-like protein with similarity to Flo1p; thought to be expressed and involved in flocculation""",Verified ORF
16,1,27843,0.0350680092868224,0.134854915008358,0.794982598004145,YAL063C,FLO9,SGDID:S000000059,ORF,Verified ORF,"""Lectin-like protein with similarity to Flo1p; thought to be expressed and involved in flocculation""",Verified ORF
17,1,27848,0.0350680092868224,0.134854915008358,0.794982598004145,YAL063C,FLO9,SGDID:S000000059,ORF,Verified ORF,"""Lectin-like protein with similarity to Flo1p; thought to be expressed and involved in flocculation""",Verified ORF
18,1,28495,0.0609816039938521,0.13483095408361,0.651343697772587,YAL063C,FLO9,SGDID:S000000059,Close to 3'-UTR,Close to 3'-UTR,"""Lectin-like protein with similarity to Flo1p; thought to be expressed and involved in flocculation""",Verified ORF
