SNP,Chr,Pos,Effect,SE,ALO1_UIP4_noMTX_noDrug_avg_logratio_Fitness_minus_ref.GLM,locus_id,name,sgd_id,snps_class_up,snps_class_down,description,genome_annotations
1,1,1025,0.188444868709789,0.0583509040653596,0.0013564266555489,X1L_NFR/NDR,,,Promoter,Promoter,,Promoter
2,1,1035,0.13760612655294,0.0594045728761153,0.0211072572909037,X1L_NFR/NDR,,,Promoter,Promoter,,Promoter
3,1,1074,0.0843127522471683,0.101050066424254,0.40463897688024,YAL069W,YAL069W,SGDID:S000002143,Close to 3'-UTR,Close to 3'-UTR,"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data""",Dubious ORF
4,1,1470,-0.116297671322306,0.100595144533325,0.248423618722376,YAL069W,YAL069W,SGDID:S000002143,Close to 3'-UTR,Close to 3'-UTR,"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data""",Dubious ORF
5,1,1475,-0.0232091206812264,0.0743800275775465,0.755198673153532,YAL069W,YAL069W,SGDID:S000002143,Close to 3'-UTR,Close to 3'-UTR,"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data""",Dubious ORF
6,1,1491,-0.0867326334613296,0.0649085316949967,0.182335289443193,YAL069W,YAL069W,SGDID:S000002143,Close to 3'-UTR,Close to 3'-UTR,"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data""",Dubious ORF
7,1,21249,-0.0462422266157794,0.373570325334691,0.901556333864612,YAL064W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
8,1,27243,0.0063472789463701,0.0509626954752484,0.900952645338009,YAL063C,FLO9,SGDID:S000000059,ORF,Verified ORF,"""Lectin-like protein with similarity to Flo1p; thought to be expressed and involved in flocculation""",Verified ORF
9,1,27272,-0.0342661653868785,0.0501653122854755,0.49501386686906,YAL063C,FLO9,SGDID:S000000059,ORF,Verified ORF,"""Lectin-like protein with similarity to Flo1p; thought to be expressed and involved in flocculation""",Verified ORF
10,1,27498,0.144661377968591,0.458336883045677,0.752475664571537,YAL063C,FLO9,SGDID:S000000059,ORF,Verified ORF,"""Lectin-like protein with similarity to Flo1p; thought to be expressed and involved in flocculation""",Verified ORF
11,1,27561,0.110798671456251,0.346258625841527,0.749166592455348,YAL063C,FLO9,SGDID:S000000059,ORF,Verified ORF,"""Lectin-like protein with similarity to Flo1p; thought to be expressed and involved in flocculation""",Verified ORF
12,1,27816,-0.0355022883147326,0.0511878793607903,0.48840911892281,YAL063C,FLO9,SGDID:S000000059,ORF,Verified ORF,"""Lectin-like protein with similarity to Flo1p; thought to be expressed and involved in flocculation""",Verified ORF
13,1,27822,-0.0294588725173651,0.051133608826657,0.564904133605241,YAL063C,FLO9,SGDID:S000000059,ORF,Verified ORF,"""Lectin-like protein with similarity to Flo1p; thought to be expressed and involved in flocculation""",Verified ORF
14,1,27823,-0.0415072334805791,0.0521646199136963,0.426742878468456,YAL063C,FLO9,SGDID:S000000059,ORF,Verified ORF,"""Lectin-like protein with similarity to Flo1p; thought to be expressed and involved in flocculation""",Verified ORF
15,1,27825,-0.0312461335415669,0.0511306033448075,0.541523810565224,YAL063C,FLO9,SGDID:S000000059,ORF,Verified ORF,"""Lectin-like protein with similarity to Flo1p; thought to be expressed and involved in flocculation""",Verified ORF
16,1,27843,-0.0046935568008796,0.0490101043361403,0.923759870093599,YAL063C,FLO9,SGDID:S000000059,ORF,Verified ORF,"""Lectin-like protein with similarity to Flo1p; thought to be expressed and involved in flocculation""",Verified ORF
17,1,27848,-0.0046935568008796,0.0490101043361403,0.923759870093599,YAL063C,FLO9,SGDID:S000000059,ORF,Verified ORF,"""Lectin-like protein with similarity to Flo1p; thought to be expressed and involved in flocculation""",Verified ORF
18,1,28495,-0.0032297198450796,0.0490112331179986,0.947496700962464,YAL063C,FLO9,SGDID:S000000059,Close to 3'-UTR,Close to 3'-UTR,"""Lectin-like protein with similarity to Flo1p; thought to be expressed and involved in flocculation""",Verified ORF
19,1,28975,-0.0286227860769058,0.0486600786716344,0.556761400405526,A:27969-30945,,,Intergenic region,Intergenic region,between YAL063C and ARS104,Intergenic region
20,1,29283,-0.119735510043996,0.108916826342757,0.272373425114201,A:27969-30945,,,Intergenic region,Intergenic region,between YAL063C and ARS104,Intergenic region
