SNP,Chr,Pos,Effect,SE,HNM1_MID2_MTX_Fluconazole_avg_logratio_Fitness_minus_ref.GLM,locus_id,name,sgd_id,snps_class_up,snps_class_down,description,genome_annotations
1,1,1025,0.152212578080029,0.169718681492104,0.37040899700636,X1L_NFR/NDR,,,Promoter,Promoter,,Promoter
2,1,1035,0.164740058815018,0.171546816095508,0.337550847830108,X1L_NFR/NDR,,,Promoter,Promoter,,Promoter
3,1,1074,0.152366711024607,0.290167179224995,0.599843492774947,YAL069W,YAL069W,SGDID:S000002143,Close to 3'-UTR,Close to 3'-UTR,"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data""",Dubious ORF
4,1,1470,-0.0352478338278708,0.289229056478167,0.903072720434376,YAL069W,YAL069W,SGDID:S000002143,Close to 3'-UTR,Close to 3'-UTR,"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data""",Dubious ORF
5,1,1475,0.197194297337167,0.213227960085358,0.355699075837775,YAL069W,YAL069W,SGDID:S000002143,Close to 3'-UTR,Close to 3'-UTR,"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data""",Dubious ORF
6,1,1491,0.455621758184467,0.185164537911936,0.014347421437873,YAL069W,YAL069W,SGDID:S000002143,Close to 3'-UTR,Close to 3'-UTR,"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data""",Dubious ORF
7,1,21249,0.27503904741654,1.0719998288034,0.797663043806312,YAL064W_NFR/NDR,,,Promoter,Promoter,fragile,Promoter
8,1,27243,0.122821965279127,0.146110388651258,0.401135046496341,YAL063C,FLO9,SGDID:S000000059,ORF,Verified ORF,"""Lectin-like protein with similarity to Flo1p; thought to be expressed and involved in flocculation""",Verified ORF
9,1,27272,0.100487840176289,0.143960795884244,0.485622808685018,YAL063C,FLO9,SGDID:S000000059,ORF,Verified ORF,"""Lectin-like protein with similarity to Flo1p; thought to be expressed and involved in flocculation""",Verified ORF
10,1,27498,1.22137196489451,1.31391900197829,0.353232031153391,YAL063C,FLO9,SGDID:S000000059,ORF,Verified ORF,"""Lectin-like protein with similarity to Flo1p; thought to be expressed and involved in flocculation""",Verified ORF
11,1,27561,0.187799611166865,0.993790912846174,0.85022260936192,YAL063C,FLO9,SGDID:S000000059,ORF,Verified ORF,"""Lectin-like protein with similarity to Flo1p; thought to be expressed and involved in flocculation""",Verified ORF
