PPI,n_piQTLs_pca,tstat_pca,pval_pca,network_type_pca,n_piQTLs_cellmap,tstat_cellmap,pval_cellmap,network_type_cellmap
GTR1_SLM4,5,-1.683320296055946,0.09234429226876603,PCA,7,1.9880827916291084,0.04682970256424422,GI
SNA4_GTR2,2,0.0,1.0,PCA,2,0.0,1.0,GI
ERG11_HYR1,5,-2.165814613840706,0.03034889477098604,PCA,7,10.717374917727234,1.1762798478005523e-26,GI
DHH1_LSM3,3,-1.8260556445096494,0.06787168081976164,PCA,5,3.2809915278460453,0.0010379684740169125,GI
MID2_PIN2,2,0.0,1.0,PCA,3,0.43917364139372644,0.660545210721387,GI
SRO9_SGN1,5,-3.476805726672699,0.0005095794162361298,PCA,6,4.884799239208008,1.0513732360181095e-06,GI
ERV25_EMP47,2,0.0,1.0,PCA,1,0.0,1.0,GI
ERV25_ORM2,8,-4.769527797003331,1.872614783582854e-06,PCA,10,17.470603557589452,2.3647926258256507e-67,GI
HNM1_ERG11,5,-2.5089618460948238,0.012124332256355981,PCA,7,-1.9623226060073382,0.049752573063310546,GI
SNA4_VAC8,2,0.0,1.0,PCA,4,-1.6191547352003708,0.10544549620183996,GI
ERG27_ACF2,3,-1.7980653882155928,0.07219679394526234,PCA,5,-1.3095502667774332,0.19037808372902046,GI
HUG1_ADE17,2,0.0,1.0,PCA,2,0.0,1.0,GI
SRO9_DHH1,2,0.0,1.0,PCA,0,0.0,1.0,GI
ALO1_HYR1,2,0.0,1.0,PCA,2,0.0,1.0,GI
SSH1_ERG11,7,-3.8728830162925934,0.00010823953766864507,PCA,7,8.912502869865708,5.858181652840053e-19,GI
ERV25_ERG5,7,-3.2334482553591153,0.0012270160379341572,PCA,6,9.546995858978189,1.6482139672143513e-21,GI
HNM1_MID2,3,-3.2114903466337523,0.0013246619895777758,PCA,6,4.221270659520082,2.450738589395946e-05,GI
ERG11_PIS1,10,-6.253548885572419,4.175590906223504e-10,PCA,13,19.983316291603852,3.7052178981799957e-87,GI
RET2_SNA3,4,-1.649587651659464,0.09905869769876102,PCA,3,-0.6189514213815451,0.5359624595536967,GI
HUG1_ALO1,2,0.0,1.0,PCA,3,-1.3084994275393411,0.1907340378668293,GI
MID2_TPO4,3,-1.8075623609913072,0.07070467413534207,PCA,5,1.684091121952934,0.092195243599482,GI
ERV25_UIP4,4,-3.004012757652963,0.002671036032669611,PCA,3,-0.9669058937088729,0.33361446079187085,GI
SSH1_ERV25,4,-4.352590110022528,1.3587525970762235e-05,PCA,10,-0.798137251211126,0.42480971801170075,GI
ERG11_ACF2,3,-1.8176407746014034,0.06914896338322285,PCA,6,-0.3987526035137098,0.6900840065213683,GI
FMP45_HNM1,3,-1.8074337609793745,0.07072470890770023,PCA,3,-0.6271534283096184,0.5305729844101432,GI
FMP45_MEP1,3,-1.5840510580082796,0.11321371896832857,PCA,4,-1.9319742379921268,0.053390889467643435,GI
RET2_EMP70,3,-1.5950647579351993,0.1107293532185461,PCA,4,-1.0167483899960301,0.3092977278462623,GI
HUG1_PGM2,2,0.0,1.0,PCA,1,0.0,1.0,GI
MID2_RSN1,2,0.0,1.0,PCA,2,0.0,1.0,GI
ERG11_ERV25,3,-0.8843653127702026,0.37652030133065095,PCA,4,-1.2984441467783296,0.19416468801433803,GI
ALO1_UIP4,3,-2.055953453062416,0.039812900391017814,PCA,2,0.0,1.0,GI
SSH1_ORM2,4,-1.281367239112289,0.20009440521240543,PCA,5,-2.106373049507039,0.035196792015719874,GI
ERG11_MID2,8,-4.02801803054176,5.666393034751233e-05,PCA,12,21.059818439897114,2.189648443308442e-96,GI
ADE17_GIS2,2,0.0,1.0,PCA,5,-1.5975769227625407,0.11016873596638264,GI
RET2_EMP47,3,2.838526303911245,0.004541369685933536,PCA,5,0.399756233339916,0.6893446006066691,GI
PMC1_CTR2,3,-2.0494360114687806,0.040445527875635566,PCA,3,-0.6277861008414355,0.5301584062012368,GI
SRO9_GIS2,8,-4.687567911320128,2.801160673117945e-06,PCA,8,16.663531483542133,1.615893864864592e-61,GI
ERV25_PIS1,4,-1.2838044233702581,0.1992401289141359,PCA,4,-1.637428864419365,0.10157234268908868,GI
ERG11_TPO4,4,-1.84398886630736,0.06521431490476359,PCA,4,3.0593838150885864,0.002223796729670235,GI
SSH1_PIS1,4,-1.4443097864836418,0.14868317122903799,PCA,4,-1.3380177333226821,0.18092106845578246,GI
FMP45_MID2,3,-1.8214225975971583,0.06857250270280743,PCA,6,-1.3646248978345807,0.17240164048045128,GI
ERG11_ERG5,3,-1.5953502614761137,0.11066552922309911,PCA,5,4.710993775546233,2.4983101847961665e-06,GI
TPO1_MID2,2,0.0,1.0,PCA,4,0.17387803971644417,0.8619648296506027,GI
PMC1_GTR2,2,0.0,1.0,PCA,5,-0.7800139870975872,0.4354010885609839,GI
HNM1_RBD2,6,3.9260560689807193,8.692868083171657e-05,PCA,8,-4.460614283131626,8.261514383646564e-06,GI
HNM1_MAM33,3,-1.8051496802965326,0.07108132545221496,PCA,6,-3.202435339946404,0.0013669705931298127,GI
ERG11_ORM2,9,-5.349739439804782,9.001984150951373e-08,PCA,13,5.173103159644223,2.3466459444508974e-07,GI
PLM2_HNM1,2,0.0,1.0,PCA,5,-1.8750094749974395,0.060820517219199566,GI
ADE17_HYR1,3,-2.0508984006146376,0.040302841458591664,PCA,4,-0.1658098562321415,0.8683099399253618,GI
TPO1_TPO2,2,0.0,1.0,PCA,3,-1.3382174211372435,0.18085599543799302,GI
ERV25_RBD2,2,0.0,1.0,PCA,1,0.0,1.0,GI
MID2_TPO2,3,-1.808345731282762,0.07058273233040517,PCA,4,-0.4573292297221272,0.6474443543264139,GI
HNM1_TPO1,2,0.0,1.0,PCA,2,0.0,1.0,GI
HNM1_TPO4,3,-1.8285515110155852,0.06749659004932337,PCA,4,1.5871151179546439,0.11251817835818109,GI
PLM2_SNA3,2,0.0,1.0,PCA,1,0.0,1.0,GI
ADE17_PGM2,3,-1.5866919469716128,0.11261404519096356,PCA,3,-0.9887585278386357,0.3228052201237376,GI
TPO1_TCB2,2,0.0,1.0,PCA,1,0.0,1.0,GI
MID2_MAM33,2,0.0,1.0,PCA,2,0.0,1.0,GI
MID2_WSC2,2,0.0,1.0,PCA,2,0.0,1.0,GI
HNM1_TPO2,2,0.0,1.0,PCA,2,0.0,1.0,GI
ALO1_ADE17,4,2.925644281934551,0.0034451634562576786,PCA,5,-1.3457656836321232,0.17840858121704006,GI
