SNP,Chr,Pos,Effect,SE,PMC1_CTR2_MTX_5.FC_avg_logratio_Fitness_minus_ref.GLM,locus_id,name,sgd_id,snps_class_up,snps_class_down,description,genome_annotations
8,1,27243,-0.108755887526962,0.170832846814533,0.524783921751296,YAL063C,FLO9,SGDID:S000000059,CDS,CDS,"""Lectin-like protein with similarity to Flo1p; thought to be expressed and involved in flocculation""",Verified ORF
9,1,27272,-0.0830176960848035,0.168305901824278,0.622139264777468,YAL063C,FLO9,SGDID:S000000059,CDS,CDS,"""Lectin-like protein with similarity to Flo1p; thought to be expressed and involved in flocculation""",Verified ORF
16,1,27843,0.0869874653603026,0.164315128701092,0.59686482430551,YAL063C,FLO9,SGDID:S000000059,CDS,CDS,"""Lectin-like protein with similarity to Flo1p; thought to be expressed and involved in flocculation""",Verified ORF
17,1,27848,0.0869874653603026,0.164315128701092,0.59686482430551,YAL063C,FLO9,SGDID:S000000059,CDS,CDS,"""Lectin-like protein with similarity to Flo1p; thought to be expressed and involved in flocculation""",Verified ORF
18,1,28495,0.0835267674228338,0.16432287798613,0.611554290422408,YAL063C,FLO9,SGDID:S000000059,Close to 3'-UTR,Close to 3'-UTR,"""Lectin-like protein with similarity to Flo1p; thought to be expressed and involved in flocculation""",Verified ORF
19,1,28975,0.0935587367659608,0.163208249851445,0.566842054911686,A:27969-30945,,,Intergenic region,Intergenic region,between YAL063C and ARS104,Intergenic region
26,1,31435,-0.0290658457736559,0.162844233076517,0.858441632155225,YAL062W,GDH3,SGDID:S000000058,Close to 3'-UTR,Close to 3'-UTR,"""NADP(+)-dependent glutamate dehydrogenase; synthesizes glutamate from ammonia and alpha-ketoglutarate; rate of alpha-ketoglutarate utilization differs from Gdh1p; expression regulated by nitrogen and carbon sources; GDH3 has a paralog ; GDH1 ; that arose from the whole genome duplication""",Verified ORF
29,1,36146,-0.131738036027026,0.161860048995108,0.416250409541146,YAL060W,BDH1,SGDID:S000000056,CDS,CDS,"""NAD-dependent (R,R)-butanediol dehydrogenase; catalyzes oxidation of (R,R)-2,3-butanediol to (3R)-acetoin ; oxidation of meso-butanediol to (3S)-acetoin ; and reduction of acetoin; enhances use of 2,3-butanediol as an aerobic carbon source""",Verified ORF
31,1,37409,-0.0752685148801608,0.162838553266529,0.644202690248797,YAL058W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
32,1,37478,-0.0859585466805766,0.162963640853389,0.598198113674807,YAL058W,CNE1,SGDID:S000000054,CDS,CDS,"""Calnexin; integral membrane ER chaperone involved in folding and quality control of glycoproteins; chaperone activity is inhibited by Mpd1p ; with which Cne1p interacts; 24% identical to mammalian calnexin; Ca+ binding not yet shown in yeast""",Verified ORF
33,1,39144,0.0231678242635811,0.162279227590815,0.886557085355352,YAL056W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
34,1,41499,-0.0377259238623014,0.16182131566314,0.815793086036482,YAL056W,GPB2,SGDID:S000000052,CDS,CDS,"""Multistep regulator of cAMP-PKA signaling; inhibits PKA downstream of Gpa2p and Cyr1p ; thereby increasing cAMP dependency; inhibits Ras activity through direct interactions with Ira1p/2p; regulated by G-alpha protein Gpa2p; GPB2 has a paralog ; GPB1 ; that arose from the whole genome duplication""",Verified ORF
37,1,51248,-0.0986487170426839,0.162437777048565,0.544041237651855,YAL051W,OAF1,SGDID:S000000048,CDS,CDS,"""Oleate-activated transcription factor; subunit of a heterodimeric complex with Pip2p ; which binds to oleate-response elements (ORE) in the promoter of genes involved in beta-oxidation of fatty acids ; peroxisome organization and biogenesis ; activating transcription in the presence of oleate; regulates chromatin silencing at telomeres; involved in diauxic shift; OAF1 has a paralog ; PIP2 ; that arose from the whole genome duplication""",Verified ORF
38,1,51462,-0.10245351029751,0.162651610873773,0.529170484037797,YAL051W,OAF1,SGDID:S000000048,CDS,CDS,"""Oleate-activated transcription factor; subunit of a heterodimeric complex with Pip2p ; which binds to oleate-response elements (ORE) in the promoter of genes involved in beta-oxidation of fatty acids ; peroxisome organization and biogenesis ; activating transcription in the presence of oleate; regulates chromatin silencing at telomeres; involved in diauxic shift; OAF1 has a paralog ; PIP2 ; that arose from the whole genome duplication""",Verified ORF
39,1,52124,-0.0260838019527794,0.16251668289395,0.872579637077488,YAL049C,AIM2,SGDID:S000000047,CDS,CDS,"""Cytoplasmic protein involved in mitochondrial function or organization; null mutant displays reduced frequency of mitochondrial genome loss; potential Hsp82p interactor""",Verified ORF
40,1,52667,-0.0984115210002198,0.162177584653971,0.544364871426432,YAL049C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
42,1,59265,-0.0059494475922416,0.162179981489644,0.970757519416818,YAL043C,PTA1,SGDID:S000000041,CDS,CDS,"""Subunit of holo-CPF; holo-CPF is a multiprotein complex and functional homolog of mammalian CPSF ; required for the cleavage and polyadenylation of mRNA and snoRNA 3' ends; involved in pre-tRNA processing; binds to the phosphorylated CTD of RNAPII""",Verified ORF
43,1,60165,-0.0226386048290977,0.162053256720278,0.888977843263967,YAL043C,PTA1,SGDID:S000000041,CDS,CDS,"""Subunit of holo-CPF; holo-CPF is a multiprotein complex and functional homolog of mammalian CPSF ; required for the cleavage and polyadenylation of mRNA and snoRNA 3' ends; involved in pre-tRNA processing; binds to the phosphorylated CTD of RNAPII""",Verified ORF
44,1,62308,-0.0866363172972015,0.161813819233098,0.592705308712054,YAL042W,ERV46,SGDID:S000000040,CDS,CDS,"""Protein localized to COPII-coated vesicles; forms a complex with Erv41p; involved in the membrane fusion stage of transport""",Verified ORF
45,1,62869,-0.0525757884670008,0.161834985091593,0.745469772037442,YAL041W,CDC24,SGDID:S000000039,CDS,CDS,"""Guanine nucleotide exchange factor (GEF) for Cdc42p; required for polarity establishment and maintenance ; and mutants have morphological defects in bud formation and shmooing; relocalizes from nucleus to cytoplasm upon DNA replication stress; thermosensitivity of the cdc24-4 mutant in the presence of sorbitol is functionally complemented by human CDC42""",Verified ORF
49,1,66841,0.0850256008930117,0.161872212594883,0.59972962939213,YAL040C,CLN3,SGDID:S000000038,CDS,CDS,"""G1 cyclin involved in cell cycle progression; activates Cdc28p kinase to promote G1 to S phase transition; plays a role in regulating transcription of other G1 cyclins ; CLN1 and CLN2; regulated by phosphorylation and proteolysis; acetyl-CoA induces CLN3 transcription in response to nutrient repletion to promote cell-cycle entry; cell cycle arrest phenotype of the cln1 cln2 cln3 triple null mutant is complemented by any of human cyclins CCNA2 ; CCNB1 ; CCNC ; CCND1 ; or CCNE1""",Verified ORF
