SNP,Chr,Pos,Effect,SE,ERV25_ORM2_noMTX_Metformin_avg_logratio_Fitness_minus_ref.GLM,locus_id,name,sgd_id,snps_class_up,snps_class_down,description,genome_annotations
8,1,27243,-0.0155165662722325,0.0795415679152886,0.845446512732994,YAL063C,FLO9,SGDID:S000000059,CDS,CDS,"""Lectin-like protein with similarity to Flo1p; thought to be expressed and involved in flocculation""",Verified ORF
9,1,27272,-0.126902119958538,0.0780595839435698,0.104904098469988,YAL063C,FLO9,SGDID:S000000059,CDS,CDS,"""Lectin-like protein with similarity to Flo1p; thought to be expressed and involved in flocculation""",Verified ORF
16,1,27843,0.0098343297321933,0.0764956474592097,0.897778521913913,YAL063C,FLO9,SGDID:S000000059,CDS,CDS,"""Lectin-like protein with similarity to Flo1p; thought to be expressed and involved in flocculation""",Verified ORF
17,1,27848,0.0098343297321933,0.0764956474592097,0.897778521913913,YAL063C,FLO9,SGDID:S000000059,CDS,CDS,"""Lectin-like protein with similarity to Flo1p; thought to be expressed and involved in flocculation""",Verified ORF
18,1,28495,0.0113354463679746,0.0764962977068956,0.882283002388741,YAL063C,FLO9,SGDID:S000000059,Close to 3'-UTR,Close to 3'-UTR,"""Lectin-like protein with similarity to Flo1p; thought to be expressed and involved in flocculation""",Verified ORF
19,1,28975,0.0220407182393405,0.0759782711144611,0.771915888888173,A:27969-30945,,,Intergenic region,Intergenic region,between YAL063C and ARS104,Intergenic region
26,1,31435,0.0218645421531744,0.0757770651156079,0.773104509633693,YAL062W,GDH3,SGDID:S000000058,Close to 3'-UTR,Close to 3'-UTR,"""NADP(+)-dependent glutamate dehydrogenase; synthesizes glutamate from ammonia and alpha-ketoglutarate; rate of alpha-ketoglutarate utilization differs from Gdh1p; expression regulated by nitrogen and carbon sources; GDH3 has a paralog ; GDH1 ; that arose from the whole genome duplication""",Verified ORF
29,1,36146,-0.0178082811349192,0.0753892577875727,0.813400704120737,YAL060W,BDH1,SGDID:S000000056,CDS,CDS,"""NAD-dependent (R,R)-butanediol dehydrogenase; catalyzes oxidation of (R,R)-2,3-butanediol to (3R)-acetoin ; oxidation of meso-butanediol to (3S)-acetoin ; and reduction of acetoin; enhances use of 2,3-butanediol as an aerobic carbon source""",Verified ORF
31,1,37409,0.0109228659345433,0.0758006378488712,0.885503796803364,YAL058W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
32,1,37478,0.0125078009647561,0.0758651096039708,0.869141501724667,YAL058W,CNE1,SGDID:S000000054,CDS,CDS,"""Calnexin; integral membrane ER chaperone involved in folding and quality control of glycoproteins; chaperone activity is inhibited by Mpd1p ; with which Cne1p interacts; 24% identical to mammalian calnexin; Ca+ binding not yet shown in yeast""",Verified ORF
33,1,39144,0.01078377802,0.0755196442215954,0.886534074647867,YAL056W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
34,1,41499,-0.0317858386589164,0.0752933402567894,0.673165213162755,YAL056W,GPB2,SGDID:S000000052,CDS,CDS,"""Multistep regulator of cAMP-PKA signaling; inhibits PKA downstream of Gpa2p and Cyr1p ; thereby increasing cAMP dependency; inhibits Ras activity through direct interactions with Ira1p/2p; regulated by G-alpha protein Gpa2p; GPB2 has a paralog ; GPB1 ; that arose from the whole genome duplication""",Verified ORF
37,1,51248,0.0250846898034489,0.0756211236534248,0.740301040386385,YAL051W,OAF1,SGDID:S000000048,CDS,CDS,"""Oleate-activated transcription factor; subunit of a heterodimeric complex with Pip2p ; which binds to oleate-response elements (ORE) in the promoter of genes involved in beta-oxidation of fatty acids ; peroxisome organization and biogenesis ; activating transcription in the presence of oleate; regulates chromatin silencing at telomeres; involved in diauxic shift; OAF1 has a paralog ; PIP2 ; that arose from the whole genome duplication""",Verified ORF
38,1,51462,0.0352282209288799,0.0757122539799633,0.642010077118103,YAL051W,OAF1,SGDID:S000000048,CDS,CDS,"""Oleate-activated transcription factor; subunit of a heterodimeric complex with Pip2p ; which binds to oleate-response elements (ORE) in the promoter of genes involved in beta-oxidation of fatty acids ; peroxisome organization and biogenesis ; activating transcription in the presence of oleate; regulates chromatin silencing at telomeres; involved in diauxic shift; OAF1 has a paralog ; PIP2 ; that arose from the whole genome duplication""",Verified ORF
39,1,52124,-0.0195358819187361,0.0756257610440069,0.796308097421447,YAL049C,AIM2,SGDID:S000000047,CDS,CDS,"""Cytoplasmic protein involved in mitochondrial function or organization; null mutant displays reduced frequency of mitochondrial genome loss; potential Hsp82p interactor""",Verified ORF
40,1,52667,-0.0502631730711422,0.0754642926566075,0.5058126311017,YAL049C_NFR/NDR,,,Promoter,Promoter,stable,Promoter
42,1,59265,0.111741907419748,0.0752389056265607,0.138393565592643,YAL043C,PTA1,SGDID:S000000041,CDS,CDS,"""Subunit of holo-CPF; holo-CPF is a multiprotein complex and functional homolog of mammalian CPSF ; required for the cleavage and polyadenylation of mRNA and snoRNA 3' ends; involved in pre-tRNA processing; binds to the phosphorylated CTD of RNAPII""",Verified ORF
43,1,60165,0.144571897554092,0.0750229918400847,0.0547776453123753,YAL043C,PTA1,SGDID:S000000041,CDS,CDS,"""Subunit of holo-CPF; holo-CPF is a multiprotein complex and functional homolog of mammalian CPSF ; required for the cleavage and polyadenylation of mRNA and snoRNA 3' ends; involved in pre-tRNA processing; binds to the phosphorylated CTD of RNAPII""",Verified ORF
44,1,62308,0.0180939144571405,0.0753274723574011,0.810312013299259,YAL042W,ERV46,SGDID:S000000040,CDS,CDS,"""Protein localized to COPII-coated vesicles; forms a complex with Erv41p; involved in the membrane fusion stage of transport""",Verified ORF
45,1,62869,-0.0356157568437098,0.0753003096731113,0.636517722587575,YAL041W,CDC24,SGDID:S000000039,CDS,CDS,"""Guanine nucleotide exchange factor (GEF) for Cdc42p; required for polarity establishment and maintenance ; and mutants have morphological defects in bud formation and shmooing; relocalizes from nucleus to cytoplasm upon DNA replication stress; thermosensitivity of the cdc24-4 mutant in the presence of sorbitol is functionally complemented by human CDC42""",Verified ORF
