SNP,Chr,Pos,Effect,SE,MID2_TPO4_MTX_Fluconazole_avg_logratio_Fitness_minus_ref.GLM,locus_id,name,sgd_id,snps_class_up,snps_class_down,description,genome_annotations
8,1,27243,0.228392730535668,0.168720793829524,0.176706907974096,YAL063C,FLO9,SGDID:S000000059,CDS,CDS,"""Lectin-like protein with similarity to Flo1p; thought to be expressed and involved in flocculation""",Verified ORF
9,1,27272,0.169036060298057,0.166374691706055,0.310327025986193,YAL063C,FLO9,SGDID:S000000059,CDS,CDS,"""Lectin-like protein with similarity to Flo1p; thought to be expressed and involved in flocculation""",Verified ORF
16,1,27843,0.0388932718578102,0.162662364377208,0.811163461798512,YAL063C,FLO9,SGDID:S000000059,CDS,CDS,"""Lectin-like protein with similarity to Flo1p; thought to be expressed and involved in flocculation""",Verified ORF
17,1,27848,0.0388932718578102,0.162662364377208,0.811163461798512,YAL063C,FLO9,SGDID:S000000059,CDS,CDS,"""Lectin-like protein with similarity to Flo1p; thought to be expressed and involved in flocculation""",Verified ORF
18,1,28495,0.0683476155891662,0.162637491326288,0.674562069155246,YAL063C,FLO9,SGDID:S000000059,Close to 3'-UTR,Close to 3'-UTR,"""Lectin-like protein with similarity to Flo1p; thought to be expressed and involved in flocculation""",Verified ORF
19,1,28975,0.0880141265108755,0.161522843151923,0.586164976485394,A:27969-30945,,,Intergenic region,Intergenic region,between YAL063C and ARS104,Intergenic region
26,1,31435,-0.0189504010888255,0.161159472650073,0.906461083403055,YAL062W,GDH3,SGDID:S000000058,Close to 3'-UTR,Close to 3'-UTR,"""NADP(+)-dependent glutamate dehydrogenase; synthesizes glutamate from ammonia and alpha-ketoglutarate; rate of alpha-ketoglutarate utilization differs from Gdh1p; expression regulated by nitrogen and carbon sources; GDH3 has a paralog ; GDH1 ; that arose from the whole genome duplication""",Verified ORF
29,1,36146,-0.131533444165583,0.160178689549187,0.412105407352189,YAL060W,BDH1,SGDID:S000000056,CDS,CDS,"""NAD-dependent (R,R)-butanediol dehydrogenase; catalyzes oxidation of (R,R)-2,3-butanediol to (3R)-acetoin ; oxidation of meso-butanediol to (3S)-acetoin ; and reduction of acetoin; enhances use of 2,3-butanediol as an aerobic carbon source""",Verified ORF
31,1,37409,-0.0716822113160266,0.161153340652565,0.65673149478412,YAL058W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
32,1,37478,-0.0281627621616158,0.161330106200708,0.861520688893676,YAL058W,CNE1,SGDID:S000000054,CDS,CDS,"""Calnexin; integral membrane ER chaperone involved in folding and quality control of glycoproteins; chaperone activity is inhibited by Mpd1p ; with which Cne1p interacts; 24% identical to mammalian calnexin; Ca+ binding not yet shown in yeast""",Verified ORF
