SNP,Chr,Pos,Effect,SE,ERG11_ACF2_noMTX_5.FC_avg_logratio_Fitness_minus_ref.GLM,locus_id,name,sgd_id,snps_class_up,snps_class_down,description,genome_annotations
8,1,27243,-0.0585637075537555,0.0611271985566216,0.338686691608251,YAL063C,FLO9,SGDID:S000000059,CDS,CDS,"""Lectin-like protein with similarity to Flo1p; thought to be expressed and involved in flocculation""",Verified ORF
9,1,27272,-0.0908951810808254,0.0600930105683822,0.131282401390001,YAL063C,FLO9,SGDID:S000000059,CDS,CDS,"""Lectin-like protein with similarity to Flo1p; thought to be expressed and involved in flocculation""",Verified ORF
16,1,27843,0.0140984070004357,0.0588562296102557,0.81082609619316,YAL063C,FLO9,SGDID:S000000059,CDS,CDS,"""Lectin-like protein with similarity to Flo1p; thought to be expressed and involved in flocculation""",Verified ORF
17,1,27848,0.0140984070004357,0.0588562296102557,0.81082609619316,YAL063C,FLO9,SGDID:S000000059,CDS,CDS,"""Lectin-like protein with similarity to Flo1p; thought to be expressed and involved in flocculation""",Verified ORF
18,1,28495,0.0393827559772178,0.0588246314399807,0.503617864031639,YAL063C,FLO9,SGDID:S000000059,Close to 3'-UTR,Close to 3'-UTR,"""Lectin-like protein with similarity to Flo1p; thought to be expressed and involved in flocculation""",Verified ORF
19,1,28975,0.0295383406847778,0.0584473664785524,0.6136048310379,A:27969-30945,,,Intergenic region,Intergenic region,between YAL063C and ARS104,Intergenic region
26,1,31435,0.0417346206407366,0.0582712735965388,0.474333613171317,YAL062W,GDH3,SGDID:S000000058,Close to 3'-UTR,Close to 3'-UTR,"""NADP(+)-dependent glutamate dehydrogenase; synthesizes glutamate from ammonia and alpha-ketoglutarate; rate of alpha-ketoglutarate utilization differs from Gdh1p; expression regulated by nitrogen and carbon sources; GDH3 has a paralog ; GDH1 ; that arose from the whole genome duplication""",Verified ORF
29,1,36146,-0.003776414558294,0.0580125588951675,0.948134015767026,YAL060W,BDH1,SGDID:S000000056,CDS,CDS,"""NAD-dependent (R,R)-butanediol dehydrogenase; catalyzes oxidation of (R,R)-2,3-butanediol to (3R)-acetoin ; oxidation of meso-butanediol to (3S)-acetoin ; and reduction of acetoin; enhances use of 2,3-butanediol as an aerobic carbon source""",Verified ORF
31,1,37409,0.0085364854413389,0.0583248050295876,0.883719842534432,YAL058W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
32,1,37478,-0.0093760947801179,0.0583745814831541,0.872484990134497,YAL058W,CNE1,SGDID:S000000054,CDS,CDS,"""Calnexin; integral membrane ER chaperone involved in folding and quality control of glycoproteins; chaperone activity is inhibited by Mpd1p ; with which Cne1p interacts; 24% identical to mammalian calnexin; Ca+ binding not yet shown in yeast""",Verified ORF
33,1,39144,-0.0829634267391589,0.0579423134644291,0.153077864546011,YAL056W_NFR/NDR,,,Promoter,Promoter,stable,Promoter
