snp_id,snps_annotations
8,ORF_XUT
9,ORF_XUT
10,ORF_XUT
11,ORF_XUT
12,ORF_XUT
13,ORF_XUT
14,ORF_XUT
15,ORF_XUT
16,ORF_XUT
17,ORF_XUT
18,SUT
19,SUT
20,SUT_XUT
21,SUT
23,XUT
24,CUT_XUT
25,CUT_XUT
27,XUT
28,XUT
29,ORF_CUT
32,ORF
34,ORF
35,XUT
37,ORF
38,ORF
39,ORF
41,ORF
42,ORF
43,ORF
44,ORF
45,ORF
46,XUT
47,XUT
48,XUT
49,ORF
50,ORF
52,ORF_SUT_XUT
56,ORF_XUT
57,ORF_XUT
58,ORF
59,ORF
60,ORF
61,ORF
65,ORF
66,ORF
67,ORF
68,ORF
69,ORF
72,ORF
73,ORF
74,ORF
75,ORF
76,ORF
77,ORF
78,ORF
79,ORF
82,ORF
83,ORF
84,ORF
85,ORF
86,ORF
87,ORF
88,ORF
89,ORF
90,ORF
91,ORF
93,ORF
94,ORF
95,ORF
96,ORF
97,ORF
98,ORF
101,ORF
102,ORF
103,ORF
104,ORF
105,ORF
106,ORF
108,ORF
110,ORF
114,ORF
115,ORF
116,ORF_CUT
117,ORF_CUT
118,ORF
119,ORF
120,ORF
121,ORF
122,ORF
139,XUT
140,ORF
141,ORF
142,ORF
145,ORF
146,ORF
147,ORF
148,ORF
156,XUT
157,ORF
158,ORF_XUT
165,ORF
166,ORF_SUT
171,ORF
172,ORF
173,ORF
174,ORF
175,XUT
176,XUT
177,SUT_XUT
178,ORF_XUT
179,ORF_XUT
183,ORF
184,ORF
185,ORF
186,ORF
187,ORF
188,ORF
189,ORF
190,ORF
191,ORF
192,ORF
193,ORF
199,ORF
200,ORF_XUT
201,ORF_XUT
202,ORF_XUT
203,ORF_XUT
204,ORF_XUT
205,ORF
206,ORF
208,ORF
209,ORF
210,ORF
212,ORF
213,ORF
214,ORF
215,ORF
216,ORF
217,ORF
219,XUT
220,XUT
221,ORF
222,ORF
223,SUT
224,ORF
225,ORF
226,ORF
227,ORF
228,ORF
229,ORF
238,ORF
243,ORF
247,ORF
250,ORF
251,ORF
252,ORF
253,ORF
258,ORF
259,ORF
260,ORF
264,ORF
265,ORF
266,ORF
267,ORF
272,ORF
273,ORF
274,ORF
275,ORF
276,ORF
277,ORF
278,ORF
279,ORF
280,ORF
281,ORF
282,ORF
286,ORF
287,ORF
288,ORF
289,ORF
290,ORF
291,ORF
294,ORF
295,ORF
296,ORF
297,ORF
299,ORF
300,ORF
302,ORF
303,ORF
307,ORF
308,ORF
311,ORF
312,ORF
313,ORF
314,ORF
317,ORF
318,ORF
322,ORF_CUT
323,ORF
327,ORF_XUT
328,ORF
329,ORF
332,ORF
333,ORF
334,ORF
335,XUT
336,ORF
339,ORF
340,ORF
343,XUT
344,ORF_SUT_XUT
