locus_id,name,sgd_id,chrom,start,end
YAL069W,YAL069W,SGDID:S000002143,CHR_1,335,649
YAL068W-A,YAL068W-A,SGDID:S000028594,CHR_1,538,792
YAL068C,PAU8,SGDID:S000002142,CHR_1,1807,2169
YAL067W-A,YAL067W-A,SGDID:S000028593,CHR_1,2480,2707
YAL067C,SEO1,SGDID:S000000062,CHR_1,7235,9016
YAL066W,YAL066W,SGDID:S000000061,CHR_1,10091,10399
YAL065C,YAL065C,SGDID:S000001817,CHR_1,11565,11951
YAL064W-B,YAL064W-B,SGDID:S000002141,CHR_1,12046,12426
YAL064C-A,TDA8,SGDID:S000002140,CHR_1,13363,13743
YAL064W,YAL064W,SGDID:S000000060,CHR_1,21566,21850
YAL063C-A,YAL063C-A,SGDID:S000028813,CHR_1,22395,22685
YAL063C,FLO9,SGDID:S000000059,CHR_1,24000,27968
YAL062W,GDH3,SGDID:S000000058,CHR_1,31567,32940
YAL061W,BDH2,SGDID:S000000057,CHR_1,33448,34701
YAL060W,BDH1,SGDID:S000000056,CHR_1,35155,36303
YAL059C-A,YAL059C-A,SGDID:S000028734,CHR_1,36496,36918
YAL059W,ECM1,SGDID:S000000055,CHR_1,36509,37147
YAL058W,CNE1,SGDID:S000000054,CHR_1,37464,38972
YAL056C-A,YAL056C-A,SGDID:S000002139,CHR_1,38696,39046
YAL056W,GPB2,SGDID:S000000052,CHR_1,39259,41901
YAL055W,PEX22,SGDID:S000000051,CHR_1,42177,42719
YAL054C,ACS1,SGDID:S000000050,CHR_1,42881,45022
YAL053W,FLC2,SGDID:S000000049,CHR_1,45899,48250
YAL051W,OAF1,SGDID:S000000048,CHR_1,48564,51707
YAL049C,AIM2,SGDID:S000000047,CHR_1,51855,52595
YAL048C,GEM1,SGDID:S000000046,CHR_1,52801,54789
YAL047W-A,YAL047W-A,SGDID:S000028733,CHR_1,54584,54913
YAL047C,SPC72,SGDID:S000000045,CHR_1,54989,56857
YAL046C,BOL3,SGDID:S000000044,CHR_1,57029,57385
YAL045C,YAL045C,SGDID:S000000043,CHR_1,57488,57796
YAL044W-A,BOL1,SGDID:S000007586,CHR_1,57518,57850
YAL044C,GCV3,SGDID:S000000042,CHR_1,57950,58462
YAL043C,PTA1,SGDID:S000000041,CHR_1,58695,61052
YAL042C-A,YAL042C-A,SGDID:S000002138,CHR_1,61231,61608
