,SNP,SNPs_localization,GENE,snps_class_down,CLOSEST_GENE,description
0,1.0,X1L_NFR/NDR,,Promoter,,
1,2.0,X1L_NFR/NDR,,Promoter,,
2,3.0,YAL069W,YAL069W,Close to 3'-UTR,YAL069W,"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data"""
3,4.0,YAL069W,YAL069W,Close to 3'-UTR,YAL069W,"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data"""
4,5.0,YAL069W,YAL069W,Close to 3'-UTR,YAL069W,"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data"""
5,6.0,YAL069W,YAL069W,Close to 3'-UTR,YAL069W,"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data"""
6,7.0,YAL064W_NFR/NDR,,Promoter,YAL064W,"""Protein of unknown function; may interact with ribosomes ; based on co-purification experiments"""
7,8.0,YAL063C,FLO9,Verified ORF,FLO9,"""Lectin-like protein with similarity to Flo1p; thought to be expressed and involved in flocculation"""
8,9.0,YAL063C,FLO9,Verified ORF,FLO9,"""Lectin-like protein with similarity to Flo1p; thought to be expressed and involved in flocculation"""
9,10.0,YAL063C,FLO9,Verified ORF,FLO9,"""Lectin-like protein with similarity to Flo1p; thought to be expressed and involved in flocculation"""
10,11.0,YAL063C,FLO9,Verified ORF,FLO9,"""Lectin-like protein with similarity to Flo1p; thought to be expressed and involved in flocculation"""
11,12.0,YAL063C,FLO9,Verified ORF,FLO9,"""Lectin-like protein with similarity to Flo1p; thought to be expressed and involved in flocculation"""
12,13.0,YAL063C,FLO9,Verified ORF,FLO9,"""Lectin-like protein with similarity to Flo1p; thought to be expressed and involved in flocculation"""
13,14.0,YAL063C,FLO9,Verified ORF,FLO9,"""Lectin-like protein with similarity to Flo1p; thought to be expressed and involved in flocculation"""
14,15.0,YAL063C,FLO9,Verified ORF,FLO9,"""Lectin-like protein with similarity to Flo1p; thought to be expressed and involved in flocculation"""
15,16.0,YAL063C,FLO9,Verified ORF,FLO9,"""Lectin-like protein with similarity to Flo1p; thought to be expressed and involved in flocculation"""
16,17.0,YAL063C,FLO9,Verified ORF,FLO9,"""Lectin-like protein with similarity to Flo1p; thought to be expressed and involved in flocculation"""
17,18.0,YAL063C,FLO9,Close to 3'-UTR,FLO9,"""Lectin-like protein with similarity to Flo1p; thought to be expressed and involved in flocculation"""
18,19.0,A:27969-30945,,Intergenic region,,
19,20.0,A:27969-30945,,Intergenic region,,
20,21.0,XUT_1F-15_NFR/NDR,,Promoter,,
21,22.0,XUT_1F-15_NFR/NDR,,Promoter,,
22,23.0,XUT_1F-15,,XUT,,
23,24.0,XUT_1F-15,,XUT,,
24,25.0,XUT_1F-15,,XUT,,
25,26.0,YAL062W,GDH3,Close to 3'-UTR,GDH3,"""NADP(+)-dependent glutamate dehydrogenase; synthesizes glutamate from ammonia and alpha-ketoglutarate; rate of alpha-ketoglutarate utilization differs from Gdh1p; expression regulated by nitrogen and carbon sources; GDH3 has a paralog ; GDH1 ; that arose from the whole genome duplication"""
26,27.0,YAL061W,BDH2,Close to 3'-UTR,BDH2,"""Putative medium-chain alcohol dehydrogenase with similarity to BDH1; transcription induced by constitutively active PDR1 and PDR3"""
27,28.0,YAL061W,BDH2,Close to 3'-UTR,BDH2,"""Putative medium-chain alcohol dehydrogenase with similarity to BDH1; transcription induced by constitutively active PDR1 and PDR3"""
28,29.0,YAL060W,BDH1,Verified ORF,BDH1,"""NAD-dependent (R,R)-butanediol dehydrogenase; catalyzes oxidation of (R,R)-2,3-butanediol to (3R)-acetoin ; oxidation of meso-butanediol to (3S)-acetoin ; and reduction of acetoin; enhances use of 2,3-butanediol as an aerobic carbon source"""
