CHR	BP	SNP	N	P	P(R)	OR	OR(R)	I	snps_class_up	locus_id	name	description
1	1025	1	62	4.846e-14	4.846e-14	0.1247	0.1247	0.0	Promoter	X1L_NFR/NDR		
1	1035	2	62	2.292e-08	2.292e-08	0.0936	0.0936	0.0	Promoter	X1L_NFR/NDR		
1	1074	3	62	3.841e-06	3.841e-06	0.1307	0.1307	0.0	Close to 3'-UTR	YAL069W	YAL069W	"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data"""
1	1470	4	62	1.358e-07	1.358e-07	-0.1485	-0.1485	0.0	Close to 3'-UTR	YAL069W	YAL069W	"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data"""
1	1475	5	62	0.3348	0.3348	0.0201	0.0201	0.0	Close to 3'-UTR	YAL069W	YAL069W	"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data"""
1	1491	6	62	0.692	0.692	0.0072	0.0072	0.0	Close to 3'-UTR	YAL069W	YAL069W	"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data"""
1	21249	7	62	8.535e-10	8.535e-10	0.641	0.641	0.0	Promoter	YAL064W_NFR/NDR		fragile
1	27243	8	62	0.0008786	0.0008786	0.0475	0.0475	0.0	ORF	YAL063C	FLO9	"""Lectin-like protein with similarity to Flo1p; thought to be expressed and involved in flocculation"""
1	27272	9	62	0.07085	0.07085	0.0254	0.0254	0.0	ORF	YAL063C	FLO9	"""Lectin-like protein with similarity to Flo1p; thought to be expressed and involved in flocculation"""
1	27498	10	62	9.73e-07	9.73e-07	-0.6281	-0.6281	0.0	ORF	YAL063C	FLO9	"""Lectin-like protein with similarity to Flo1p; thought to be expressed and involved in flocculation"""
1	27561	11	62	4.128e-08	4.128e-08	-0.5314	-0.5314	0.0	ORF	YAL063C	FLO9	"""Lectin-like protein with similarity to Flo1p; thought to be expressed and involved in flocculation"""
1	27816	12	62	0.8264	0.8264	0.0031	0.0031	0.0	ORF	YAL063C	FLO9	"""Lectin-like protein with similarity to Flo1p; thought to be expressed and involved in flocculation"""
1	27822	13	62	0.9644	0.9644	0.0006	0.0006	0.0	ORF	YAL063C	FLO9	"""Lectin-like protein with similarity to Flo1p; thought to be expressed and involved in flocculation"""
1	27823	14	62	0.6127	0.6127	-0.0074	-0.0074	0.0	ORF	YAL063C	FLO9	"""Lectin-like protein with similarity to Flo1p; thought to be expressed and involved in flocculation"""
1	27825	15	62	0.949	0.949	-0.0009	-0.0009	0.0	ORF	YAL063C	FLO9	"""Lectin-like protein with similarity to Flo1p; thought to be expressed and involved in flocculation"""
1	27843	16	62	0.274	0.274	-0.015	-0.015	0.0	ORF	YAL063C	FLO9	"""Lectin-like protein with similarity to Flo1p; thought to be expressed and involved in flocculation"""
1	27848	17	62	0.274	0.274	-0.015	-0.015	0.0	ORF	YAL063C	FLO9	"""Lectin-like protein with similarity to Flo1p; thought to be expressed and involved in flocculation"""
1	28495	18	62	0.0006725	0.0006725	0.0466	0.0466	0.0	Close to 3'-UTR	YAL063C	FLO9	"""Lectin-like protein with similarity to Flo1p; thought to be expressed and involved in flocculation"""
