 CHR          BP            SNP   N           P        P(R)      OR   OR(R)       Q       I
   1        1025              1  62   4.846e-14   4.846e-14  0.1247  0.1247  1.0000    0.00
   1        1035              2  62   2.292e-08   2.292e-08  0.0936  0.0936  1.0000    0.00
   1        1074              3  62   3.841e-06   3.841e-06  0.1307  0.1307  0.9999    0.00
   1        1470              4  62   1.358e-07   1.358e-07 -0.1485 -0.1485  0.9974    0.00
   1        1475              5  62      0.3348      0.3348  0.0201  0.0201  0.9997    0.00
   1        1491              6  62       0.692       0.692  0.0072  0.0072  0.9998    0.00
   1       21249              7  62   8.535e-10   8.535e-10  0.6410  0.6410  1.0000    0.00
   1       27243              8  62   0.0008786   0.0008786  0.0475  0.0475  1.0000    0.00
   1       27272              9  62     0.07085     0.07085  0.0254  0.0254  1.0000    0.00
   1       27498             10  62    9.73e-07    9.73e-07 -0.6281 -0.6281  1.0000    0.00
   1       27561             11  62   4.128e-08   4.128e-08 -0.5314 -0.5314  1.0000    0.00
   1       27816             12  62      0.8264      0.8264  0.0031  0.0031  1.0000    0.00
   1       27822             13  62      0.9644      0.9644  0.0006  0.0006  1.0000    0.00
   1       27823             14  62      0.6127      0.6127 -0.0074 -0.0074  1.0000    0.00
   1       27825             15  62       0.949       0.949 -0.0009 -0.0009  1.0000    0.00
   1       27843             16  62       0.274       0.274 -0.0150 -0.0150  1.0000    0.00
   1       27848             17  62       0.274       0.274 -0.0150 -0.0150  1.0000    0.00
   1       28495             18  62   0.0006725   0.0006725  0.0466  0.0466  1.0000    0.00
   1       28975             19  62      0.1524      0.1524  0.0195  0.0195  1.0000    0.00
   1       29283             20  62   2.683e-12   2.683e-12 -0.2134 -0.2134  0.9997    0.00
   1       29752             21  62   1.288e-12   1.288e-12  0.2256  0.2256  0.9973    0.00
   1       29787             22  62   1.805e-37   1.805e-37 -1.0981 -1.0981  0.8115    0.00
   1       30057             23  62    0.005119    0.005119  0.0782  0.0782  0.9984    0.00
   1       30479             24  62    9.35e-12    9.35e-12 -0.5573 -0.5573  0.9997    0.00
   1       30706             25  62      0.4865      0.4865  0.0098  0.0098  1.0000    0.00
   1       31435             26  62       0.208       0.208  0.0171  0.0171  1.0000    0.00
   1       35128             27  62   1.335e-07   1.335e-07  0.0987  0.0987  0.9747    0.00
   1       35129             28  62      0.4834      0.4834  0.0132  0.0132  1.0000    0.00
   1       36146             29  62    0.006357    0.006357 -0.0369 -0.0369  1.0000    0.00
   1       37255             30  62     0.08163     0.08163  0.0475  0.0475  1.0000    0.00
   1       37409             31  62     0.07194     0.07194  0.0245  0.0245  1.0000    0.00
   1       37478             32  62      0.5827      0.5827  0.0075  0.0075  1.0000    0.00
   1       39144             33  62   6.095e-05   6.095e-05 -0.0543 -0.0543  1.0000    0.00
   1       41499             34  62   5.191e-05   5.191e-05  0.0546  0.0546  1.0000    0.00
   1       45359             35  62   2.446e-28   2.446e-28  0.2502  0.2502  0.9972    0.00
   1       45634             36  62     0.00742     0.00742 -0.0559 -0.0559  0.9978    0.00
   1       51248             37  62   7.681e-12   7.681e-12 -0.0927 -0.0927  0.9994    0.00
   1       51462             38  62   1.813e-11   1.813e-11  0.0912  0.0912  0.9999    0.00
   1       52124             39  62   1.732e-11   1.732e-11 -0.0912 -0.0912  0.9999    0.00
   1       52667             40  62   1.495e-25   1.495e-25  0.1412  0.1412  1.0000    0.00
   1       55470             41  62   2.846e-18   2.846e-18  0.1211  0.1211  1.0000    0.00
   1       59265             42  62      0.0284      0.0284 -0.0297 -0.0297  1.0000    0.00
   1       60165             43  62     0.05066     0.05066 -0.0264 -0.0264  1.0000    0.00
   1       62308             44  62   6.958e-09   6.958e-09 -0.0782 -0.0782  0.9988    0.00
   1       62869             45  62   1.128e-07   1.128e-07 -0.0716 -0.0716  0.9945    0.00
   1       65431             46  62   4.895e-05   4.895e-05 -0.0573 -0.0573  0.9602    0.00
   1       65451             47  62    0.006608    0.006608 -0.0378 -0.0378  0.9700    0.00
   1       65719             48  62     0.01801     0.01801 -0.0343 -0.0343  0.9992    0.00
   1       66841             49  62     0.05975     0.05975 -0.0254 -0.0254  0.9982    0.00
   1       66948             50  62    0.001162    0.001162 -0.0442 -0.0442  0.9953    0.00
   1       68621             51  62   7.422e-24   7.422e-24 -0.1363 -0.1363  0.9209    0.00
   1       69417             52  62   4.267e-16   4.267e-16 -0.1098 -0.1098  0.9999    0.00
   1       69820             53  62   3.684e-18   3.684e-18 -0.4590 -0.4590  0.9840    0.00
   1       69821             54  62   3.461e-11   3.461e-11 -0.2174 -0.2174  0.9460    0.00
   1       70906             55  62    0.002552    0.002552  0.0655  0.0655  1.0000    0.00
   1       74327             56  62   1.141e-09   1.141e-09 -0.0827 -0.0827  0.9999    0.00
   1       74572             57  62   4.257e-08   4.257e-08 -0.0743 -0.0743  1.0000    0.00
   1       75211             58  62   1.043e-06   1.043e-06 -0.0661 -0.0661  1.0000    0.00
   1       76030             59  62    0.001825    0.001825 -0.0422 -0.0422  1.0000    0.00
   1       80108             60  62   5.892e-19   5.892e-19 -0.1202 -0.1202  1.0000    0.00
   1       81262             61  62   3.845e-16   3.845e-16 -0.1100 -0.1100  1.0000    0.00
   1       81999             62  62   4.056e-31   4.056e-31 -0.1569 -0.1569  1.0000    0.00
   1       82431             63  62   1.066e-36   1.066e-36 -0.1718 -0.1718  1.0000    0.00
   1       83284             64  62   1.358e-21   1.358e-21 -0.1289 -0.1289  1.0000    0.00
   1       83613             65  62   4.712e-13   4.712e-13 -0.0977 -0.0977  1.0000    0.00
   1       84112             66  62   2.884e-15   2.884e-15 -0.1067 -0.1067  0.9999    0.00
   1       84701             67  62    1.32e-07    1.32e-07 -0.0764 -0.0764  0.9998    0.00
   1       84858             68  62     0.09574     0.09574 -0.0226 -0.0226  1.0000    0.00
   1       85751             69  62   1.238e-08   1.238e-08  0.0775  0.0775  1.0000    0.00
   1       87445             70  62   1.003e-05   1.003e-05 -0.0603 -0.0603  1.0000    0.00
   1       87467             71  62    8.11e-13    8.11e-13 -0.0981 -0.0981  0.9996    0.00
   1       89070             72  62   1.054e-09   1.054e-09 -0.0831 -0.0831  0.9965    0.00
   1       89616             73  62    0.006451    0.006451  0.0369  0.0369  0.9999    0.00
   1       89679             74  62   1.143e-05   1.143e-05 -0.0595 -0.0595  0.9993    0.00
   1       89880             75  62   0.0001021   0.0001021 -0.0527 -0.0527  0.9998    0.00
   1       91472             76  62   0.0006958   0.0006958 -0.0464 -0.0464  1.0000    0.00
   1       93789             77  62    0.001048    0.001048 -0.0443 -0.0443  0.9999    0.00
   1       94351             78  62   2.259e-07   2.259e-07  0.0702  0.0702  0.9999    0.00
   1       99148             79  62   7.035e-07   7.035e-07  0.0671  0.0671  1.0000    0.00
   1      101281             80  62   1.972e-12   1.972e-12 -1.0401 -1.0401  1.0000    0.00
   1      106011             81  62   1.002e-07   1.002e-07 -0.0750 -0.0750  0.9869    0.00
   1      106800             82  62   1.749e-07   1.749e-07 -0.0707 -0.0707  0.9806    0.00
   1      107970             83  62   0.0008473   0.0008473 -0.0451 -0.0451  0.9951    0.00
   1      109000             84  62   3.098e-06   3.098e-06 -0.0631 -0.0631  0.9998    0.00
   1      112549             85  62   1.428e-08   1.428e-08 -0.0766 -0.0766  0.9990    0.00
   1      112742             86  62     0.00144     0.00144 -0.0432 -0.0432  0.9907    0.00
   1      113050             87  62    0.001077    0.001077 -0.0443 -0.0443  0.9872    0.00
   1      113135             88  62    1.12e-06    1.12e-06 -0.0658 -0.0658  0.9974    0.00
   1      114076             89  62     0.01937     0.01937 -0.0316 -0.0316  1.0000    0.00
   1      114628             90  62      0.9589      0.9589  0.0007  0.0007  1.0000    0.00
   1      116283             91  62       0.419       0.419 -0.0110 -0.0110  0.9994    0.00
   1      126880             92  62   8.324e-37   8.324e-37  3.2250  3.2250  0.9954    0.00
   1      127853             93  62    0.000479    0.000479 -0.0475 -0.0475  1.0000    0.00
   1      128302             94  62   4.977e-07   4.977e-07 -0.0681 -0.0681  1.0000    0.00
   1      128704             95  62   8.019e-05   8.019e-05 -0.0535 -0.0535  1.0000    0.00
   1      128911             96  62   1.031e-09   1.031e-09 -0.0827 -0.0827  0.9999    0.00
   1      130267             97  62      0.1974      0.1974 -0.0175 -0.0175  0.9985    0.00
   1      130271             98  62      0.1742      0.1742 -0.0184 -0.0184  0.9986    0.00
   1      130613             99  62   0.0001008   0.0001008 -0.0532 -0.0532  0.9856    0.00
   1      132012            100  62   0.0002595   0.0002595  0.0499  0.0499  0.9991    0.00
   1      133231            101  62   1.985e-07   1.985e-07  0.0705  0.0705  0.9981    0.00
   1      137074            102  62   8.616e-07   8.616e-07  0.0666  0.0666  0.9959    0.00
   1      137304            103  62   2.525e-08   2.525e-08  0.0755  0.0755  0.9209    0.00
   1      139686            104  62   0.0008142   0.0008142  0.0454  0.0454  0.9999    0.00
   1      149562            105  62   5.473e-06   5.473e-06  0.0618  0.0618  0.9983    0.00
   1      150447            106  62   0.0006261   0.0006261  0.0470  0.0470  1.0000    0.00
   1      151446            107  62     0.04358     0.04358  0.0558  0.0558  0.9997    0.00
   1      154084            108  62    0.007359    0.007359  0.0370  0.0370  0.9999    0.00
   1      156633            109  62    0.003409    0.003409  0.0409  0.0409  0.9996    0.00
   1      157269            110  62   6.263e-06   6.263e-06  0.0611  0.0611  0.9607    0.00
   1      160054            111  62   0.0003926   0.0003926  0.0485  0.0485  0.9993    0.00
   1      166222            112  62   0.0008715   0.0008715  0.0452  0.0452  0.9989    0.00
   1      166416            113  62    0.006124    0.006124  0.0371  0.0371  0.9986    0.00
   1      167326            114  62   2.019e-06   2.019e-06  0.0647  0.0647  0.9983    0.00
   1      168836            115  62   2.191e-08   2.191e-08  0.0758  0.0758  0.9812    0.00
   1      171200            116  62   1.854e-10   1.854e-10  0.0864  0.0864  0.9069    0.00
   1      171431            117  62   1.335e-22   1.335e-22  0.1334  0.1334  0.6650    0.00
   1      173339            118  62   6.795e-18   6.795e-18  0.1166  0.1166  0.8696    0.00
   1      173845            119  62   9.155e-17   9.155e-17  0.1124  0.1124  0.9189    0.00
   1      175121            120  62   5.506e-15   1.838e-14  0.1055  0.1079  0.3186    7.09
   1      175281            121  62   5.067e-15   5.067e-15  0.1057  0.1057  0.6259    0.00
   1      175315            122  62   3.126e-15   3.126e-15  0.1065  0.1065  0.5483    0.00
   1      175523            123  62   1.967e-13   1.967e-13  0.0999  0.0999  0.7043    0.00
   1      175541            124  62   3.646e-15   3.646e-15  0.1064  0.1064  0.5825    0.00
   1      175653            125  62   1.629e-19   1.629e-19  0.1225  0.1225  0.4931    0.00
   1      175805            126  62   2.674e-13   2.674e-13 -0.1048 -0.1048  0.9880    0.00
   1      175818            127  62    8.12e-19    8.12e-19  0.1240  0.1240  0.6266    0.00
   1      175856            128  62   1.473e-17   1.473e-17  0.1176  0.1176  0.6611    0.00
   1      175876            129  62   3.914e-14   3.914e-14  0.1027  0.1027  0.6813    0.00
   1      175989            130  62    2.15e-15    2.15e-15  0.1080  0.1080  0.6571    0.00
   1      176001            131  62   2.159e-15   2.159e-15  0.1086  0.1086  0.7636    0.00
   1      176451            132  62   1.334e-13   1.334e-13  0.1026  0.1026  0.9373    0.00
   1      177692            133  62   1.502e-15   1.502e-15  0.1077  0.1077  0.7141    0.00
   1      178191            134  62   2.627e-16   2.627e-16  0.1107  0.1107  0.6079    0.00
   1      178224            135  62   1.502e-15   1.502e-15  0.1077  0.1077  0.7141    0.00
   1      178960            136  62   3.032e-22   3.032e-22  0.1319  0.1319  0.5014    0.00
   1      179139            137  62   2.141e-05   2.141e-05  0.1148  0.1148  0.9727    0.00
   1      179139            138  62   2.798e-05   2.798e-05 -0.2279 -0.2279  1.0000    0.00
   1      180955            139  62       0.198       0.198  0.0202  0.0202  0.9999    0.00
   1      183802            140  62   4.875e-22   4.875e-22  0.1302  0.1302  0.6488    0.00
   1      183954            141  62   1.266e-18   1.266e-18  0.1198  0.1198  0.8452    0.00
   1      184450            142  62    2.14e-11    2.14e-11 -0.0903 -0.0903  0.9842    0.00
   1      184641            143  62    4.27e-10    4.27e-10 -0.0867 -0.0867  0.9950    0.00
   1      184718            144  62    2.47e-16    2.47e-16  0.1111  0.1111  0.8506    0.00
   1      185296            145  62   5.685e-11   5.685e-11  0.0885  0.0885  0.8628    0.00
   1      185438            146  62   2.469e-10   2.469e-10  0.0855  0.0855  0.9784    0.00
   1      185469            147  62   2.757e-11   2.757e-11  0.0901  0.0901  0.9804    0.00
   1      185503            148  62   1.574e-12   1.574e-12  0.0954  0.0954  0.9863    0.00
