SNP,Condition,beta,t-stat,p-value_eQTL,FDR,Chr,Pos,Effect,SE,p-value_rMVP,locus_id,name,sgd_id,snps_class_up,snps_class_down,description,genome_annotations,SNP_ID,-log_pval,QTLs
10427,noPPI_reference_MTX_5.FC,-1.16045152931471,-6.37870814061605,5.56981312473448e-10,5.95847222894942e-07,15,439078,-1.16058149113672,0.181580766669922,5.19746495630053e-10,YOR059C,LPL1,SGDID:S000005585,ORF,Verified ORF,"""Phospholipase; contains lipase specific GXSXG motif; maintains lipid droplet (LD) morphology; induced by transcription factor Rpn4p; protein abundance increases in response to DNA replication stress""",Verified ORF,CHR15_10427,9.284208430199786,-1
10438,noPPI_reference_MTX_5.FC,-1.81616110808397,-6.32087865418835,7.80597892507337e-10,8.22702402721159e-07,15,448815,-1.81115767103187,0.286830550756745,8.15347748100924e-10,YOR065W,CYT1,SGDID:S000005591,Close to 3'-UTR,Close to 3'-UTR,"""Cytochrome c1; component of the mitochondrial respiratory chain; expression is regulated by the heme-activated ; glucose-repressed Hap2p/3p/4p/5p CCAAT-binding complex""",Verified ORF,CHR15_10438,9.088657123934338,-1
1095,ADE17_HYR1_MTX_5.FC,-0.85615584343728,-5.80769236382371,1.40768104983573e-08,1.30056572781881e-05,3,203261,-0.85576824576597,0.147657953377384,1.5098062308351e-08,YCR042C,TAF2,SGDID:S000000638,ORF,Verified ORF,"""TFIID subunit (150 kDa); involved in RNA polymerase II transcription initiation""",Verified ORF,CHR3_1095,7.821078786666404,-1
10426,noPPI_reference_MTX_5.FC,-1.0181335722219,-5.68817264959222,2.68683547834799e-08,2.40911952138262e-05,15,433993,-1.01823306515568,0.17867045938562,2.54596293719383e-08,YOR058C,ASE1,SGDID:S000005584,ORF,Verified ORF,"""Mitotic spindle midzone-localized microtubule bundling protein; microtubule-associated protein (MAP) family member; required for spindle elongation and stabilization; undergoes cell cycle-regulated degradation by anaphase promoting complex; potential Cdc28p substrate; relative distribution to microtubules decreases upon DNA replication stress""",Verified ORF,CHR15_10426,7.594147922869858,-1
10439,noPPI_reference_MTX_5.FC,-1.86476718836963,-5.36329848102798,1.47623733007466e-07,0.0001206015540179,15,448820,-1.80884640432992,0.336940323706027,1.44239437688571e-07,YOR065W,CYT1,SGDID:S000005591,Close to 3'-UTR,Close to 3'-UTR,"""Cytochrome c1; component of the mitochondrial respiratory chain; expression is regulated by the heme-activated ; glucose-repressed Hap2p/3p/4p/5p CCAAT-binding complex""",Verified ORF,CHR15_10439,6.840915979361269,-1
1097,ADE17_HYR1_MTX_5.FC,-0.796438328472453,-5.34772638881757,1.59867561846948e-07,0.000130049747046,3,204897,-0.795145413870535,0.14918302053437,1.75552583823121e-07,YCR042C,TAF2,SGDID:S000000638,ORF,Verified ORF,"""TFIID subunit (150 kDa); involved in RNA polymerase II transcription initiation""",Verified ORF,CHR3_1097,6.755592774105975,-1
10438,SSH1_ORM2_MTX_5.FC,-1.27736857468995,-5.26743376570451,2.40392077759209e-07,0.0001906574748266,15,448815,-1.27527038636754,0.242602744827666,2.54625536883727e-07,YOR065W,CYT1,SGDID:S000005591,Close to 3'-UTR,Close to 3'-UTR,"""Cytochrome c1; component of the mitochondrial respiratory chain; expression is regulated by the heme-activated ; glucose-repressed Hap2p/3p/4p/5p CCAAT-binding complex""",Verified ORF,CHR15_10438,6.594098042271036,-1
10427,HUG1_PGM2_MTX_5.FC,-0.936700806530275,-5.23001257676032,2.90242059719954e-07,0.0002275378399743,15,439078,-0.936772541258857,0.179502939678755,3.08072768703248e-07,YOR059C,LPL1,SGDID:S000005585,ORF,Verified ORF,"""Phospholipase; contains lipase specific GXSXG motif; maintains lipid droplet (LD) morphology; induced by transcription factor Rpn4p; protein abundance increases in response to DNA replication stress""",Verified ORF,CHR15_10427,6.511346688325647,-1
1096,ADE17_HYR1_MTX_5.FC,-0.77739465600342,-5.22427065755828,2.98728668287319e-07,0.0002337496312293,3,204854,-0.777794226422755,0.149035878598973,3.07863295394961e-07,YCR042C,TAF2,SGDID:S000000638,ORF,Verified ORF,"""TFIID subunit (150 kDa); involved in RNA polymerase II transcription initiation""",Verified ORF,CHR3_1096,6.511642086210931,-1
1098,ADE17_HYR1_MTX_5.FC,-0.778306751753351,-5.22164361156521,3.02691231278449e-07,0.0002364294380366,3,204903,-0.778363217521017,0.149289266256158,3.15744756357497e-07,YCR042C,TAF2,SGDID:S000000638,ORF,Verified ORF,"""TFIID subunit (150 kDa); involved in RNA polymerase II transcription initiation""",Verified ORF,CHR3_1098,6.500663853136571,-1
