SNP,Condition,beta,t-stat,p-value_eQTL,FDR,Chr,Pos,Effect,SE,p-value_rMVP,locus_id,name,sgd_id,snps_class_up,snps_class_down,description,genome_annotations,SNP_ID,-log_pval,QTLs
10427,noPPI_reference_MTX_Metformin,-0.987304210550608,-6.07216476834881,3.2458182437214e-09,3.20612711182752e-06,15,439078,-0.987367866165585,0.162622597498039,3.27384254587077e-09,YOR059C,LPL1,SGDID:S000005585,ORF,Verified ORF,"""Phospholipase; contains lipase specific GXSXG motif; maintains lipid droplet (LD) morphology; induced by transcription factor Rpn4p; protein abundance increases in response to DNA replication stress""",Verified ORF,CHR15_10427,8.484942211638751,-1
1009,SRO9_SGN1_MTX_Metformin,-0.492059998926767,-5.8795515556561,9.496012519677652e-09,8.93131885798647e-06,3,100583,-0.491537651242086,0.0836146726009167,9.58821651797803e-09,YCL014W,BUD3,SGDID:S000000520,ORF,Verified ORF,"""Guanine nucleotide exchange factor (GEF) for Cdc42p; activates Cdc42p in early G1 ; accounting for the first stage of biphasic activation ; with Cdc24p accounting for the second stage in late G1; involved in the Cdc42p-mediated assembly of the axial landmark that dictates the site for the next round of budding ; resulting in the axial budding pattern observed in haploids; localizes with septins to the bud neck contractile ring in mitosis""",Verified ORF,CHR3_1009,8.018262167431315,-1
1010,SRO9_SGN1_MTX_Metformin,-0.484276715248939,-5.84159902459901,1.16960223573675e-08,1.08922104881419e-05,3,101685,-0.484688294431546,0.0827928564420352,1.09617357455275e-08,YCL014W,BUD3,SGDID:S000000520,Close to 3'-UTR,Close to 3'-UTR,"""Guanine nucleotide exchange factor (GEF) for Cdc42p; activates Cdc42p in early G1 ; accounting for the first stage of biphasic activation ; with Cdc24p accounting for the second stage in late G1; involved in the Cdc42p-mediated assembly of the axial landmark that dictates the site for the next round of budding ; resulting in the axial budding pattern observed in haploids; localizes with septins to the bud neck contractile ring in mitosis""",Verified ORF,CHR3_1010,7.960120671671091,-1
1008,SRO9_SGN1_MTX_Metformin,-0.483916238930742,-5.75173573352346,1.90767306015354e-08,1.73844122199686e-05,3,98535,-0.482197494397605,0.0840514018947728,2.07500897109854e-08,YCL014W,BUD3,SGDID:S000000520,ORF,Verified ORF,"""Guanine nucleotide exchange factor (GEF) for Cdc42p; activates Cdc42p in early G1 ; accounting for the first stage of biphasic activation ; with Cdc24p accounting for the second stage in late G1; involved in the Cdc42p-mediated assembly of the axial landmark that dictates the site for the next round of budding ; resulting in the axial budding pattern observed in haploids; localizes with septins to the bud neck contractile ring in mitosis""",Verified ORF,CHR3_1008,7.682980021318071,-1
10198,SRO9_GIS2_MTX_Metformin,-0.54678703404025,-5.59300754204792,4.46183993187948e-08,3.89640938234432e-05,15,181071,-0.538726163882139,0.0979694436837679,7.34416355926122e-08,YOL080C,REX4,SGDID:S000005440,ORF,Verified ORF,"""Putative RNA exonuclease; possibly involved in pre-rRNA processing and ribosome assembly""",Verified ORF,CHR15_10198,7.134057659680774,-1
1011,SRO9_SGN1_MTX_Metformin,-0.468133012219222,-5.58610277462788,4.62788894712719e-08,4.0324630393583e-05,3,101814,-0.471582112865768,0.0835768989616416,3.44349163393581e-08,YCL012C_NFR/NDR,,,Promoter,Promoter,stable,Promoter,CHR3_1011,7.463000967808595,-1
1095,ADE17_HYR1_MTX_Metformin,-0.750980972970206,-5.56564773358275,5.15589164794456e-08,4.46080726013901e-05,3,203261,-0.750630621463699,0.135129897974496,5.47667781347595e-08,YCR042C,TAF2,SGDID:S000000638,ORF,Verified ORF,"""TFIID subunit (150 kDa); involved in RNA polymerase II transcription initiation""",Verified ORF,CHR3_1095,7.261482807354077,-1
1007,SRO9_SGN1_MTX_Metformin,-0.473953053777149,-5.51747534536662,6.64156802464454e-08,5.67069870910779e-05,3,96560,-0.473774897520852,0.0858136769986907,6.544123356063e-08,YCL014W,BUD3,SGDID:S000000520,ORF,Verified ORF,"""Guanine nucleotide exchange factor (GEF) for Cdc42p; activates Cdc42p in early G1 ; accounting for the first stage of biphasic activation ; with Cdc24p accounting for the second stage in late G1; involved in the Cdc42p-mediated assembly of the axial landmark that dictates the site for the next round of budding ; resulting in the axial budding pattern observed in haploids; localizes with septins to the bud neck contractile ring in mitosis""",Verified ORF,CHR3_1007,7.184148522852542,-1
8816,ERV25_ORM2_MTX_Metformin,0.413205678417289,5.51335413030555,6.78646464968871e-08,5.78806076172153e-05,13,509524,0.412748607134595,0.075163256897256,7.63970253699124e-08,YMR120C_NFR/NDR,,,Promoter,Promoter,stable,Promoter,CHR13_8816,7.116923550986912,1
1002,SRO9_SGN1_MTX_Metformin,-0.485945060358108,-5.47431946112291,8.32046991717367e-08,6.9978466707854e-05,3,92556,-0.468611571749511,0.088534888310074,2.11907767220184e-07,YCLWdelta2b_NFR/NDR,,,Promoter,Promoter,,Promoter,CHR3_1002,6.673853124464083,-1
1003,HNM1_MID2_MTX_Metformin,-0.515380983309352,-5.44894472425306,9.49325511249429e-08,7.94219771836157e-05,3,92671,-0.497123772511,0.0944048767788224,2.43020293227701e-07,YCL018W,LEU2,SGDID:S000000523,Close to 3'-UTR,Close to 3'-UTR,"""Beta-isopropylmalate dehydrogenase (IMDH); catalyzes the third step in the leucine biosynthesis pathway; can additionally catalyze the conversion of beta-ethylmalate into alpha-ketovalerate""",Verified ORF,CHR3_1003,6.6143574594517744,-1
10438,noPPI_reference_MTX_Metformin,-1.40864954142838,-5.4392773201967,9.98109108160652e-08,8.32609494101626e-05,15,448815,-1.40271776432372,0.259084913060603,1.14048901381928e-07,YOR065W,CYT1,SGDID:S000005591,Close to 3'-UTR,Close to 3'-UTR,"""Cytochrome c1; component of the mitochondrial respiratory chain; expression is regulated by the heme-activated ; glucose-repressed Hap2p/3p/4p/5p CCAAT-binding complex""",Verified ORF,CHR15_10438,6.942908893868827,-1
10426,noPPI_reference_MTX_Metformin,-0.867160389644596,-5.4265355199461,1.06614262756016e-07,8.85802735321653e-05,15,433993,-0.867246257147295,0.159834900505741,1.07327705051161e-07,YOR058C,ASE1,SGDID:S000005584,ORF,Verified ORF,"""Mitotic spindle midzone-localized microtubule bundling protein; microtubule-associated protein (MAP) family member; required for spindle elongation and stabilization; undergoes cell cycle-regulated degradation by anaphase promoting complex; potential Cdc28p substrate; relative distribution to microtubules decreases upon DNA replication stress""",Verified ORF,CHR15_10426,6.969288156899417,-1
1002,HNM1_MID2_MTX_Metformin,-0.511039939781309,-5.41747787585361,1.11722391478972e-07,9.25876090341834e-05,3,92556,-0.503703542405666,0.0942071929097539,1.61162914106785e-07,YCLWdelta2b_NFR/NDR,,,Promoter,Promoter,,Promoter,CHR3_1002,6.792734888410401,-1
1003,SRO9_SGN1_MTX_Metformin,-0.479330012900993,-5.37552296011371,1.38654935662176e-07,0.0001136596345917,3,92671,-0.450040763681665,0.0888998610034557,6.68151754591484e-07,YCL018W,LEU2,SGDID:S000000523,Close to 3'-UTR,Close to 3'-UTR,"""Beta-isopropylmalate dehydrogenase (IMDH); catalyzes the third step in the leucine biosynthesis pathway; can additionally catalyze the conversion of beta-ethylmalate into alpha-ketovalerate""",Verified ORF,CHR3_1003,6.175124886781016,-1
1093,ADE17_PGM2_MTX_Metformin,-0.643535124824238,-5.34875134469494,1.59032230481025e-07,0.00012938430153,3,198615,-0.644064814947861,0.120640818300659,1.67937381908534e-07,YCR038C,BUD5,SGDID:S000000634,ORF,Verified ORF,"""GTP/GDP exchange factor for Rsr1p (Bud1p); required for both axial and bipolar budding patterns; mutants exhibit random budding in all cell types""",Verified ORF,CHR3_1093,6.774852621613095,-1
1004,HNM1_MID2_MTX_Metformin,-0.525112584290764,-5.34467169708059,1.62382462601985e-07,0.0001319103116313,3,92716,-0.488779818585089,0.0972114645459933,7.89936618649702e-07,YCL018W,LEU2,SGDID:S000000523,Close to 3'-UTR,Close to 3'-UTR,"""Beta-isopropylmalate dehydrogenase (IMDH); catalyzes the third step in the leucine biosynthesis pathway; can additionally catalyze the conversion of beta-ethylmalate into alpha-ketovalerate""",Verified ORF,CHR3_1004,6.1024077533614,-1
8813,ERV25_ORM2_MTX_Metformin,0.401843391513541,5.30172816891745,2.0207467537632e-07,0.0001621605331183,13,506223,0.402250461270931,0.0759986265811795,2.12009320155247e-07,YMR119W,ASI1,SGDID:S000004725,ORF,Verified ORF,"""Subunit of the inner nuclear membrane Asi ubiquitin ligase complex; the Asi complex targets both misfolded proteins of the inner nuclear membrane-associated degradation (INMAD) pathway and regulators of sterol biosynthesis for ubiquitin-mediated degradation; acts with Asi2p and Asi3p to ensure the fidelity of SPS-sensor signaling by targeting latent unprocessed forms of Stp1p and Stp2p ; maintaining the repressed state of gene expression in the absence of inducing amino acids""",Verified ORF,CHR13_8813,6.673645046604161,1
1088,ADE17_PGM2_MTX_Metformin,-0.64004650476534,-5.29195460046139,2.12344998699044e-07,0.0001698005671813,3,197297,-0.639337945328775,0.121287184781006,2.364793638546e-07,YCR037C_NFR/NDR,,,Promoter,Promoter,stable,Promoter,CHR3_1088,6.626206751565074,-1
1097,ADE17_HYR1_MTX_Metformin,-0.716082006695058,-5.26582467237993,2.42353206663762e-07,0.000192070184829,3,204897,-0.714866241873086,0.136195653237844,2.64829926068739e-07,YCR042C,TAF2,SGDID:S000000638,ORF,Verified ORF,"""TFIID subunit (150 kDa); involved in RNA polymerase II transcription initiation""",Verified ORF,CHR3_1097,6.577032940712063,-1
10480,noPPI_reference_MTX_Metformin,-0.839528648409525,-5.25949644909928,2.50217558586131e-07,0.0001980718059254,15,484698,-0.839528648409476,0.159660243778711,2.52580389055476e-07,YOR086C,TCB1,SGDID:S000005612,ORF,Verified ORF,"""Lipid-binding ER protein involved in ER-plasma membrane tethering; one of 6 proteins (Ist2p ; Scs2p ; Scs22p ; Tcb1p ; Tcb2p ; Tcb3p) that connect ER to plasma membrane and regulate PI4P levels by controlling access of Sac1p phosphatase to its substrate PI4P in PM; contains 3 calcium and lipid binding domains; non-tagged protein also localizes to mitochondria; C-termini of Tcb1p ; Tcb2p and Tcb3p interact; TCB1 has a paralog ; TCB2 ; that arose from the whole genome duplication""",Verified ORF,CHR15_10480,6.597600372132312,-1
10197,SRO9_GIS2_MTX_Metformin,-0.518731869819963,-5.23259552694798,2.86501121010692e-07,0.000224770144641,15,180978,-0.529286446767871,0.0991273645299542,1.6728646031906e-07,YOL080C,REX4,SGDID:S000005440,ORF,Verified ORF,"""Putative RNA exonuclease; possibly involved in pre-rRNA processing and ribosome assembly""",Verified ORF,CHR15_10197,6.776539208151031,-1
1096,ADE17_HYR1_MTX_Metformin,-0.708931014596227,-5.22351505661278,2.99863213043611e-07,0.0002345391654021,3,204854,-0.708588604155715,0.135918302526824,3.16457237575027e-07,YCR042C,TAF2,SGDID:S000000638,ORF,Verified ORF,"""TFIID subunit (150 kDa); involved in RNA polymerase II transcription initiation""",Verified ORF,CHR3_1096,6.499684967289316,-1
8814,ERV25_ORM2_MTX_Metformin,0.396510406620733,5.20718011771868,3.25437137761542e-07,0.000253111451797,13,506332,0.396084832612126,0.0763657838178846,3.61553571673178e-07,YMR119W,ASI1,SGDID:S000004725,ORF,Verified ORF,"""Subunit of the inner nuclear membrane Asi ubiquitin ligase complex; the Asi complex targets both misfolded proteins of the inner nuclear membrane-associated degradation (INMAD) pathway and regulators of sterol biosynthesis for ubiquitin-mediated degradation; acts with Asi2p and Asi3p to ensure the fidelity of SPS-sensor signaling by targeting latent unprocessed forms of Stp1p and Stp2p ; maintaining the repressed state of gene expression in the absence of inducing amino acids""",Verified ORF,CHR13_8814,6.4418273438513305,1
8810,ERV25_ORM2_MTX_Metformin,0.396577475303587,5.20268721217107,3.32834163489201e-07,0.0002585148060853,13,505070,0.396035349460003,0.0764477322704318,3.72913602406695e-07,tL(CAA)M_NFR/NDR,,,Promoter,Promoter,,Promoter,CHR13_8810,6.428391775012448,1
10427,HUG1_ALO1_MTX_Metformin,-0.761549854959907,-5.2011731989821,3.35363322936714e-07,0.0002604250921343,15,439078,-0.761707751149769,0.14676940425164,3.55922569142932e-07,YOR059C,LPL1,SGDID:S000005585,ORF,Verified ORF,"""Phospholipase; contains lipase specific GXSXG motif; maintains lipid droplet (LD) morphology; induced by transcription factor Rpn4p; protein abundance increases in response to DNA replication stress""",Verified ORF,CHR15_10427,6.448644472396639,-1
1098,ADE17_HYR1_MTX_Metformin,-0.706624363594355,-5.19604285159914,3.44072852438367e-07,0.0002665401191396,3,204903,-0.705993907011706,0.136195190916264,3.66978520363196e-07,YCR042C,TAF2,SGDID:S000000638,ORF,Verified ORF,"""TFIID subunit (150 kDa); involved in RNA polymerase II transcription initiation""",Verified ORF,CHR3_1098,6.435359354714491,-1
10199,SRO9_GIS2_MTX_Metformin,-0.505610834862029,-5.19095012968212,3.52935172340617e-07,0.0002729360463352,15,181986,-0.502367408827216,0.0975455966984167,4.33723369991711e-07,YOL078W,AVO1,SGDID:S000005438,ORF,Verified ORF,"""Component of a membrane-bound complex containing the Tor2p kinase; contains Tor2p kinase and other proteins; may have a role in regulation of cell growth""",Verified ORF,CHR15_10199,6.362787176456266,-1
1088,ADE17_HYR1_MTX_Metformin,-0.704347955835731,-5.15756950014358,4.16748056229553e-07,0.0003188858670288,3,197297,-0.703562353059563,0.136764717241024,4.4626426958272e-07,YCR037C_NFR/NDR,,,Promoter,Promoter,stable,Promoter,CHR3_1088,6.350407883816549,-1
1087,ADE17_PGM2_MTX_Metformin,-0.622038508606967,-5.13492019479817,4.66269062033327e-07,0.0003542393524168,3,196733,-0.618917252095787,0.121514365947411,5.73848193154362e-07,YCR037C,PHO87,SGDID:S000000633,ORF,Verified ORF,"""Low-affinity inorganic phosphate (Pi) transporter; acts upstream of Pho81p in regulation of the PHO pathway; expression is independent of Pi concentration and Pho4p activity; contains 12 membrane-spanning segments; PHO87 has a paralog ; PHO90 ; that arose from the whole genome duplication""",Verified ORF,CHR3_1087,6.24120298146105,-1
982,SRO9_SGN1_MTX_Metformin,-0.447769374067796,-5.13179839403125,4.73526498806195e-07,0.0003593512203795,3,79867,-0.449521157136103,0.0871020232851651,4.11130670195353e-07,YCL024W,KCC4,SGDID:S000000529,ORF,Verified ORF,"""Protein kinase of the bud neck involved in the septin checkpoint; associates with septin proteins ; negatively regulates Swe1p by phosphorylation ; shows structural homology to bud neck kinases Gin4p and Hsl1p; KCC4 has a paralog ; GIN4 ; that arose from the whole genome duplication""",Verified ORF,CHR3_982,6.386020123804037,-1
982,HNM1_MID2_MTX_Metformin,-0.475262663441472,-5.12961759159443,4.78661127218955e-07,0.0003629897880312,3,79867,-0.478308330254078,0.09275756479359,4.20034219743902e-07,YCL024W,KCC4,SGDID:S000000529,ORF,Verified ORF,"""Protein kinase of the bud neck involved in the septin checkpoint; associates with septin proteins ; negatively regulates Swe1p by phosphorylation ; shows structural homology to bud neck kinases Gin4p and Hsl1p; KCC4 has a paralog ; GIN4 ; that arose from the whole genome duplication""",Verified ORF,CHR3_982,6.376715326648387,-1
1011,SRO9_GIS2_MTX_Metformin,-0.489994045980691,-5.12336501909873,4.93683338209248e-07,0.0003730946055657,3,101814,-0.496101001976504,0.0956467697384545,3.61329747214445e-07,YCL012C_NFR/NDR,,,Promoter,Promoter,stable,Promoter,CHR3_1011,6.442096282773862,-1
1087,ADE17_HYR1_MTX_Metformin,-0.699583978825904,-5.12316673208848,4.94167128243266e-07,0.0003733469621495,3,196733,-0.697915145355774,0.136765021201999,5.47229345589521e-07,YCR037C,PHO87,SGDID:S000000633,ORF,Verified ORF,"""Low-affinity inorganic phosphate (Pi) transporter; acts upstream of Pho81p in regulation of the PHO pathway; expression is independent of Pi concentration and Pho4p activity; contains 12 membrane-spanning segments; PHO87 has a paralog ; PHO90 ; that arose from the whole genome duplication""",Verified ORF,CHR3_1087,6.261830621291831,-1
1004,SRO9_SGN1_MTX_Metformin,-0.475237613465825,-5.12032268663193,5.01156891361756e-07,0.0003781690230668,3,92716,-0.466227613644366,0.0911859753052154,5.21163417062697e-07,YCL018W,LEU2,SGDID:S000000523,Close to 3'-UTR,Close to 3'-UTR,"""Beta-isopropylmalate dehydrogenase (IMDH); catalyzes the third step in the leucine biosynthesis pathway; can additionally catalyze the conversion of beta-ethylmalate into alpha-ketovalerate""",Verified ORF,CHR3_1004,6.283026077083414,-1
8815,ERV25_ORM2_MTX_Metformin,0.383481701768618,5.11278663083092,5.2014427433038e-07,0.000391666280234,13,509480,0.383364552886009,0.0752176986962612,5.64429394831165e-07,YMR120C_NFR/NDR,,,Promoter,Promoter,stable,Promoter,CHR13_8815,6.248390376773561,1
8812,ERV25_ORM2_MTX_Metformin,0.389553623225366,5.11136541872733,5.23802319869769e-07,0.0003941824752291,13,506197,0.388748728502069,0.076435042667011,5.94989823085741e-07,YMR119W,ASI1,SGDID:S000004725,ORF,Verified ORF,"""Subunit of the inner nuclear membrane Asi ubiquitin ligase complex; the Asi complex targets both misfolded proteins of the inner nuclear membrane-associated degradation (INMAD) pathway and regulators of sterol biosynthesis for ubiquitin-mediated degradation; acts with Asi2p and Asi3p to ensure the fidelity of SPS-sensor signaling by targeting latent unprocessed forms of Stp1p and Stp2p ; maintaining the repressed state of gene expression in the absence of inducing amino acids""",Verified ORF,CHR13_8812,6.225490462532802,1
10185,SRO9_GIS2_MTX_Metformin,-0.512084924406165,-5.11119146568973,5.24251763577194e-07,0.0003944809776539,15,169414,-0.504093867071782,0.100277886525301,7.93929164264493e-07,YOL082W,ATG19,SGDID:S000005442,ORF,Verified ORF,"""Receptor protein for the cytoplasm-to-vacuole targeting (Cvt) pathway; delivers cargo proteins aminopeptidase I (Ape1p) and alpha-mannosidase (Ams1p) to the phagophore assembly site for packaging into Cvt vesicles; interaction with Atg19p during the Cvt pathway requires phosphorylation by Hrr25p""",Verified ORF,CHR15_10185,6.100218244350486,-1
992,HNM1_MID2_MTX_Metformin,-0.553864644215406,-5.08885669073858,5.85168391859989e-07,0.0004371058743825,3,84780,-0.539943170746346,0.105072777636191,4.58749526519398e-07,YCLWdelta2b_NFR/NDR,,,Promoter,Promoter,,Promoter,CHR3_992,6.338424370979896,-1
1010,SRO9_GIS2_MTX_Metformin,-0.482520113231561,-5.07783067939041,6.17714165006015e-07,0.0004600373151857,3,101685,-0.482683797976502,0.095198552014115,6.42651068004267e-07,YCL014W,BUD3,SGDID:S000000520,Close to 3'-UTR,Close to 3'-UTR,"""Guanine nucleotide exchange factor (GEF) for Cdc42p; activates Cdc42p in early G1 ; accounting for the first stage of biphasic activation ; with Cdc24p accounting for the second stage in late G1; involved in the Cdc42p-mediated assembly of the axial landmark that dictates the site for the next round of budding ; resulting in the axial budding pattern observed in haploids; localizes with septins to the bud neck contractile ring in mitosis""",Verified ORF,CHR3_1010,6.192024766379853,-1
1006,ERG11_ERG5_MTX_Metformin,-0.402411122026624,-5.00980870861163,8.60801956656568e-07,0.0006276279226374,3,95493,-0.398511145140835,0.0804846842173098,1.14408205212559e-06,YCL016C,DCC1,SGDID:S000000521,ORF,Verified ORF,"""Subunit of a complex with Ctf8p and Ctf18p; shares some components with Replication Factor C; required for sister chromatid cohesion and telomere length maintenance""",Verified ORF,CHR3_1006,5.941542827372103,-1
1002,ERG11_ERG5_MTX_Metformin,-0.402139335910642,-4.94424692078449,1.18122182419665e-06,0.0008449308651126,3,92556,-0.389101671933519,0.0812962689043606,2.50323832276051e-06,YCLWdelta2b_NFR/NDR,,,Promoter,Promoter,,Promoter,CHR3_1002,5.601497801077898,-1
10456,HNM1_ERG11_MTX_Metformin,-1.59574485790728,-4.93476696796686,1.23618296274305e-06,0.0008815447183588,15,462740,-1.5398700292244,0.321135119343063,2.40151146077807e-06,CUT379,,,Unstable transcript,CUT,ncRNA_STM,Unstable transcript,CHR15_10456,5.619515336428393,-1
984,SRO9_SGN1_MTX_Metformin,-0.435923143901444,-4.93431368509841,1.23887188498507e-06,0.0008832936705779,3,80444,-0.431752445947311,0.0883099329941554,1.54124243893481e-06,YCL024W,KCC4,SGDID:S000000529,ORF,Verified ORF,"""Protein kinase of the bud neck involved in the septin checkpoint; associates with septin proteins ; negatively regulates Swe1p by phosphorylation ; shows structural homology to bud neck kinases Gin4p and Hsl1p; KCC4 has a paralog ; GIN4 ; that arose from the whole genome duplication""",Verified ORF,CHR3_984,5.812129040963573,-1
10479,noPPI_reference_MTX_Metformin,-0.791357477646038,-4.92778538391384,1.27823080931449e-06,0.0009102270022673,15,483470,-0.791229594194051,0.160635224099942,1.29450163031188e-06,YOR086C,TCB1,SGDID:S000005612,ORF,Verified ORF,"""Lipid-binding ER protein involved in ER-plasma membrane tethering; one of 6 proteins (Ist2p ; Scs2p ; Scs22p ; Tcb1p ; Tcb2p ; Tcb3p) that connect ER to plasma membrane and regulate PI4P levels by controlling access of Sac1p phosphatase to its substrate PI4P in PM; contains 3 calcium and lipid binding domains; non-tagged protein also localizes to mitochondria; C-termini of Tcb1p ; Tcb2p and Tcb3p interact; TCB1 has a paralog ; TCB2 ; that arose from the whole genome duplication""",Verified ORF,CHR15_10479,5.88789739827275,-1
1007,SRO9_GIS2_MTX_Metformin,-0.482370879297035,-4.91163780309569,1.3808424485225e-06,0.0009782631929267,3,96560,-0.482466723773514,0.0984050652984655,1.44318002531213e-06,YCL014W,BUD3,SGDID:S000000520,ORF,Verified ORF,"""Guanine nucleotide exchange factor (GEF) for Cdc42p; activates Cdc42p in early G1 ; accounting for the first stage of biphasic activation ; with Cdc24p accounting for the second stage in late G1; involved in the Cdc42p-mediated assembly of the axial landmark that dictates the site for the next round of budding ; resulting in the axial budding pattern observed in haploids; localizes with septins to the bud neck contractile ring in mitosis""",Verified ORF,CHR3_1007,5.840679490720061,-1
1003,ERG11_ERG5_MTX_Metformin,-0.399929241572994,-4.89891449989925,1.46725373754684e-06,0.0010355549591539,3,92671,-0.376947832603619,0.0815421727355312,5.3196864794764e-06,YCL018W,LEU2,SGDID:S000000523,Close to 3'-UTR,Close to 3'-UTR,"""Beta-isopropylmalate dehydrogenase (IMDH); catalyzes the third step in the leucine biosynthesis pathway; can additionally catalyze the conversion of beta-ethylmalate into alpha-ketovalerate""",Verified ORF,CHR3_1003,5.274113962487968,-1
8811,ERV25_ORM2_MTX_Metformin,0.369721972021692,4.89342638585309,1.5061178113307e-06,0.0010600811207971,13,506148,0.36920073023225,0.0757738962974088,1.66814792461355e-06,YMR119W,ASI1,SGDID:S000004725,ORF,Verified ORF,"""Subunit of the inner nuclear membrane Asi ubiquitin ligase complex; the Asi complex targets both misfolded proteins of the inner nuclear membrane-associated degradation (INMAD) pathway and regulators of sterol biosynthesis for ubiquitin-mediated degradation; acts with Asi2p and Asi3p to ensure the fidelity of SPS-sensor signaling by targeting latent unprocessed forms of Stp1p and Stp2p ; maintaining the repressed state of gene expression in the absence of inducing amino acids""",Verified ORF,CHR13_8811,5.777765440511877,1
10427,HNM1_ERG11_MTX_Metformin,-0.524625430083439,-4.88184856898812,1.59139275292335e-06,0.0011149565867739,15,439078,-0.525080664468391,0.107752449252605,1.66318859261594e-06,YOR059C,LPL1,SGDID:S000005585,ORF,Verified ORF,"""Phospholipase; contains lipase specific GXSXG motif; maintains lipid droplet (LD) morphology; induced by transcription factor Rpn4p; protein abundance increases in response to DNA replication stress""",Verified ORF,CHR15_10427,5.779058502380856,-1
1009,ERG11_ERG5_MTX_Metformin,-0.376424474181768,-4.87548725884518,1.64021096555128e-06,0.001146579725641,3,100583,-0.378510399094846,0.0773265161718893,1.49854549044784e-06,YCL014W,BUD3,SGDID:S000000520,ORF,Verified ORF,"""Guanine nucleotide exchange factor (GEF) for Cdc42p; activates Cdc42p in early G1 ; accounting for the first stage of biphasic activation ; with Cdc24p accounting for the second stage in late G1; involved in the Cdc42p-mediated assembly of the axial landmark that dictates the site for the next round of budding ; resulting in the axial budding pattern observed in haploids; localizes with septins to the bud neck contractile ring in mitosis""",Verified ORF,CHR3_1009,5.82433006890078,-1
10184,SRO9_GIS2_MTX_Metformin,-0.481430152904323,-4.8704790837537,1.6796587934825e-06,0.001172181940416,15,168689,-0.481430152905551,0.099082001957119,1.77828101121875e-06,YOL082W,ATG19,SGDID:S000005442,Close to 3'-UTR,Close to 3'-UTR,"""Receptor protein for the cytoplasm-to-vacuole targeting (Cvt) pathway; delivers cargo proteins aminopeptidase I (Ape1p) and alpha-mannosidase (Ams1p) to the phagophore assembly site for packaging into Cvt vesicles; interaction with Atg19p during the Cvt pathway requires phosphorylation by Hrr25p""",Verified ORF,CHR15_10184,5.749999608957261,-1
10182,SRO9_GIS2_MTX_Metformin,-0.480053375910736,-4.86982384569055,1.68488714949015e-06,0.0011756110927057,15,168558,-0.481213119528691,0.0987574191542882,1.66594817395468e-06,CUT827_NFR/NDR,,,Promoter,Promoter,,Promoter,CHR15_10182,5.778338513202698,-1
1004,ERG11_ERG5_MTX_Metformin,-0.4122436373124,-4.86642022013968,1.71229948599768e-06,0.001193734698005,3,92716,-0.387704215686631,0.0836854347991944,5.07979170412874e-06,YCL018W,LEU2,SGDID:S000000523,Close to 3'-UTR,Close to 3'-UTR,"""Beta-isopropylmalate dehydrogenase (IMDH); catalyzes the third step in the leucine biosynthesis pathway; can additionally catalyze the conversion of beta-ethylmalate into alpha-ketovalerate""",Verified ORF,CHR3_1004,5.29415409551178,-1
1006,HNM1_MID2_MTX_Metformin,-0.456551694378506,-4.85986927676574,1.76627630844989e-06,0.0012283855076934,3,95493,-0.4506325766715,0.0941706549377925,2.51428782235045e-06,YCL016C,DCC1,SGDID:S000000521,ORF,Verified ORF,"""Subunit of a complex with Ctf8p and Ctf18p; shares some components with Replication Factor C; required for sister chromatid cohesion and telomere length maintenance""",Verified ORF,CHR3_1006,5.599585008072636,-1
1093,ADE17_HYR1_MTX_Metformin,-0.662886631061784,-4.85631464085911,1.79624835069746e-06,0.0012477396376821,3,198615,-0.663736084261795,0.136683887064026,1.80295707874199e-06,YCR038C,BUD5,SGDID:S000000634,ORF,Verified ORF,"""GTP/GDP exchange factor for Rsr1p (Bud1p); required for both axial and bipolar budding patterns; mutants exhibit random budding in all cell types""",Verified ORF,CHR3_1093,5.744014611983857,-1
