SNP,Condition,beta,t-stat,p-value_eQTL,FDR,Chr,Pos,Effect,SE,p-value_rMVP,locus_id,name,sgd_id,snps_class_up,snps_class_down,description,genome_annotations,SNP_ID,-log_pval,QTLs
10427,noPPI_reference_MTX_Trifluoperazine,-1.03802093177448,-5.90164278323203,8.40730974306217e-09,7.96045372083875e-06,15,439078,-1.03810881300933,0.176227247191458,8.968641074845221e-09,YOR059C,LPL1,SGDID:S000005585,ORF,Verified ORF,"""Phospholipase; contains lipase specific GXSXG motif; maintains lipid droplet (LD) morphology; induced by transcription factor Rpn4p; protein abundance increases in response to DNA replication stress""",Verified ORF,CHR15_10427,8.047273356109223,-1
1095,ADE17_HYR1_MTX_Trifluoperazine,-0.834070010884607,-5.62420624793719,3.78111735437268e-08,3.3342896667324e-05,3,203261,-0.83343929834618,0.148692773355715,4.20037691538479e-08,YCR042C,TAF2,SGDID:S000000638,ORF,Verified ORF,"""TFIID subunit (150 kDa); involved in RNA polymerase II transcription initiation""",Verified ORF,CHR3_1095,7.37671173700039,-1
10438,noPPI_reference_MTX_Trifluoperazine,-1.5470611678347,-5.5451041940909,5.74502359395166e-08,4.9367964733731e-05,15,448815,-1.54460257731995,0.279533969082363,6.38615951226593e-08,YOR065W,CYT1,SGDID:S000005591,Close to 3'-UTR,Close to 3'-UTR,"""Cytochrome c1; component of the mitochondrial respiratory chain; expression is regulated by the heme-activated ; glucose-repressed Hap2p/3p/4p/5p CCAAT-binding complex""",Verified ORF,CHR15_10438,7.194760237936927,-1
1093,ADE17_PGM2_MTX_Trifluoperazine,-0.653674482461096,-5.17468454299679,3.82747355440553e-07,0.0002945582026503,3,198615,-0.654236696275867,0.126645399089625,4.00970949441316e-07,YCR038C,BUD5,SGDID:S000000634,ORF,Verified ORF,"""GTP/GDP exchange factor for Rsr1p (Bud1p); required for both axial and bipolar budding patterns; mutants exhibit random budding in all cell types""",Verified ORF,CHR3_1093,6.396887091106395,-1
10426,noPPI_reference_MTX_Trifluoperazine,-0.893606521239288,-5.16420181281798,4.03238618934901e-07,0.0003091184484395,15,433993,-0.893798630291979,0.173375528303652,4.22683587397364e-07,YOR058C,ASE1,SGDID:S000005584,ORF,Verified ORF,"""Mitotic spindle midzone-localized microtubule bundling protein; microtubule-associated protein (MAP) family member; required for spindle elongation and stabilization; undergoes cell cycle-regulated degradation by anaphase promoting complex; potential Cdc28p substrate; relative distribution to microtubules decreases upon DNA replication stress""",Verified ORF,CHR15_10426,6.373984615291737,-1
1097,ADE17_HYR1_MTX_Trifluoperazine,-0.765670516389778,-5.10758813974833,5.33646127619888e-07,0.0004008637714187,3,204897,-0.764895294283557,0.150301348294357,5.86068470970062e-07,YCR042C,TAF2,SGDID:S000000638,ORF,Verified ORF,"""TFIID subunit (150 kDa); involved in RNA polymerase II transcription initiation""",Verified ORF,CHR3_1097,6.232051641955758,-1
1096,ADE17_HYR1_MTX_Trifluoperazine,-0.760943189550593,-5.08765350073795,5.88637543420507e-07,0.0004396109261267,3,204854,-0.761400048036811,0.149944648956716,6.19192591178178e-07,YCR042C,TAF2,SGDID:S000000638,ORF,Verified ORF,"""TFIID subunit (150 kDa); involved in RNA polymerase II transcription initiation""",Verified ORF,CHR3_1096,6.208174248755533,-1
1098,ADE17_HYR1_MTX_Trifluoperazine,-0.755120161042546,-5.03705872934937,7.53973933683434e-07,0.000554388932891,3,204903,-0.75511642809647,0.150296861276071,8.04824372885517e-07,YCR042C,TAF2,SGDID:S000000638,ORF,Verified ORF,"""TFIID subunit (150 kDa); involved in RNA polymerase II transcription initiation""",Verified ORF,CHR3_1098,6.094298880139277,-1
10438,SSH1_ORM2_MTX_Trifluoperazine,-1.14114103264326,-5.02196024742769,8.11469794598243e-07,0.0005939768149396,15,448815,-1.13883616150339,0.227538255294994,8.83157060709556e-07,YOR065W,CYT1,SGDID:S000005591,Close to 3'-UTR,Close to 3'-UTR,"""Cytochrome c1; component of the mitochondrial respiratory chain; expression is regulated by the heme-activated ; glucose-repressed Hap2p/3p/4p/5p CCAAT-binding complex""",Verified ORF,CHR15_10438,6.053962054594758,-1
1088,ADE17_PGM2_MTX_Trifluoperazine,-0.634738384744379,-4.99015966206292,9.46767045904821e-07,0.0006859568184419,3,197297,-0.63429161128517,0.127532428146443,1.02822930726269e-06,YCR037C_NFR/NDR,,,Promoter,Promoter,stable,Promoter,CHR3_1088,5.987910021747847,-1
