SNP,PPI,Chr,Pos,Effect_Fluconazole,-log_pval,snps_class_up,snps_class_down,locus_id,name,sgd_id,description,Effect_noDrug
10253,HNM1:TPO4,15,234124.0,-0.619477606558856,3.863893165342507,Promoter,Promoter,snR81_NFR/NDR,0,0,0,0.0
10252,HNM1:TPO4,15,234107.0,-0.591847946276535,3.608588073905871,Promoter,Promoter,snR81_NFR/NDR,0,0,0,0.0
1835,ERG11:TPO4,4,542062.0,0.58617987152561,4.250220943536382,Promoter,Promoter,snR47_NFR/NDR,0,0,0,0.0
1835,ERG27:ACF2,4,542062.0,0.597606250356981,3.824966377032416,Promoter,Promoter,snR47_NFR/NDR,0,0,0,0.0
1835,HUG1:PGM2,4,542062.0,0.637516004179292,3.586263840643073,Promoter,Promoter,snR47_NFR/NDR,0,0,0,0.0
1835,FMP45:MID2,4,542062.0,0.553955928060413,3.3193988764625777,Promoter,Promoter,snR47_NFR/NDR,0,0,0,0.0
1835,ERV25:ORM2,4,542062.0,0.541934491495456,3.2222106469915337,Promoter,Promoter,snR47_NFR/NDR,0,0,0,0.0
1835,PMC1:CTR2,4,542062.0,0.577833354018243,3.2127138194599536,Promoter,Promoter,snR47_NFR/NDR,0,0,0,0.0
1835,MID2:TPO2,4,542062.0,0.550772471877884,3.166841414596339,Promoter,Promoter,snR47_NFR/NDR,0,0,0,0.0
11924,HUG1:ALO1,16,850422.0,-0.644403130787865,3.7829449731328486,Other features,LTR,YPRCdelta22,YPRCdelta22,SGDID:S000007204,"""Ty1 LTR""",0.0
11924,MID2:PIN2,16,850422.0,-0.556962234540416,3.499958880146433,Other features,LTR,YPRCdelta22,YPRCdelta22,SGDID:S000007204,"""Ty1 LTR""",0.0
11924,MID2:TPO4,16,850422.0,-0.550387669997384,3.2625156764605387,Other features,LTR,YPRCdelta22,YPRCdelta22,SGDID:S000007204,"""Ty1 LTR""",0.0
11924,SSH1:ERV25,16,850422.0,-0.549345820150875,3.234005249944006,Other features,LTR,YPRCdelta22,YPRCdelta22,SGDID:S000007204,"""Ty1 LTR""",0.0
11924,SNA4:GTR2,16,850422.0,-0.521842227151581,3.1347051123969125,Other features,LTR,YPRCdelta22,YPRCdelta22,SGDID:S000007204,"""Ty1 LTR""",0.0
11924,FMP45:MEP1,16,850422.0,-0.4821206000631,3.123824629822787,Other features,LTR,YPRCdelta22,YPRCdelta22,SGDID:S000007204,"""Ty1 LTR""",0.0
11943,FMP45:MEP1,16,870388.0,-0.583036034679919,4.100210532977506,Promoter,Promoter,YPR164W_NFR/NDR,0,0,stable,0.0
11943,ALO1:UIP4,16,870388.0,-0.581925372329503,3.659867886491996,Promoter,Promoter,YPR164W_NFR/NDR,0,0,stable,0.0
11943,FMP45:HNM1,16,870388.0,-0.515550984880089,3.3557132366692204,Promoter,Promoter,YPR164W_NFR/NDR,0,0,stable,0.0
11943,FMP45:MID2,16,870388.0,-0.541907907907806,3.3086546029020725,Promoter,Promoter,YPR164W_NFR/NDR,0,0,stable,0.0
11943,HUG1:ALO1,16,870388.0,-0.617687085727558,3.3022989465090564,Promoter,Promoter,YPR164W_NFR/NDR,0,0,stable,0.0
11943,MID2:TPO4,16,870388.0,-0.562973829153202,3.192291836605176,Promoter,Promoter,YPR164W_NFR/NDR,0,0,stable,0.0
11943,ERG11:ACF2,16,870388.0,-0.464604428722897,3.095910959272651,Promoter,Promoter,YPR164W_NFR/NDR,0,0,stable,0.0
11943,SNA4:GTR2,16,870388.0,-0.528567453874668,3.016183912159327,Promoter,Promoter,YPR164W_NFR/NDR,0,0,stable,0.0
11946,FMP45:MEP1,16,873367.0,-0.608316399217237,4.629214439849857,ORF,Verified ORF,YPR164W,MMS1,SGDID:S000006368,"""Subunit of E3 ubiquitin ligase complex involved in replication repair; stabilizes protein components of the replication fork such as the fork-pausing complex and leading strand polymerase ; preventing fork collapse and promoting efficient recovery during replication stress; regulates Ty1 transposition; involved with Rtt101p in nonfunctional rRNA decay""",0.0
11946,FMP45:MID2,16,873367.0,-0.622784105230094,4.424357722177295,ORF,Verified ORF,YPR164W,MMS1,SGDID:S000006368,"""Subunit of E3 ubiquitin ligase complex involved in replication repair; stabilizes protein components of the replication fork such as the fork-pausing complex and leading strand polymerase ; preventing fork collapse and promoting efficient recovery during replication stress; regulates Ty1 transposition; involved with Rtt101p in nonfunctional rRNA decay""",0.0
11946,ERV25:ORM2,16,873367.0,-0.565356012466725,3.7557272908744825,ORF,Verified ORF,YPR164W,MMS1,SGDID:S000006368,"""Subunit of E3 ubiquitin ligase complex involved in replication repair; stabilizes protein components of the replication fork such as the fork-pausing complex and leading strand polymerase ; preventing fork collapse and promoting efficient recovery during replication stress; regulates Ty1 transposition; involved with Rtt101p in nonfunctional rRNA decay""",0.0
11946,FMP45:HNM1,16,873367.0,-0.53530911161566,3.745944991070408,ORF,Verified ORF,YPR164W,MMS1,SGDID:S000006368,"""Subunit of E3 ubiquitin ligase complex involved in replication repair; stabilizes protein components of the replication fork such as the fork-pausing complex and leading strand polymerase ; preventing fork collapse and promoting efficient recovery during replication stress; regulates Ty1 transposition; involved with Rtt101p in nonfunctional rRNA decay""",0.0
11946,SNA4:GTR2,16,873367.0,-0.549633249367484,3.3708833447192994,ORF,Verified ORF,YPR164W,MMS1,SGDID:S000006368,"""Subunit of E3 ubiquitin ligase complex involved in replication repair; stabilizes protein components of the replication fork such as the fork-pausing complex and leading strand polymerase ; preventing fork collapse and promoting efficient recovery during replication stress; regulates Ty1 transposition; involved with Rtt101p in nonfunctional rRNA decay""",0.0
11946,HNM1:TPO4,16,873367.0,-0.555949567602057,3.3369131731942594,ORF,Verified ORF,YPR164W,MMS1,SGDID:S000006368,"""Subunit of E3 ubiquitin ligase complex involved in replication repair; stabilizes protein components of the replication fork such as the fork-pausing complex and leading strand polymerase ; preventing fork collapse and promoting efficient recovery during replication stress; regulates Ty1 transposition; involved with Rtt101p in nonfunctional rRNA decay""",0.0
11946,MID2:TPO4,16,873367.0,-0.558433984189196,3.287943276472524,ORF,Verified ORF,YPR164W,MMS1,SGDID:S000006368,"""Subunit of E3 ubiquitin ligase complex involved in replication repair; stabilizes protein components of the replication fork such as the fork-pausing complex and leading strand polymerase ; preventing fork collapse and promoting efficient recovery during replication stress; regulates Ty1 transposition; involved with Rtt101p in nonfunctional rRNA decay""",0.0
