SNP,PPI,Chr,Pos,Effect_Trifluoperazine,-log_pval,snps_class_up,snps_class_down,locus_id,name,sgd_id,description,Effect_noDrug
3710,RET2:EMP70,6,101306.0,-0.338536800385938,3.1591582819314485,Promoter,Promoter,tP(UGG)F_NFR/NDR,0,0,0,0.0
10482,noPPI:reference,15,487554.0,-0.66225109008072,3.6641732495396777,Promoter,Promoter,tN(GUU)O2_NFR/NDR,0,0,0,0.0
10482,RET2:EMP47,15,487554.0,-0.325801126567636,3.2039223551359157,Promoter,Promoter,tN(GUU)O2_NFR/NDR,0,0,0,0.0
8810,ERG11:ORM2,13,505070.0,0.412414011269943,3.1313755331648254,Promoter,Promoter,tL(CAA)M_NFR/NDR,0,0,0,0.0
8810,ERV25:ORM2,13,505070.0,0.394507523733581,3.017478263179265,Promoter,Promoter,tL(CAA)M_NFR/NDR,0,0,0,0.0
5681,HUG1:ALO1,9,210783.0,-0.477570255416918,3.084804826411116,Promoter,Promoter,tI(AAU)I2_NFR/NDR,0,0,0,0.0
4528,ERV25:EMP47,7,739112.0,-0.575179897997379,3.01330028047007,Promoter,Promoter,tI(AAU)G_NFR/NDR,0,0,0,0.0
10116,ALO1:ADE17,15,111138.0,0.58005998860367,3.176770590510512,Promoter,Promoter,tG(UCC)O_NFR/NDR,0,0,0,0.0
11946,RET2:SNA3,16,873367.0,-0.334148284791327,3.409181076604085,ORF,Verified ORF,YPR164W,MMS1,SGDID:S000006368,"""Subunit of E3 ubiquitin ligase complex involved in replication repair; stabilizes protein components of the replication fork such as the fork-pausing complex and leading strand polymerase ; preventing fork collapse and promoting efficient recovery during replication stress; regulates Ty1 transposition; involved with Rtt101p in nonfunctional rRNA decay""",0.0
11946,HNM1:MID2,16,873367.0,-0.464150146054623,3.0412984593472627,ORF,Verified ORF,YPR164W,MMS1,SGDID:S000006368,"""Subunit of E3 ubiquitin ligase complex involved in replication repair; stabilizes protein components of the replication fork such as the fork-pausing complex and leading strand polymerase ; preventing fork collapse and promoting efficient recovery during replication stress; regulates Ty1 transposition; involved with Rtt101p in nonfunctional rRNA decay""",0.0
11946,SNA4:GTR2,16,873367.0,-0.478777430046675,3.035921889454804,ORF,Verified ORF,YPR164W,MMS1,SGDID:S000006368,"""Subunit of E3 ubiquitin ligase complex involved in replication repair; stabilizes protein components of the replication fork such as the fork-pausing complex and leading strand polymerase ; preventing fork collapse and promoting efficient recovery during replication stress; regulates Ty1 transposition; involved with Rtt101p in nonfunctional rRNA decay""",0.0
11945,HUG1:ALO1,16,873246.0,-0.509885800137151,3.438281717259717,ORF,Verified ORF,YPR164W,MMS1,SGDID:S000006368,"""Subunit of E3 ubiquitin ligase complex involved in replication repair; stabilizes protein components of the replication fork such as the fork-pausing complex and leading strand polymerase ; preventing fork collapse and promoting efficient recovery during replication stress; regulates Ty1 transposition; involved with Rtt101p in nonfunctional rRNA decay""",0.0
