SNP,PPI,Chr,Pos,Effect_Metformin,-log_pval,snps_class_up,snps_class_down,locus_id,name,sgd_id,description,Effect_noDrug
3713,ERV25:RBD2,6,101478.0,-0.419775823009399,3.2319421621580338,Promoter,Promoter,tP(UGG)F_NFR/NDR,0,0,0,0.0
3710,ERV25:RBD2,6,101306.0,-0.422592376500969,3.315709664851218,Promoter,Promoter,tP(UGG)F_NFR/NDR,0,0,0,0.0
10482,noPPI:reference,15,487554.0,-0.699030090873432,4.634393374716644,Promoter,Promoter,tN(GUU)O2_NFR/NDR,0,0,0,0.0
10482,ERG27:ACF2,15,487554.0,-0.517888978926719,3.732856174874328,Promoter,Promoter,tN(GUU)O2_NFR/NDR,0,0,0,0.0
10482,PMC1:CTR2,15,487554.0,-0.490645373973184,3.4402607848632827,Promoter,Promoter,tN(GUU)O2_NFR/NDR,0,0,0,0.0
10482,PMC1:GTR2,15,487554.0,-0.478523498770643,3.399743043305158,Promoter,Promoter,tN(GUU)O2_NFR/NDR,0,0,0,0.0
10482,HUG1:PGM2,15,487554.0,-0.486615625246824,3.327032076570799,Promoter,Promoter,tN(GUU)O2_NFR/NDR,0,0,0,0.0
10482,FMP45:MEP1,15,487554.0,-0.440109783569895,3.2853228151894576,Promoter,Promoter,tN(GUU)O2_NFR/NDR,0,0,0,0.0
10482,ERV25:PIS1,15,487554.0,-0.340460245983887,3.0419287019025467,Promoter,Promoter,tN(GUU)O2_NFR/NDR,0,0,0,0.0
10482,TPO1:MID2,15,487554.0,-0.349708587242731,3.036950612714249,Promoter,Promoter,tN(GUU)O2_NFR/NDR,0,0,0,0.0
10482,HNM1:ERG11,15,487554.0,-0.357078366109931,3.0181563474121083,Promoter,Promoter,tN(GUU)O2_NFR/NDR,0,0,0,0.0
8810,ERV25:ORM2,13,505070.0,0.396035349460003,6.428391775012448,Promoter,Promoter,tL(CAA)M_NFR/NDR,0,0,0,0.0
8810,ERG11:PIS1,13,505070.0,0.330986388582564,4.051685037480205,Promoter,Promoter,tL(CAA)M_NFR/NDR,0,0,0,0.0
8810,ADE17:PGM2,13,505070.0,0.461780444780761,3.619782785126588,Promoter,Promoter,tL(CAA)M_NFR/NDR,0,0,0,0.0
8810,SSH1:ORM2,13,505070.0,0.448748473482363,3.4267133555338565,Promoter,Promoter,tL(CAA)M_NFR/NDR,0,0,0,0.0
8810,MID2:WSC2,13,505070.0,0.489058278703794,3.286423982263368,Promoter,Promoter,tL(CAA)M_NFR/NDR,0,0,0,0.0
8810,ERG11:ORM2,13,505070.0,0.326358707259268,3.151291629684541,Promoter,Promoter,tL(CAA)M_NFR/NDR,0,0,0,0.0
8810,GTR1:SLM4,13,505070.0,0.296879668956401,3.043270712225926,Promoter,Promoter,tL(CAA)M_NFR/NDR,0,0,0,0.0
4528,MID2:TPO2,7,739112.0,-0.477619195980183,4.022269537427039,Promoter,Promoter,tI(AAU)G_NFR/NDR,0,0,0,0.0
4528,RET2:EMP70,7,739112.0,-0.289485796313018,3.3005508917666946,Promoter,Promoter,tI(AAU)G_NFR/NDR,0,0,0,0.0
4528,HNM1:TPO2,7,739112.0,-0.339753528994289,3.165365560814583,Promoter,Promoter,tI(AAU)G_NFR/NDR,0,0,0,0.0
4528,ERG27:ACF2,7,739112.0,-0.466254294972808,3.0825907059082724,Promoter,Promoter,tI(AAU)G_NFR/NDR,0,0,0,0.0
10116,ALO1:ADE17,15,111138.0,0.603484300509705,4.195993628825942,Promoter,Promoter,tG(UCC)O_NFR/NDR,0,0,0,0.0
8778,TPO1:MID2,13,463519.0,0.393164126785325,3.7207762493227152,Promoter,Promoter,tD(GUC)M_NFR/NDR,0,0,0,0.0
8778,ERG11:PIS1,13,463519.0,0.291523369245978,3.305700920055368,Promoter,Promoter,tD(GUC)M_NFR/NDR,0,0,0,0.0
1068,ADE17:PGM2,3,177081.0,-0.418566404003451,3.076053492334132,Promoter,Promoter,snR65_NFR/NDR,0,0,0,0.0
11912,HUG1:ADE17,16,839159.0,-0.459771862956225,3.201599783380205,ORF,Verified ORF,YPR156C,TPO3,SGDID:S000006360,"""Polyamine transporter of the major facilitator superfamily; member of the 12-spanner drug:H(+) antiporter DHA1 family; specific for spermine; localizes to the plasma membrane; TPO3 has a paralog ; TPO2 ; that arose from the whole genome duplication""",0.0
11904,HUG1:ADE17,16,833135.0,-0.436419421487715,3.0159061901196527,ORF,Verified ORF,YPR152C,URN1,SGDID:S000006356,"""Protein of unknown function containing WW and FF domains; overexpression causes accumulation of cells in G1 phase""",0.0
11902,PLM2:SNA3,16,828272.0,-0.411884206794725,3.465642407524268,Promoter,Promoter,YPR148C_NFR/NDR,0,0,stable,0.0
11902,HUG1:ALO1,16,828272.0,-0.515300927783216,3.239624024480732,Promoter,Promoter,YPR148C_NFR/NDR,0,0,stable,0.0
11902,HUG1:ADE17,16,828272.0,-0.44370367843789,3.015458345238263,Promoter,Promoter,YPR148C_NFR/NDR,0,0,stable,0.0
11901,HUG1:ALO1,16,828223.0,-0.522703813352751,3.365055681048106,Promoter,Promoter,YPR148C_NFR/NDR,0,0,stable,0.0
11901,PMC1:GTR2,16,828223.0,-0.450774647336634,3.0387741952403835,Promoter,Promoter,YPR148C_NFR/NDR,0,0,stable,0.0
11901,HUG1:ADE17,16,828223.0,-0.441056686178652,3.0237313696771366,Promoter,Promoter,YPR148C_NFR/NDR,0,0,stable,0.0
11900,HUG1:ADE17,16,827031.0,-0.478064138105293,3.4984959495022894,ORF,Verified ORF,YPR148C,YPR148C,SGDID:S000006352,"""Protein of unknown function; may interact with ribosomes ; based on co-purification experiments; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm in a punctate pattern""",0.0
11900,ERV25:RBD2,16,827031.0,-0.400950056476305,3.015419158730823,ORF,Verified ORF,YPR148C,YPR148C,SGDID:S000006352,"""Protein of unknown function; may interact with ribosomes ; based on co-purification experiments; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm in a punctate pattern""",0.0
11899,PMC1:CTR2,16,825433.0,-0.512901915788978,3.727335535544812,ORF,Dubious ORF,YPR146C,YPR146C,SGDID:S000006350,"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data""",0.0
11899,HUG1:ADE17,16,825433.0,-0.472368984025973,3.443019997160072,ORF,Dubious ORF,YPR146C,YPR146C,SGDID:S000006350,"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data""",0.0
11899,FMP45:HNM1,16,825433.0,-0.429873322086409,3.3723575504697947,ORF,Dubious ORF,YPR146C,YPR146C,SGDID:S000006350,"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data""",0.0
11899,MID2:PIN2,16,825433.0,-0.448607299410713,3.1482780082593504,ORF,Dubious ORF,YPR146C,YPR146C,SGDID:S000006350,"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data""",0.0
11899,PLM2:HNM1,16,825433.0,-0.435680598608437,3.0133786417326838,ORF,Dubious ORF,YPR146C,YPR146C,SGDID:S000006350,"""Dubious open reading frame; unlikely to encode a functional protein ; based on available experimental and comparative sequence data""",0.0
11898,HUG1:ADE17,16,823418.0,-0.508949924963472,3.964409133240821,ORF,Verified ORF,YPR145W,ASN1,SGDID:S000006349,"""Asparagine synthetase; catalyzes the synthesis of L-asparagine from L-aspartate in the asparagine biosynthetic pathway; ASN1 has a paralog ; ASN2 ; that arose from the whole genome duplication""",0.0
11898,HUG1:ALO1,16,823418.0,-0.549393962890462,3.748400665194552,ORF,Verified ORF,YPR145W,ASN1,SGDID:S000006349,"""Asparagine synthetase; catalyzes the synthesis of L-asparagine from L-aspartate in the asparagine biosynthetic pathway; ASN1 has a paralog ; ASN2 ; that arose from the whole genome duplication""",0.0
