SNP,PPI,Chr,Pos,Effect_5.FC,-log_pval,snps_class_up,snps_class_down,locus_id,name,sgd_id,description,Effect_noDrug
10482,noPPI:reference,15,487554.0,-0.770120884613759,4.482120202833745,Promoter,Promoter,tN(GUU)O2_NFR/NDR,0,0,0,0.0
10482,RET2:EMP47,15,487554.0,-0.360155350637134,4.307158590618704,Promoter,Promoter,tN(GUU)O2_NFR/NDR,0,0,0,0.0
10482,FMP45:MEP1,15,487554.0,-0.601879161588928,3.9099932496862055,Promoter,Promoter,tN(GUU)O2_NFR/NDR,0,0,0,0.0
10482,ERG11:PIS1,15,487554.0,-0.469855118508714,3.2283173218492083,Promoter,Promoter,tN(GUU)O2_NFR/NDR,0,0,0,0.0
8810,SSH1:ORM2,13,505070.0,0.590552398891829,3.7885338407423537,Promoter,Promoter,tL(CAA)M_NFR/NDR,0,0,0,0.0
8810,ERG11:ORM2,13,505070.0,0.398632834403503,3.3031412060549967,Promoter,Promoter,tL(CAA)M_NFR/NDR,0,0,0,0.0
4528,SNA4:VAC8,7,739112.0,-0.440468941614632,3.463259426637801,Promoter,Promoter,tI(AAU)G_NFR/NDR,0,0,0,0.0
4528,ERG27:ACF2,7,739112.0,-0.540794516571935,3.3328868886403638,Promoter,Promoter,tI(AAU)G_NFR/NDR,0,0,0,0.0
4528,MID2:TPO2,7,739112.0,-0.530817412373722,3.1156438377570965,Promoter,Promoter,tI(AAU)G_NFR/NDR,0,0,0,0.0
4528,HNM1:TPO2,7,739112.0,-0.527386397632933,3.0727769731547783,Promoter,Promoter,tI(AAU)G_NFR/NDR,0,0,0,0.0
10116,ALO1:ADE17,15,111138.0,0.666681708333455,3.461212102208029,Promoter,Promoter,tG(UCC)O_NFR/NDR,0,0,0,0.0
1835,ERG11:TPO4,4,542062.0,0.467310464994988,3.0660242080902043,Promoter,Promoter,snR47_NFR/NDR,0,0,0,0.0
11924,RET2:SNA3,16,850422.0,-0.315055192869426,3.2483094343613104,Other features,LTR,YPRCdelta22,YPRCdelta22,SGDID:S000007204,"""Ty1 LTR""",0.0
11924,HUG1:ALO1,16,850422.0,-0.58737080866198,3.141657781526152,Other features,LTR,YPRCdelta22,YPRCdelta22,SGDID:S000007204,"""Ty1 LTR""",0.0
11948,RET2:SNA3,16,879475.0,-0.307694065168957,3.0653097887947443,ORF,Verified ORF,YPR169W,JIP5,SGDID:S000006373,"""Protein required for biogenesis of the large ribosomal subunit; required for biogenesis of the large ribosomal subunit; interacts with proteins involved in RNA processing ; ribosome biogenesis ; ubiquitination and demethylation; similar to WDR55 ; a human WD repeat protein; essential gene""",0.0
