SNP,Chr,Condition,Effect,-log_pval,snps_annotations,snps_class_up_v2
10456,15,noPPI_reference_MTX_5.FC,-2.45088731277599,4.859002705283361,CUT,CUT
10456,15,HNM1_ERG11_MTX_5.FC,-2.06102135858097,4.496553682331871,CUT,CUT
10456,15,SSH1_ORM2_MTX_noDrug,-2.05553137996515,4.869390797002508,CUT,CUT
10456,15,noPPI_reference_MTX_Metformin,-2.048269669362,4.327652152575755,CUT,CUT
10456,15,MID2_PIN2_MTX_5.FC,-2.01143708586583,5.490892117496256,CUT,CUT
10456,15,HNM1_ERG11_MTX_Trifluoperazine,-1.99421234606408,4.688758396049652,CUT,CUT
10456,15,HNM1_ERG11_MTX_noDrug,-1.97090444059767,4.145376000344477,CUT,CUT
10456,15,SSH1_ORM2_MTX_5.FC,-1.83482499088293,4.013879072335524,CUT,CUT
10456,15,ERG11_ORM2_MTX_noDrug,-1.8149322062497,4.399125032919723,CUT,CUT
10456,15,MID2_RSN1_MTX_Metformin,-1.73958058089403,4.096107797407724,CUT,CUT
10456,15,ERV25_ERG5_MTX_5.FC,-1.72200880999265,4.087745294406794,CUT,CUT
10456,15,ERG11_PIS1_MTX_5.FC,-1.67411899991329,4.262126649320367,CUT,CUT
10456,15,HNM1_ERG11_MTX_Metformin,-1.5398700292244,5.619515336428393,CUT,CUT
10456,15,ERG11_MID2_MTX_Trifluoperazine,-1.52687762793288,4.37456116210009,CUT,CUT
10456,15,FMP45_HNM1_MTX_Metformin,-1.49389186660974,4.253387965956507,CUT,CUT
10456,15,ERG11_MID2_MTX_5.FC,-1.42913262518146,4.413877131854945,CUT,CUT
10456,15,SSH1_ERV25_MTX_Metformin,-1.28973625041556,4.350330796031555,CUT,CUT
